EntrezID	GeneLength	Count
55989	1976	6082
100217459	53	7
100217421	63	1
12168	3507	1618
100504533	314	158
72750	5532	1150
70375	3650	18
57750	3376	906
241066	2604	121
100504573	431	11
269198	12108	2196
77951	1501	1336
329165	5974	1535
77300	9117	3441
100043027	207	9
100042533	791	0
12487	4317	6
100504618	845	0
12477	1931	3
54167	3254	0
77341	892	0
72823	8392	393
18187	8122	7511
74992	895	64
227195	13529	2153
100380944	1802	56
100504668	1301	12
227197	2927	2974
55949	1933	12500
100217464	113	40
241070	1606	1
73884	12621	0
23792	6879	6
241073	2427	0
76668	1711	1
75619	3205	1116
74426	1756	9
433315	1432	0
93691	1344	352
12912	8421	2583
67099	2666	576
69941	713	122
227210	2927	684
14367	6914	677
241075	8562	693
70861	1353	1
667276	1020	36
12968	642	0
12967	635	0
12966	612	0
12965	605	0
12964	615	0
98303	2180	1
15926	2438	4299
18711	11255	2104
213527	2414	6
12969	622	0
17756	5520	1841
100038569	1663	0
329178	13533	5
66646	2630	1467
68691	4760	1028
11363	1892	2458
100862127	515	0
17901	1111	0
14768	4461	796
227231	4704	1
13869	4257	5
100502712	2069	0
22779	9424	689
66722	2270	0
320460	4655	0
12021	5448	825
74591	8323	11
108147	2611	6041
14268	8312	234907
100042814	1193	5
667931	1019	13
71134	1093	2
433319	483	0
381269	2493	162
111175	1186	231
271711	2815	22
22596	2556	1590
381270	4187	7
54380	6715	740
319695	4573	0
19981	588	276
16008	1330	607
16011	5854	1833
21958	427	0
69449	571	0
723792	1560	0
78718	551	0
109198	1801	3
21961	9966	523
435626	2336	1
100862357	817	0
12765	3043	0
227288	1125	0
100316687	67	0
76709	1597	7710
227289	990	2
227290	1820	4590
56695	3501	1155
69660	2309	2491
241112	2101	20
18173	2304	4
227292	2776	2263
387219	85	0
22349	3117	4
319651	7196	1748
58184	3266	2890
18802	3121	16
77264	7472	1466
66821	1829	453
57751	1475	772
269209	5235	270
67534	4253	1870
104086	1890	1
241113	2832	15
22420	2068	24
22409	1962	1736
12570	2704	6
260298	1479	0
12958	702	0
723900	64	0
241116	5718	0
16147	2444	0
75570	860	94
22626	2059	13
69171	2738	950
227298	2557	1933
68818	1299	437
74104	2934	471
245860	3764	1752
52231	2764	381
74577	3451	224
20872	2885	1651
22145	2053	2276
381272	767	1
56812	3203	1116
19275	3535	312
19711	710	0
13437	1946	1634
13346	2150	29
100503248	676	0
11790	11933	2535
69080	1528	1001
100862164	449	0
241118	2650	0
74241	3235	2130
319998	2185	58
98733	5770	245
16322	1463	19
71728	4458	733
20536	4441	368
100862333	771	0
620079	2188	0
13838	6328	662
18505	3868	13
100039210	1208	0
433323	3998	23
23874	2132	2171
68393	1206	1
74205	3950	3602
195434	3981	789
57814	2463	42
20254	2485	4
100862182	832	0
252903	2876	232
69368	4714	1315
100038695	1791	1
69163	1424	660
100862198	480	0
20720	2055	2521
241128	2862	0
26554	2764	4661
72208	394	0
210293	7303	12
241134	4919	0
16367	9163	1642
100503073	3039	23
76867	3757	1160
100503095	2833	5
12829	7808	9
12828	8609	16
75734	1866	1900
66261	1503	0
100044526	654	83
15463	3137	2527
80721	2974	0
71386	992	0
20297	802	1
71227	1670	0
77629	6512	0
98496	2667	382
227325	3632	11
100628595	77	0
14897	9632	13336
66153	900	121
71781	2349	0
100503433	891	0
381287	1760	0
621875	1334	3
100040135	1348	0
665378	1621	1
620078	1971	3
100040213	891	0
100039794	1073	26
665338	891	0
109032	1971	26
434484	2417	69
100503502	852	0
100503045	659	0
20684	2158	250
319997	1936	27
12283	3800	3842
64294	2024	3456
71141	1148	0
227326	2550	0
70060	1602	1
72792	3331	0
70247	3256	8114
15559	2072	20
78795	5258	505
100861644	653	0
227327	2595	1
383538	483	0
17975	8257	36205
100303740	116	18
80828	68	1
319336	1266	20
14767	1218	1
71863	1721	0
19231	1192	7058
18582	1092	618
26895	2231	812
18159	1042	2
208718	3171	435
11650	2113	0
76768	2337	0
11648	1680	0
13599	2698	1
69453	1999	5
11447	2910	0
11449	1921	0
26987	4928	2668
98363	1805	14
227331	5743	3499
100040591	1349	12
73234	462	3
53972	3384	402
319977	1676	7
620454	1602	21
23956	2018	15
16331	4938	2
77040	3180	1351
100217415	248	13
20215	1718	23
100503175	947	2
227333	5694	2427
227334	5316	1703
394430	3242	0
394434	3216	0
394432	3294	31
394435	2293	10
94284	3302	267
394433	3208	2
22236	3206	2
15504	1017	0
394436	3229	3
100040766	7526	1
381280	8439	1307
78605	3662	0
171382	3844	10
75396	870	0
14659	1957	91
100503197	2622	142
320982	3967	8372
78650	476	1
73475	603	0
98402	3673	1899
77331	591	0
347722	9581	1294
74403	3611	3
14472	2126	5
208372	1404	0
74918	3210	2
12778	2579	496
108679	1843	2409
433332	1207	0
12835	10841	1425
171531	4484	48
623503	261	0
19329	1950	7
16978	5743	4231
329207	3851	0
51801	3022	73
67921	1363	883
665783	892	727
50880	2207	475
227357	5442	3
100503326	684	0
70788	3020	28
227358	2815	632
67444	1368	1444
67086	547	0
55927	1335	753
18627	5837	2052
74019	3500	1137
65247	6072	740
13345	1312	552
208727	3960	1012
67273	1220	2363
259040	939	0
258228	936	0
259041	1189	0
259039	1082	0
258274	966	0
258483	972	0
258484	969	0
257890	1121	0
66915	711	867
260301	704	0
14733	3552	5435
100504295	543	0
387167	66	1
241158	3243	3
67446	1491	61
108657	3039	901
100037260	1689	1
23830	2877	664
64095	4396	12
208760	1088	0
16560	8257	4
11611	1517	1
71874	2362	10
381284	7348	4
208777	4474	119
69821	3315	388
269224	5119	609
66385	3653	1401
404545	3217	4
110611	6238	31996
18000	3335	10111
227377	3912	469
59041	3254	2203
51800	1432	582
67026	2160	912
66615	2964	1191
21915	1310	1811
66262	4539	1095
98314	3058	126
381334	2846	0
100041596	1185	2
666009	570	14
619597	4059	0
241159	4511	0
18566	1930	0
74689	1565	0
67698	2107	341
20452	5677	120
75381	761	0
100504401	921	11
73454	356	0
75159	583	0
227394	2394	0
329217	3849	0
67854	2475	0
74441	2433	0
634331	2091	0
634346	2300	3
52392	2738	747
227399	5565	2710
252876	2041	254
18484	4103	2600
78603	1178	5
69030	1687	0
70866	2328	0
100504494	800	51
241175	5120	0
100504525	886	0
23836	3722	0
320311	8529	81
100504568	1284	1
27392	6777	3298
227446	5406	1317
100042023	231	385
21934	5022	21
635504	465	8
227449	6661	1214
626049	545	4
98432	6104	970
12043	7749	662
320761	1243	0
70750	5582	1107
20479	3272	2752
20724	2565	946
71869	1735	1
241196	1607	0
20248	1629	0
394252	1164	0
383548	1632	0
381286	1659	0
66957	1699	4
116872	1887	1
18788	2047	52
241197	3490	98
20725	3289	64
241201	3353	0
227485	3054	3
319901	5763	1150
636808	3915	0
634762	729	0
22099	3040	3552
67949	1894	2010
76707	7899	3149
68204	597	4
81879	9270	178
14633	6708	63
16324	4255	839
100502628	748	0
64143	2277	1312
226351	2830	629
226352	7746	489
19258	4707	819
66343	3301	199
226356	2511	0
319229	1924	0
170706	1017	87
13167	745	2892
73103	1089	46
68428	3177	876
226359	2000	0
17167	1985	1
13798	2554	7
98452	1580	0
72999	2524	1055
70829	7256	1198
15564	2019	0
66942	2249	541
100502702	453	1
269109	4630	1
74117	2746	6708
74150	2597	1133
71111	2690	180
72585	2047	0
210356	7593	21
107895	3104	457
667090	484	418
72160	2517	3
266645	2303	0
100502745	464	6
72949	3514	1502
22625	3936	2
226407	4251	2110
226409	4154	486
226412	4812	3221
387147	70	0
67812	4093	3565
226413	6166	0
17219	2901	4960
226414	2509	2938
12767	1814	5
210417	6253	20
100042740	613	59
13137	1324	2
13136	2527	45
22789	2034	0
12269	1883	1
12270	754	0
18640	9621	1659
226418	3843	407
212439	2909	82
64435	1911	0
100502856	1065	0
18703	3849	1
69169	1491	5
93672	1116	14
58181	824	0
329244	1023	4
16153	1306	1
17164	2567	3895
226419	2072	196
16865	2290	1268
54354	3405	333
56489	3203	371
14270	8040	2341
108900	2105	102
26361	4148	0
13034	2120	1
226421	2523	556
320718	3640	18
212933	3540	1
98396	4660	1740
226422	1189	238
98415	6096	6188
212980	3426	173
13714	3671	1057
213006	4853	323
18557	3046	1695
723818	97	0
213409	958	7
213417	4269	653
74137	3132	559
68875	3410	598
213452	6385	1197
213464	3632	1532
74626	1742	101
21367	9535	54
269116	10379	0
100038653	1879	0
16980	3346	2
17248	3490	1301
240752	7929	140
108954	5588	4694
240753	7457	154
100502933	3112	0
68338	1842	0
280287	496	0
19701	1423	0
214253	2279	1
20668	3531	57
20643	492	1181
70579	4395	6286
667118	5007	4091
240754	2371	4
381290	8292	453
269120	2074	18
116847	3602	442
100502984	884	0
14264	2859	31
100502999	532	2
12227	3083	2906
667414	432	0
71884	1711	10
12654	1689	41
53311	1829	2
11539	5786	1
17928	1480	0
68507	6067	12
57439	3169	3120
240755	1770	1
72017	1626	2419
72674	2024	3071
100861791	590	2
240756	3196	825
98710	1960	1103
100503055	641	6
71001	1457	0
75605	6300	2033
20980	3386	0
329251	6185	355
67196	1079	297
329252	3623	153
13924	6089	174
100038590	915	3
320139	3264	33
68724	1702	1592
171469	2253	0
13710	2000	60
215615	2301	1741
21854	917	1326
93689	3942	79
77552	1190	1159
226432	6236	8290
215690	12767	4178
13007	1770	5997
27280	1467	1921
21952	1114	9
16763	2992	1521
21956	1194	1326
18772	4486	6725
226438	8996	1
66241	1750	1454
12292	6260	0
329253	508	2
16565	9119	1401
76422	2922	50
67313	3013	1253
100042513	584	0
383563	1960	3
67886	7823	3930
320054	2097	14
67997	2228	313
381293	8770	1246
71084	1846	0
226442	5275	2014
100503460	489	42
100503474	1199	16
667686	385	144
26424	3857	0
320138	3023	1
735252	87	0
723890	80	0
19264	5664	3
338375	1887	0
59125	3366	5714
545363	1930	2
16876	5750	28
69549	571	159
75546	410	0
329260	8314	1271
170788	4702	0
71209	1111	0
226470	8362	2523
12316	9866	3803
14060	2378	0
50702	1732	0
624286	999	0
214403	2887	0
545366	1602	0
12628	4365	243
240776	3957	51
75910	551	0
226472	591	0
214498	2678	1848
26878	4578	2
69367	3730	642
20822	8721	3327
56207	1851	1529
19735	3009	617
100861894	494	0
246709	1497	0
50778	1330	1
624910	459	0
64214	1859	0
215378	3172	12050
100043240	3910	40
791353	1179	0
100503781	490	0
18783	2846	4884
320019	1098	160
19225	4150	32787
100043257	532	3668
100043261	345	0
20028	1247	0
75584	610	0
226499	3242	1287
108989	7550	12023
96875	4278	35
545370	18316	19
402734	2640	2
73176	1674	0
117198	5037	10160
66875	3668	491
98685	2665	1035
19821	3028	1987
100503012	373	448
63913	3939	1886
66967	6604	3015
69399	9754	1533
66637	1133	375
269132	4056	24
19731	3887	1471
100861876	505	28
71281	1566	0
67771	1897	3993
100503084	519	1
17970	2596	7
226517	6069	4073
226518	4523	631
16782	5164	1410
226519	7622	12814
626058	2827	0
71836	2045	32
13211	4613	13044
74091	1403	0
67792	5804	0
329271	3337	0
19734	2335	93
24014	4758	57
240816	3640	0
240817	1654	1
433365	2527	1
240819	1415	0
14645	2782	733
100861882	573	0
207678	1877	0
78112	613	0
12290	12697	0
15939	3270	2447
15064	2509	368
58244	2459	1446
207792	4611	265
100503411	2791	1
19775	7651	1965
433367	1751	1
72482	1942	946
16872	1853	1
100861926	688	0
104009	3361	3176
74081	13307	2425
208263	4439	2404
240832	8112	4953
329274	3687	0
214575	3443	2
170484	3108	0
77352	3297	14
20652	4785	2480
11352	10714	6141
30935	3268	1842
100503836	636	0
215015	4238	3027
78255	7133	192
72713	2190	2
73435	898	5
226525	10046	1467
69953	1194	569
226527	1289	1
89867	4651	777
100504090	420	50
240843	4101	1
11899	7224	5
735253	109	0
23850	8585	34
72025	2475	0
26374	5056	480
100217414	118	3
21960	5395	8
67647	5391	622
75255	887	2
329278	5812	257
64659	1970	1708
12301	2115	3721
29809	9489	1374
100316784	109	1
620246	1086	4
620750	465	5
381305	11011	2675
11905	2162	4
240869	3883	205
14455	2554	4047
100628588	91	0
100217446	65	37
226539	3581	528
70454	4327	638
226541	4037	1012
73844	3723	17
100502590	954	2
11758	2334	5050
22164	1609	2
240873	2064	5
14103	1935	1
226551	6308	2058
75368	1164	0
67292	3301	499
103967	7523	27
72753	919	0
474332	7928	1
723821	110	0
387210	110	0
71449	2791	1015
53330	2532	457
17926	2080	4
100038657	741	1
226562	10444	15228
226564	1787	0
14261	2326	18
55990	3336	21
226565	1870	0
14262	2010	1
78258	2956	0
18933	7448	9709
98376	2509	891
240879	1053	0
16579	3907	1733
240880	4069	932
381306	2912	896
69962	1457	126
20339	2912	1
20343	2321	0
20344	3438	9
100503816	1241	0
14067	7406	112
116914	3546	689
74895	1896	327
66352	4035	1087
171567	3011	862
11931	2422	220
56429	1636	32
433374	1588	1
16963	502	0
69476	357	0
75857	998	0
83993	2662	0
108735	5526	2068
226591	4395	1569
240888	1943	300
74106	3306	1307
70456	854	681
271639	5209	3
68481	2356	2067
100503268	612	4
226594	2670	11
100503283	1514	0
433375	2125	367
12503	4604	2
18986	13123	1165
240892	4025	9
59290	2293	5
98558	1546	0
100039795	8260	10
100503318	2514	13
27878	2145	576
71592	7372	852
226601	1744	0
226604	3012	0
240894	3065	0
100503962	936	0
226610	4986	1
80914	1338	2667
68944	4474	1130
100862084	376	0
56752	2833	1733
66447	635	411
240899	1137	0
100503977	287	0
20183	2363	0
110648	3338	8
18514	9027	8217
66977	2405	2129
19737	1809	26
100862094	1412	16
19736	2941	257
78465	1440	1
15490	4574	1426
67303	1135	26
18214	8290	6980
107652	2283	2567
16589	2024	1124
545378	399	0
622708	1691	5
26904	1433	47
665574	3833	33
76925	713	1
70729	3684	14
320078	3095	1883
226641	7463	2468
80915	1374	368
435653	1284	17
98752	1727	0
14130	1547	7
246256	1250	15
14131	1353	3
75472	1034	20
66052	1179	2720
17528	1993	6
66425	1575	20
12355	1414	5
641376	2920	977
11807	521	1
14127	658	4
226646	1606	5037
240913	3673	969
57370	1998	924
19044	1821	619
30941	2185	1348
66155	964	1284
100862110	308	0
100504072	1662	20
21945	2733	1053
27045	1374	300
18637	622	1272
68874	1555	117
71740	3504	69
226652	4488	2
22278	1822	1124
226654	551	21
16456	2482	1876
56009	1273	93
16429	1140	1
18106	3758	0
17085	2449	2
75345	3977	0
12506	1142	0
100041098	195	858
27218	2688	0
12523	6253	1
100038548	2574	0
100862186	671	0
30925	2443	0
93840	2260	304
18071	2487	1
59287	2855	3361
12847	4629	12765
100504176	730	0
19298	3131	1869
98193	3743	2686
18611	2477	2343
12372	1874	9
27222	3485	0
98660	6227	15
140559	2234	1651
16524	3270	5
16513	5407	2
67556	7569	1547
100862199	620	0
98365	1145	3
93842	4249	512
21346	1382	6513
71870	1822	1
71319	941	0
240916	1879	1
74748	2040	4
677296	1914	0
68440	1417	28
100040320	811	10
12944	1698	0
20219	984	0
18313	1050	0
258759	933	0
258758	1063	0
258880	942	0
258881	1034	0
14125	1026	0
258645	991	0
100504232	694	0
13349	1158	1
94332	4159	2
383619	2541	4
240921	2951	1
545384	1294	0
623121	2680	0
236312	3497	4
100033459	2987	0
100504251	716	0
226691	3484	63
15951	2296	1694
100504287	1468	9
666028	634	0
100040462	1908	217
381308	1651	461
15950	3793	528
26388	1796	1614
226695	1613	72
258712	1004	0
258711	939	0
258713	954	0
258717	943	0
259162	948	0
404222	924	0
258716	948	0
258715	1050	0
258302	1046	0
20739	8405	0
258710	1088	0
66289	803	0
258238	930	0
258709	1010	0
258756	955	0
546747	978	0
54418	6442	0
23893	3745	1
24012	2487	6
14194	1632	2507
98256	2498	0
13603	1721	44
12663	6117	789
75820	3817	0
26909	5506	992
319455	3894	1
545389	6930	5493
723921	99	0
76816	2619	478
15365	1510	799
23797	4735	2079
30928	5106	1520
75589	698	3
69428	749	23
11566	2553	4173
631584	2790	0
545391	1663	0
78825	4214	2342
791357	1199	34
75164	651	0
666295	875	2378
320110	427	7
66359	448	446
51810	3670	24351
68226	2539	55
269152	7406	1701
69726	3769	310
15278	2448	384
226744	4545	766
109232	1922	1070
226747	8831	6459
100503705	1428	0
226751	8656	4313
67426	4076	48
19165	2084	299
277333	3581	18
320404	5101	707
381310	6557	12
11545	3827	5089
72568	3377	884
27217	2294	0
170760	3471	2767
100504581	591	0
15078	1076	485
208768	3189	1506
100504598	177	11
320202	2462	0
100862334	599	0
69051	1599	1049
13590	1604	31
208795	3239	3047
13849	1665	677
619326	1898	0
67459	3060	2533
98417	3268	1781
226757	7047	6871
329307	2505	20
72978	2727	3
403180	1819	0
240960	13996	13
98386	3552	3351
433384	1343	0
13800	4288	3983
27058	1388	1275
625823	921	0
13244	2005	3885
67330	686	0
67948	4913	1727
209456	4370	1168
12334	3185	7251
170725	3705	4
433386	2055	0
96935	2035	38
53791	3199	223
68897	5030	1665
71678	3456	1257
108909	3293	1599
338366	6678	6275
21339	2386	681
78772	2736	13
73363	967	26
63953	2712	686
73590	778	3
74971	1722	0
15284	2149	132
66112	2161	18
67247	1883	1004
100316821	82	0
226777	2853	5
226778	4565	422
98732	6988	2636
100217449	113	4
381314	3540	2576
387189	67	1
387211	112	3
23827	2182	1037
107508	4850	13404
319562	3406	0
100039138	2761	0
226781	5836	0
114668	709	0
226791	1577	59
21808	4725	1050
67223	1213	1520
110957	3212	45
74717	1645	4
69308	823	3
67769	4565	883
100862400	1119	62
26381	5580	4
320272	2212	0
22283	15891	1
226823	3703	1564
16526	3959	476
100042424	516	1047
100039307	642	1
108000	11130	6290
19250	10746	6360
226830	1605	2349
19130	4139	0
100504619	832	0
320119	3995	966
52477	3349	1576
226841	4190	745
226844	4087	1001
100125339	1649	1
75558	428	0
68972	1258	167
381318	2973	539
381319	712	14
619288	2234	2
11910	1977	1302
100504360	568	14
100861628	406	0
66208	658	90
66950	4204	397
226849	3082	719
100504379	2421	0
76843	4202	1929
77065	3252	2037
226856	7246	2982
18005	3197	2114
98736	4362	13
22782	5230	607
74023	3720	2
22033	2102	646
100628582	81	4
100042625	720	2126
214742	1597	393
100038712	2612	26
16510	7143	38
226861	2835	297
320952	2041	6
73455	404	2
214791	3401	3627
100503471	624	106
329324	1731	0
215193	5548	1047
54139	4125	640
319266	3834	250
215243	2121	0
15483	1446	38
14373	843	0
100503531	873	0
16780	4055	1010
215303	2453	2
387201	68	1
74942	578	0
18845	11036	576
100628615	64	0
12490	2621	10395
320400	2491	137
320977	5195	11
723963	81	0
387224	88	0
17221	1213	17
12946	1662	606
12902	6207	2
215728	2801	0
619314	1938	0
670558	2817	2
76142	2524	190
70337	1540	0
213783	7415	49
270685	4332	3370
83397	6247	585
381990	3227	465
66084	1849	222
73419	2290	743
100504234	2151	9
13982	4319	361
64009	18115	2843
68632	2777	0
22353	1527	0
67141	1807	1272
108853	2621	235
56533	8191	126
100041224	522	0
18390	2639	0
320495	8240	0
215748	3448	1186
77777	1819	1375
237253	3403	586
18537	1917	1540
320642	1253	16
69912	1290	650
407824	2188	45
16798	7215	4028
23924	1775	1156
215751	1557	368
100503695	916	2
67418	2896	1579
237256	4093	7
100628581	94	0
68652	4278	4536
338362	4284	534
70097	7183	738
791352	3151	0
320825	2495	548
620417	2980	0
78808	9074	1902
215772	5218	8
67844	2054	1725
382450	3785	1
14816	6990	12
78056	444	0
268281	9293	1862
71865	5114	1400
13853	1079	4
22288	12382	6005
320273	1182	20
74732	2396	201
66125	734	1334
22634	5260	52
100862331	414	0
75122	1053	0
353258	1769	1650
215789	8913	36
66848	3954	742
56535	2405	737
66757	1453	276
66253	1054	480
15273	9768	3103
100504211	3928	19
215798	6505	4278
100039571	514	154
66201	1325	1253
69412	910	3
76743	1477	2
18101	1173	0
100504235	3401	0
17684	1969	2628
378431	4457	20
380629	3667	819
73112	810	1729
19707	2618	1558
100045792	2900	0
215814	1166	158
215819	7638	4213
56016	1910	494
215821	8216	60
237300	2355	0
73968	2928	1
64058	1901	4949
21929	4595	1135
100504265	6220	2
94222	2066	3
15979	2099	1282
237310	2468	0
237313	2088	17
76157	2629	2
18634	1894	354
26408	5393	1175
17761	3895	284
73811	629	1
621697	592	2711
72567	5454	7835
71804	2307	402
29863	4127	1
52906	5094	845
100038717	3304	0
100504283	1667	3
17863	3777	688
56422	4893	2271
73990	1016	4
237320	2243	0
76924	485	0
67692	1061	0
432436	2206	0
20393	4158	15580
114671	1771	0
319887	2292	1
379043	1274	1
667281	952	27
606736	4515	26
56554	1271	1
100038752	4548	0
353169	3762	2
237336	2875	1082
100504411	1274	0
100038582	2198	0
21412	1239	0
14051	4099	2945
20042	518	470
100529074	105	24
100529075	68	97
76306	2837	429
26464	1811	0
22361	2416	42
111174	999	0
209512	1020	0
493809	1032	0
209513	1044	0
215854	1014	0
215855	1038	0
215856	1077	0
209517	1077	0
435206	1077	0
276742	1077	0
435207	1077	0
215859	1035	0
382348	1035	0
494546	1109	0
503558	1047	0
53331	2500	1216
100862153	747	0
59012	3083	289
14219	2403	5401
18605	3224	616
209558	2815	31
70208	4946	2094
11846	1477	133
432442	3123	276
13822	4464	5919
100504474	674	1
73803	865	0
215866	1543	0
77220	4115	276
100040851	1193	2
268288	3554	2
237339	3411	583
667572	1206	0
73910	3616	1291
16773	9713	28
100040961	485	151
19272	6177	7573
210757	3981	8
100504516	4347	0
114676	1545	123
67719	1319	0
67412	3948	5
212448	5644	6
52665	3180	369
68031	4404	1095
72780	2397	70
100504540	2648	0
66311	1512	303
73681	2359	447
100504586	3440	214
66847	696	147
211329	5338	959
15214	2532	37
69692	718	634
21987	1267	396
100041294	710	573
268291	2860	996
432450	3745	87
76757	4514	0
442820	1844	0
100862254	809	0
215890	2500	3
215895	882	0
57430	1096	0
212892	3650	6
72580	2364	418
414093	7840	42
66521	1082	544
692132	1185	0
270711	3714	6
103511	1786	46
215900	1082	0
212898	4225	3497
22110	2696	1982
72480	3900	326
319638	2716	625
12813	3130	2
14302	4805	1478
100041585	3201	221
319415	3098	56
15182	2004	5144
17118	4186	6051
215919	1054	0
16775	6046	859
66337	730	76
71924	2929	272
327743	1418	10
14360	3692	1685
100504626	1313	19
103213	2867	787
327744	1664	73
19714	10666	2891
100504659	947	0
213332	781	63
75299	2400	20
72045	2285	0
100041085	1782	17
215928	5981	5
215929	2679	1
72472	6556	311
67239	1890	870
67371	1020	924
19850	104	2
11702	3206	1145
78334	5807	1763
70840	2243	0
70503	3000	0
327747	1529	24
71713	3366	1971
83767	2550	564
100504721	508	19
140741	1092	0
103199	3263	891
633979	5640	1
268294	2831	465
171580	3563	263
20598	1602	514
73075	1070	1
53599	2830	7908
75973	2749	6
70538	617	1
