A	Coef.FGRvsC	Coef.CasevsControl	t.FGRvsC	t.CasevsControl	p.value.FGRvsC	p.value.CasevsControl	p.value.adj.FGRvsC	p.value.adj.CasevsControl	F	F.p.value	Res.FGRvsC	Res.CasevsControl	Genes.probe	Genes.id	Genes.symbol
6.31	0.062	0.086	0.76	1.05	0.45442	0.30563	0.711766	0.777329	0.58	0.56496	0	0	7897128	7897128	ACTRT2
6.39	0.105	0.069	1.88	1.24	0.07237	0.22533	0.389961	0.73626	1.82	0.18259	0	0	7897132	7897132	PRDM16
6.87	0.125	0.089	1.6	1.13	0.12234	0.26805	0.444411	0.76134	1.35	0.27685	0	0	7897154	7897154	ARHGEF16
7.46	-0.029	0.141	-0.3	1.46	0.76728	0.15664	0.898562	0.702914	1.77	0.19052	0	0	7897172	7897172	TPRG1L
6.77	0.125	0.052	1.93	0.81	0.06479	0.42609	0.381012	0.82984	1.88	0.17325	0	0	7897179	7897179	TP73
6.26	0.168	0.073	2.12	0.92	0.04426	0.36627	0.35269	0.806818	2.25	0.12567	0	0	7897196	7897196	CCDC27
6.21	0.041	0.08	0.65	1.26	0.52263	0.22021	0.757244	0.734984	0.79	0.46455	0	0	7897210	7897210	DFFB
5.72	0.067	0.058	1.08	0.94	0.28849	0.35626	0.592969	0.802557	0.69	0.50923	0	0	7897227	7897227	AJAP1
6.25	0.203	0.167	2.11	1.74	0.04499	0.0939	0.352887	0.650144	2.54	0.09894	0	0	7897236	7897236	KCNAB2
7.1	0.092	0.031	1.56	0.53	0.13177	0.60358	0.454054	0.888868	1.26	0.30206	0	0	7897257	7897257	RNF207
7.06	0.084	0.066	0.82	0.64	0.42153	0.52618	0.688066	0.865101	0.37	0.69417	0	0	7897263	7897263	RNF207
5.78	0.024	0.007	0.31	0.09	0.75717	0.9311	0.893753	0.982246	0.05	0.94941	0	0	7897277	7897277	LINC00337
6.66	0.182	0.094	2.81	1.45	0.00944	0.15901	0.27753	0.703399	3.95	0.03221	0	0	7897280	7897280	HES3
6.88	0.064	0.01	0.86	0.14	0.39738	0.89098	0.672237	0.973225	0.43	0.6568	0	0	7897286	7897286	LOC100130071
7.27	0.042	0.07	0.6	0.99	0.55302	0.33282	0.777271	0.793346	0.5	0.61525	0	0	7897288	7897288	ESPN
7.22	0.044	0.08	0.52	0.95	0.60482	0.35073	0.809419	0.802042	0.45	0.64044	0	0	7897293	7897293	NA
5.86	0.149	0.07	2.65	1.25	0.01373	0.22252	0.289017	0.735829	3.51	0.0451	0	0	7897295	7897295	TAS1R1
6.27	0.101	0.117	1.81	2.12	0.08164	0.04432	0.398382	0.573693	2.62	0.09246	0	0	7897305	7897305	ZBTB48
7.35	-0.039	0.063	-0.59	0.95	0.56052	0.35159	0.781467	0.802202	1.21	0.31616	0	0	7897322	7897322	PHF13
6.45	0.078	0.079	0.74	0.75	0.46821	0.45758	0.720036	0.83833	0.37	0.69399	0	0	7897329	7897329	THAP3
5.82	-0.072	-0.088	-1.08	-1.31	0.29016	0.20153	0.594479	0.728367	0.98	0.38909	0	0	7897339	7897339	CAMTA1
5.42	0.195	0.191	2	1.96	0.05683	0.06143	0.371185	0.606631	2.61	0.09358	0	0	7897368	7897368	NA
8.68	-0.121	-0.061	-1.3	-0.65	0.20527	0.5198	0.528593	0.861351	0.85	0.44123	0	0	7897370	7897370	VAMP3
6.41	-0.16	-0.175	-2.37	-2.6	0.02557	0.01546	0.319868	0.499108	4.14	0.02782	0	0	7897378	7897378	PER3
10.05	-0.079	-0.115	-1.01	-1.46	0.32359	0.15562	0.62184	0.701804	1.12	0.34147	0	0	7897404	7897404	PARK7
6.11	0.127	0.134	1.77	1.86	0.08886	0.07445	0.406345	0.624333	2.2	0.1315	0	0	7897416	7897416	SLC45A1
5.83	0.049	0.104	0.62	1.32	0.54006	0.20025	0.769605	0.727801	0.87	0.43284	0	0	7897422	7897422	NA
5.61	-0.115	-0.133	-1.32	-1.53	0.19822	0.13845	0.520831	0.681361	1.38	0.27069	0	0	7897424	7897424	NA
6.2	0.104	0.036	0.98	0.34	0.33729	0.73474	0.630751	0.929632	0.49	0.61675	0	0	7897439	7897439	NA
7.27	-0.029	-0.07	-0.37	-0.9	0.71702	0.37675	0.873155	0.810789	0.41	0.66837	0	0	7897441	7897441	H6PD
6.29	0.186	0.032	1.48	0.26	0.15185	0.80037	0.475275	0.946653	1.25	0.30432	0	0	7897449	7897449	SPSB1
5.61	0.088	-0.001	1.53	-0.01	0.13854	0.99142	0.462569	0.997939	1.57	0.22748	0	0	7897460	7897460	SLC25A33
6.24	0.011	0.014	0.18	0.22	0.86241	0.82484	0.94517	0.9551	0.03	0.97274	0	0	7897469	7897469	TMEM201
6.59	0.06	-0.029	0.78	-0.37	0.44337	0.7142	0.705026	0.92271	0.69	0.51175	0	0	7897482	7897482	PIK3CD
5.61	-0.04	-0.047	-0.58	-0.69	0.56397	0.49712	0.783235	0.852936	0.28	0.76123	0	0	7897509	7897509	NMNAT1
6.19	-0.044	-0.037	-0.35	-0.29	0.73143	0.77516	0.880815	0.942321	0.07	0.93344	0	0	7897520	7897520	NA
5.43	0.068	-0.028	0.81	-0.33	0.42289	0.74456	0.689579	0.933442	0.69	0.509	0	0	7897522	7897522	RBP7
8.71	-0.171	-0.121	-1.96	-1.38	0.06124	0.17817	0.375797	0.717062	2.03	0.15242	0	0	7897527	7897527	UBE4B
7.6	-0.051	-0.014	-0.8	-0.22	0.4303	0.83127	0.695896	0.957727	0.34	0.71209	0	0	7897561	7897561	KIF1B
8.38	-0.188	-0.324	-1.16	-1.99	0.2586	0.05698	0.571557	0.595813	2.01	0.1554	0	0	7897620	7897620	PGD
7.49	-0.033	-0.068	-0.52	-1.07	0.60477	0.29264	0.809419	0.771611	0.58	0.56844	0	0	7897648	7897648	PEX14
7.72	-0.076	-0.021	-0.75	-0.2	0.46116	0.84071	0.715481	0.96052	0.3	0.74376	0	0	7897661	7897661	NA
9.35	-0.1	-0.106	-1.55	-1.64	0.13271	0.11247	0.455115	0.664208	1.71	0.20136	0	0	7897663	7897663	TARDBP
7.44	0.138	0.063	1.8	0.82	0.08341	0.4175	0.399195	0.827136	1.63	0.21615	0	0	7897685	7897685	UBIAD1
6.1	0.025	0.007	0.38	0.11	0.70811	0.91275	0.86818	0.978691	0.08	0.9272	0	0	7897691	7897691	DISP3
6.48	0.018	-0.022	0.26	-0.33	0.79679	0.74641	0.914674	0.933934	0.17	0.84202	0	0	7897714	7897714	FBXO44
6.49	0.096	0.085	1.14	1.01	0.26553	0.32398	0.576141	0.788069	0.78	0.47119	0	0	7897728	7897728	FBXO6
7.31	0.081	0.103	1	1.27	0.32515	0.21403	0.622376	0.731764	0.9	0.41853	0	0	7897737	7897737	DRAXIN
7.51	0.149	0.13	1.91	1.67	0.06712	0.10716	0.381951	0.661893	2.17	0.135	0	0	7897745	7897745	AGTRAP
6.51	0.107	0.1	2	1.87	0.0569	0.07312	0.371185	0.621657	2.5	0.10236	0	0	7897753	7897753	C1orf167
7.7	0.03	0.015	0.4	0.2	0.69174	0.84043	0.856636	0.96052	0.08	0.92295	0	0	7897774	7897774	NA
10.73	-0.446	-0.353	-1.16	-0.92	0.25732	0.36776	0.570693	0.806818	0.75	0.48371	0	0	7897801	7897801	RNU5E-1
8.27	0.095	-0.043	0.85	-0.39	0.40421	0.70038	0.677061	0.921487	0.8	0.45999	0	0	7897803	7897803	PLOD1
8.7	-0.059	-0.027	-0.62	-0.28	0.54187	0.77931	0.770446	0.943143	0.19	0.82679	0	0	7897824	7897824	MFN2
7.58	0.181	0.181	2.22	2.22	0.03535	0.03542	0.338416	0.555087	3.29	0.05353	0	0	7897849	7897849	MIIP
6.93	0.067	0.055	0.89	0.72	0.38442	0.47787	0.662926	0.847032	0.44	0.64686	0	0	7897860	7897860	TNFRSF8
7.96	0.189	0.122	1.5	0.97	0.14476	0.34097	0.467012	0.797822	1.16	0.32841	0	0	7897877	7897877	TNFRSF1B
8.02	-0.136	-0.169	-1.25	-1.55	0.22376	0.13411	0.543175	0.676131	1.35	0.27801	0	0	7897890	7897890	VPS13D
6.07	-0.034	0.013	-0.42	0.16	0.67767	0.87185	0.849469	0.969587	0.18	0.83528	0	0	7897953	7897953	NA
5.91	0.109	0.029	0.54	0.14	0.59276	0.8866	0.802011	0.972235	0.16	0.85516	0	0	7897960	7897960	AADACL3
5.94	0.038	0.029	0.45	0.34	0.65586	0.73617	0.837004	0.929961	0.11	0.89579	0	0	7897974	7897974	PRAMEF12
6.4	0.117	0.103	2.13	1.88	0.04336	0.07145	0.35269	0.621206	2.71	0.08596	0	0	7897991	7897991	NA
6.01	-0.018	0.088	-0.23	1.17	0.81809	0.25472	0.924151	0.756697	1.12	0.34129	0	0	7897997	7897997	NA
6	0.036	0.154	0.45	1.96	0.65429	0.06172	0.836818	0.606631	2.09	0.144	0	0	7898002	7898002	NA
5.95	0.031	0.007	0.31	0.07	0.7603	0.94749	0.895238	0.987151	0.05	0.94878	0	0	7898030	7898030	NA
5.93	0.073	0.083	0.92	1.05	0.3667	0.30581	0.650746	0.777329	0.65	0.53	0	0	7898052	7898052	NA
7.88	0.205	-0.294	1.39	-2	0.17572	0.05685	0.50076	0.595293	5.8	0.00844	0	0	7898057	7898057	PDPN
7.51	-0.063	-0.01	-0.64	-0.1	0.52948	0.91907	0.761686	0.979604	0.23	0.79274	0	0	7898070	7898070	PRDM2
7.31	-0.041	-0.053	-0.52	-0.66	0.60988	0.51237	0.812798	0.85959	0.24	0.78572	0	0	7898084	7898084	KAZN
6.14	0.053	0.049	0.7	0.65	0.49033	0.52102	0.736399	0.861388	0.31	0.73956	0	0	7898102	7898102	KAZN
5.86	-0.021	-0.033	-0.2	-0.33	0.83952	0.74235	0.936606	0.9326	0.06	0.94545	0	0	7898112	7898112	TMEM51-AS1
6.32	0.075	0.018	1.02	0.25	0.31617	0.80466	0.615398	0.947612	0.57	0.57348	0	0	7898115	7898115	TMEM51
5.67	0.093	0.106	1.65	1.89	0.11179	0.07085	0.431902	0.620467	2.11	0.14216	0	0	7898124	7898124	FHAD1
8.14	-0.009	0.219	-0.08	2.01	0.93581	0.05493	0.976718	0.593844	2.81	0.07883	0	0	7898161	7898161	EFHD2
5.87	0.053	0.136	0.86	2.23	0.39729	0.03493	0.672237	0.555087	2.53	0.09987	0	0	7898167	7898167	CTRC
6.12	0.192	0.141	1.83	1.34	0.07974	0.19206	0.396784	0.723566	1.79	0.18776	0	0	7898176	7898176	CELA2A
6.15	0.174	0.087	2.32	1.16	0.02877	0.25774	0.326152	0.758088	2.69	0.08737	0	0	7898184	7898184	CELA2B
7.73	-0.205	-0.113	-2.21	-1.22	0.03631	0.2325	0.339558	0.74318	2.45	0.10622	0	0	7898192	7898192	DNAJC16
6.86	-0.111	-0.081	-1.13	-0.83	0.26804	0.41601	0.578274	0.826487	0.69	0.51241	0	0	7898209	7898209	NA
8.22	-0.203	-0.094	-2.71	-1.25	0.01202	0.22235	0.282351	0.735829	3.67	0.03991	0	0	7898211	7898211	NA
8.55	0	0.03	0.01	0.43	0.99556	0.67082	0.999062	0.91228	0.12	0.88593	0	0	7898227	7898227	PLEKHM2
6.93	-0.004	0.034	-0.05	0.48	0.95914	0.63787	0.985403	0.902412	0.17	0.845	0	0	7898249	7898249	SLC25A34
6.24	0.004	-0.045	0.07	-0.73	0.9464	0.47369	0.980676	0.845274	0.39	0.68192	0	0	7898256	7898256	TMEM82
7.19	0.211	0.149	2.31	1.64	0.02953	0.1144	0.327034	0.664762	2.82	0.0787	0	0	7898263	7898263	FBLIM1
9.21	-0.042	-0.046	-0.54	-0.59	0.5954	0.55891	0.803287	0.875092	0.21	0.80851	0	0	7898276	7898276	NA
8.52	-0.048	0.018	-0.65	0.24	0.52038	0.81285	0.755788	0.951011	0.43	0.6581	0	0	7898278	7898278	SPEN
5.99	0.083	0.017	1.2	0.24	0.24139	0.80903	0.557711	0.948877	0.8	0.45869	0	0	7898296	7898296	C1orf64
6.15	0.164	0.167	2.11	2.14	0.04474	0.04218	0.352733	0.573693	3.01	0.067	0	0	7898300	7898300	CLCNKA
5.84	0.071	0.004	0.96	0.05	0.34745	0.96179	0.637863	0.990431	0.58	0.56624	0	0	7898314	7898314	CLCNKB
8.72	-0.117	-0.032	-0.98	-0.27	0.33475	0.78926	0.629089	0.945015	0.52	0.60293	0	0	7898328	7898328	SZRD1
8.97	0.102	0.029	1.49	0.42	0.14761	0.67453	0.469791	0.913233	1.18	0.32221	0	0	7898337	7898337	NECAP2
6.01	-0.073	-0.096	-0.37	-0.49	0.71513	0.63144	0.87258	0.899714	0.13	0.87995	0	0	7898353	7898353	NA
5.33	0.031	-0.082	0.24	-0.63	0.8159	0.53725	0.922937	0.869246	0.4	0.67722	0	0	7898355	7898355	NA
6.67	0.079	0.097	1.17	1.45	0.25489	0.1604	0.568878	0.704295	1.18	0.32484	0	0	7898357	7898357	NA
6.02	-0.003	-0.015	-0.05	-0.2	0.96259	0.84465	0.987252	0.961779	0.02	0.97887	0	0	7898371	7898371	NA
11.15	0.303	-0.117	1.44	-0.56	0.16154	0.58185	0.485585	0.881577	2.13	0.13964	0	0	7898375	7898375	NA
6.39	0.108	0.055	1.48	0.76	0.15253	0.45443	0.475275	0.836674	1.09	0.35205	0	0	7898377	7898377	CROCC
11.15	0.302	-0.117	1.44	-0.56	0.16195	0.58278	0.48573	0.881789	2.12	0.14032	0	0	7898411	7898411	NA
5.87	0.236	0.301	1.61	2.06	0.11931	0.04981	0.441217	0.584412	2.35	0.11603	0	0	7898413	7898413	PADI1
6.19	0.132	0.11	1.98	1.66	0.05824	0.10954	0.372147	0.663461	2.26	0.12459	0	0	7898431	7898431	PADI3
5.7	0.048	0.027	0.63	0.35	0.53437	0.72855	0.765099	0.927914	0.2	0.82058	0	0	7898448	7898448	PADI4
6.63	0	-0.014	0.01	-0.23	0.99519	0.82042	0.998854	0.953455	0.04	0.96466	0	0	7898483	7898483	ARHGEF10L
6.02	-0.038	0.011	-0.53	0.16	0.60359	0.87782	0.808318	0.970591	0.25	0.777	0	0	7898516	7898516	ACTL8
6.37	0.105	0.112	1.48	1.58	0.15237	0.12688	0.475275	0.670803	1.56	0.2297	0	0	7898521	7898521	IGSF21
6.76	0.017	0.082	0.3	1.47	0.76396	0.15492	0.896589	0.701218	1.2	0.31838	0	0	7898533	7898533	KLHDC7A
6.26	0.095	0.075	1.08	0.86	0.29	0.39971	0.594479	0.818341	0.65	0.53019	0	0	7898537	7898537	PAX7
6.82	-0.049	-0.019	-0.51	-0.2	0.61511	0.84529	0.815416	0.961851	0.13	0.87713	0	0	7898549	7898549	MRTO4
7.36	0.019	0.061	0.25	0.81	0.80148	0.42326	0.917195	0.829632	0.35	0.71021	0	0	7898556	7898556	PQLC2
8.34	-0.089	0.146	-0.65	1.07	0.51983	0.29296	0.755445	0.771611	1.52	0.23795	0	0	7898570	7898570	NA
8.69	-0.087	-0.142	-0.94	-1.53	0.35837	0.13965	0.645664	0.682394	1.18	0.32278	0	0	7898574	7898574	NA
6.13	-0.11	-0.033	-1.61	-0.48	0.12038	0.6347	0.442998	0.901196	1.36	0.27445	0	0	7898582	7898582	RPS14P3
7.05	0.151	0.006	2	0.08	0.05692	0.9372	0.371185	0.984759	2.55	0.09783	0	0	7898585	7898585	NA
6.25	0.038	-0.057	0.54	-0.8	0.59596	0.42975	0.803795	0.829972	0.91	0.41574	0	0	7898594	7898594	HTR6
6.94	0.015	0	0.18	0.01	0.85823	0.99535	0.944029	0.998827	0.02	0.97921	0	0	7898602	7898602	OTUD3
7.67	-0.062	-0.022	-0.56	-0.2	0.58012	0.8459	0.794519	0.961851	0.16	0.85154	0	0	7898607	7898607	NA
7.71	0.09	-0.164	0.51	-0.92	0.61603	0.36557	0.815943	0.806256	1.05	0.36481	0	0	7898609	7898609	PLA2G5
6.5	-0.001	0.069	-0.01	0.63	0.99503	0.53298	0.998854	0.867967	0.27	0.76625	0	0	7898616	7898616	PLA2G2F
5.66	-0.041	-0.129	-0.59	-1.87	0.56017	0.07316	0.78128	0.621657	1.83	0.18152	0	0	7898623	7898623	UBXN10
5.98	0.002	0.005	0.03	0.08	0.97474	0.93413	0.991903	0.983036	0	0.99646	0	0	7898627	7898627	VWA5B1
7.79	0.081	0.095	1.37	1.59	0.18246	0.12401	0.506854	0.669328	1.49	0.24527	0	0	7898653	7898653	FAM43B
6.84	0.149	0.269	1.34	2.41	0.19335	0.02373	0.517035	0.516498	2.91	0.07302	0	0	7898655	7898655	CDA
8.1	-0.144	-0.01	-1.57	-0.11	0.12983	0.91177	0.452207	0.978233	1.53	0.23676	0	0	7898663	7898663	NA
6.3	0.177	0.127	2.46	1.76	0.02103	0.08989	0.305724	0.645478	3.22	0.0569	0	0	7898673	7898673	NA
7.27	0.102	0.129	1.12	1.41	0.27272	0.17035	0.581705	0.711779	1.11	0.34478	0	0	7898677	7898677	HS6ST1
7.66	-0.228	-0.393	-2	-3.44	0.05644	0.00201	0.370985	0.304652	5.98	0.00746	0	0	7898679	7898679	NBPF3
6.2	0.058	0.007	0.81	0.11	0.42495	0.91691	0.691319	0.979197	0.39	0.6818	0	0	7898693	7898693	ALPL
6.73	0.113	0.16	1.92	2.72	0.0663	0.01156	0.381786	0.472717	3.91	0.03304	0	0	7898707	7898707	LDLRAD2
7.09	0.058	0.048	0.87	0.71	0.39287	0.48239	0.669079	0.848137	0.43	0.6555	0	0	7898713	7898713	CELA3B
6.37	0.139	0.093	2.04	1.37	0.05165	0.18271	0.362634	0.717062	2.17	0.13529	0	0	7898725	7898725	CELA3A
6.42	-0.068	0.015	-0.66	0.14	0.51693	0.88961	0.754171	0.973225	0.36	0.69944	0	0	7898736	7898736	LINC00339
6.85	-0.019	0.018	-0.35	0.32	0.73231	0.74798	0.881567	0.93403	0.22	0.80011	0	0	7898739	7898739	CDC42
7.16	-0.028	-0.127	-0.34	-1.58	0.73337	0.12646	0.881765	0.669587	1.38	0.2696	0	0	7898750	7898750	ZBTB40
6.02	0.123	0.086	1.92	1.34	0.06613	0.19177	0.381786	0.723566	1.94	0.16435	0	0	7898773	7898773	EPHA8
7.32	0.514	0.183	2.05	0.73	0.05064	0.47285	0.361649	0.845274	2.16	0.13558	0	0	7898793	7898793	C1QA
8.4	0.585	0.172	2	0.59	0.05591	0.56179	0.369335	0.876551	2.12	0.14062	0	0	7898799	7898799	C1QC
8.06	0.592	0.24	1.92	0.78	0.06558	0.44338	0.381748	0.832547	1.88	0.17408	0	0	7898805	7898805	C1QB
7.11	0.04	0.019	0.38	0.19	0.70696	0.85454	0.867158	0.964611	0.07	0.93044	0	0	7898809	7898809	EPHB2
7.78	-0.038	0.023	-0.38	0.23	0.70937	0.82262	0.869159	0.954329	0.19	0.83153	0	0	7898833	7898833	KDM1A
6.84	0.027	0.18	0.26	1.76	0.79446	0.09111	0.913576	0.646385	1.79	0.18669	0	0	7898856	7898856	NA
6.43	-0.005	-0.002	-0.06	-0.03	0.94896	0.97602	0.981786	0.993076	0	0.99791	0	0	7898858	7898858	ZNF436-AS1
6.11	0.147	0.061	1.97	0.81	0.06011	0.4267	0.373423	0.82984	1.96	0.16202	0	0	7898869	7898869	MDS2
9.69	-0.082	-0.047	-0.9	-0.51	0.3753	0.6112	0.656806	0.890997	0.41	0.66801	0	0	7898875	7898875	RPL11
7.83	0	-0.029	0	-0.43	0.99726	0.66942	0.99962	0.911434	0.13	0.88268	0	0	7898881	7898881	ELOA
7.43	-0.104	-0.01	-1.04	-0.1	0.3069	0.92047	0.607101	0.979653	0.66	0.5247	0	0	7898894	7898894	PITHD1
8.95	0.196	0.183	1.95	1.82	0.06257	0.08009	0.377531	0.633499	2.38	0.1131	0	0	7898902	7898902	LYPLA2
10.33	-0.203	-0.225	-2.23	-2.47	0.03484	0.02055	0.337304	0.51185	3.71	0.03857	0	0	7898910	7898910	PNRC2
6.07	0.084	0.147	1.32	2.32	0.19835	0.02866	0.520831	0.538141	2.71	0.08584	0	0	7898916	7898916	GRHL3
6.48	-0.248	-0.231	-2.4	-2.24	0.02383	0.03403	0.312965	0.552566	3.61	0.04176	0	0	7898939	7898939	NIPAL3
7.28	-0.181	-0.145	-1.86	-1.49	0.07494	0.14795	0.392455	0.691925	1.94	0.16496	0	0	7898957	7898957	RCAN3
7.4	-0.351	-0.184	-2.92	-1.53	0.0073	0.13843	0.275137	0.681361	4.26	0.02543	0	0	7898967	7898967	NCMAP
8.88	0.066	-0.001	0.67	-0.01	0.51175	0.99058	0.750684	0.997787	0.3	0.74294	0	0	7898975	7898975	SRRM1
10.52	-0.016	0.113	-0.2	1.35	0.84525	0.18785	0.938981	0.721969	1.43	0.25911	0	0	7898988	7898988	CLIC4
5.75	0.172	0.08	1.66	0.77	0.11016	0.44639	0.430033	0.833156	1.37	0.2717	0	0	7898998	7898998	RHD
9.11	-0.093	0.019	-1.01	0.2	0.32419	0.83961	0.621946	0.960408	0.84	0.44384	0	0	7899005	7899005	TMEM50A
8.47	-0.096	0.013	-1.04	0.14	0.30895	0.89074	0.608976	0.973225	0.83	0.44858	0	0	7899016	7899016	SDHD
7.27	-0.005	0.031	-0.08	0.44	0.93977	0.66211	0.977771	0.908876	0.16	0.85576	0	0	7899018	7899018	TMEM57
7.67	0.02	-0.005	0.27	-0.07	0.78615	0.94304	0.90985	0.986175	0.07	0.93555	0	0	7899023	7899023	LDLRAP1
9.69	0.088	0.451	0.69	3.54	0.49413	0.00157	0.738405	0.289093	7.05	0.0037	0	0	7899029	7899029	MAN1C1
8.31	0.063	-0.043	0.82	-0.56	0.42166	0.57995	0.688141	0.881116	0.96	0.39653	0	0	7899043	7899043	SELENON
8.51	-0.091	-0.117	-0.87	-1.11	0.39246	0.27679	0.669012	0.763889	0.68	0.51387	0	0	7899057	7899057	MTFR1L
7.47	0.415	0.406	3.11	3.04	0.00464	0.00546	0.270929	0.396323	6.29	0.00605	0	0	7899071	7899071	NA
6.26	0.022	0.06	0.31	0.84	0.76067	0.41041	0.895259	0.823567	0.36	0.70223	0	0	7899075	7899075	EXTL1
6.92	-0.079	-0.051	-1.08	-0.7	0.2914	0.49204	0.595493	0.849635	0.6	0.55786	0	0	7899087	7899087	PDIK1L
7.23	0.125	0.029	1.95	0.46	0.06296	0.65065	0.377566	0.904872	2.07	0.14728	0	0	7899093	7899093	FAM110D
