A	Coef	t	p.value	p.value.adj	F	F.p.value	CasevsControl	Genes.Symbol	Genes.ID	Genes.Probe	Genes.ENTREZID	Genes.GENENAME	Genes.ALIAS
7.49	0.151	0.68	0.49739	0.708745	0.47	0.49739	0	NA	715844	hCT2342675	NA	NA	NA
9.91	-0.252	-1.01	0.31605	0.553035	1.03	0.31605	0	NA	699594	hCT2342952	NA	NA	NA
8.05	-0.088	-0.35	0.7278	0.864019	0.12	0.7278	0	NA	183260	hCT2345248	NA	NA	NA
7.43	0.096	0.43	0.66588	0.828216	0.19	0.66588	0	F9	161075	hCT2345282,hCT5715.2,hCT2345281,hCT2345280	2158	coagulation factor IX	F9 p22, FIX, HEMB, P19, PTC, THPH8, F9
11.48	0.314	2.45	0.01828	0.097124	6	0.01828	0	NA	152737	hCT2345418	NA	NA	NA
7.65	-0.214	-0.9	0.37509	0.608061	0.8	0.37509	0	NA	158415	hCT2346624	NA	NA	NA
9.54	-0.361	-1.79	0.08037	0.248487	3.2	0.08037	0	NA	234034	hCT2347535	NA	NA	NA
8.23	0.221	0.92	0.36018	0.595304	0.85	0.36018	0	NA	228132	hCT2347538	NA	NA	NA
8.54	-0.405	-1.66	0.10363	0.290084	2.76	0.10363	0	NA	222530	hCT2347758	NA	NA	NA
7.4	-0.233	-1.66	0.10382	0.290261	2.76	0.10382	0	NA	151544	hCT2347808	NA	NA	NA
7.78	-0.023	-0.11	0.91228	0.96027	0.01	0.91228	0	NA	199568	hCT2348194	NA	NA	NA
9.66	-0.211	-1.1	0.27828	0.515465	1.2	0.27828	0	RTTN	153552	hCT2348519,hCT1950650.2,hCT2354307,hCT2348520	25914	rotatin	MSSP, RTTN
7.34	-0.054	-0.27	0.78792	0.897552	0.07	0.78792	0	NA	408619	hCT2348878	NA	NA	NA
13.82	0.499	3.45	0.00121	0.016171	11.93	0.00121	1	CLK4	144980	hCT2352777,hCT11173.1	57396	CDC like kinase 4	CLK4
12.92	0.695	2.85	0.00655	0.049834	8.13	0.00655	1	HTRA3	208657	hCT2356295,hCT8437.2	94031	HtrA serine peptidase 3	Prsp, Tasp, HTRA3
9.32	0.47	2.37	0.02224	0.110456	5.61	0.02224	0	GPR133	102836	hCT2358126,hCT12284.3	NA	NA	NA
11.52	0.721	3.42	0.00132	0.017068	11.73	0.00132	1	SLA	206927	hCT24659.3	6503	Src like adaptor	SLA1, SLAP, SLA
15.24	0.016	0.08	0.93377	0.970926	0.01	0.93377	0	NA	236389	hCT28352.4	NA	NA	NA
8.26	-0.22	-1.06	0.29554	0.532576	1.12	0.29554	0	MPP6	100244	hCT30083.3,hCT2357683,hCT2299017,hCT1962902.1	51678	membrane palmitoylated protein 6	PALS2, VAM-1, VAM1, p55T, MPP6
11.83	0.271	0.88	0.38581	0.617453	0.77	0.38581	0	NA	106681	hCT31645.3	NA	NA	NA
8.02	0.29	1.14	0.25972	0.495725	1.3	0.25972	0	NA	189778	hCT31933.3	NA	NA	NA
10.21	-0.063	-0.28	0.77866	0.8933	0.08	0.77866	0	CA11	141854	hCT6289.3,hCT2283753,hCT1967178.1	770	carbonic anhydrase 11	CARPX1, CA11
7.57	0.292	1.47	0.14753	0.356933	2.17	0.14753	0	NR0B1	148963	hCT6545.2	190	nuclear receptor subfamily 0 group B member 1	AHC, AHCH, AHX, DAX-1, DAX1, DSS, GTD, HHG, NROB1, SRXY2, NR0B1
16.11	0.165	1.36	0.18098	0.402982	1.85	0.18098	0	NA	189331	hCT7643.2	NA	NA	NA
11.61	-0.152	-1.56	0.12468	0.32315	2.45	0.12468	0	PTK2B	198499	hCT8335.3,hCT2273641,hCT2353905,hCT2353904	2185	protein tyrosine kinase 2 beta	CADTK, CAKB, FADK2, FAK2, PKB, PTK, PYK2, RAFTK, PTK2B
11.73	-0.329	-1.42	0.16366	0.3796	2	0.16366	0	PAK3	182021	hCT8535.4	5063	p21 (RAC1) activated kinase 3	ARA, MRX30, MRX47, OPHN3, PAK-3, PAK3beta, bPAK, beta-PAK, PAK3
20.16	-0.087	-1.26	0.21373	0.443077	1.59	0.21373	0	NA	NA	NA	NA	NA	NA
13.53	-0.375	-2.4	0.02049	0.10497	5.77	0.02049	0	MSN	129188	hCT10003.2,hCT2267825	4478	moesin	HEL70, IMD50, MSN
16.2	0.335	3.31	0.00184	0.021412	10.95	0.00184	1	GHITM	180427	hCT10013.3,hCT2273086,hCT2273087,hCT2356012	27069	growth hormone inducible transmembrane protein	DERP2, HSPC282, MICS1, My021, PTD010, TMBIM5, GHITM
8.91	-0.364	-1.51	0.13783	0.342696	2.28	0.13783	0	PFKFB1	160822	hCT10016.3	5207	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 1	F6PK, HL2K, PFRX, PFKFB1
11.16	-0.169	-0.93	0.35581	0.591146	0.87	0.35581	0	TACC3	165983	hCT10020.3,hCT2356273	10460	transforming acidic coiled-coil containing protein 3	ERIC-1, ERIC1, TACC3
17.71	0.716	5.09	1e-05	0.000456	25.93	1e-05	1	MEST	155047	hCT10032.3,hCT2305740,hCT2305739	4232	mesoderm specific transcript	PEG1, MEST
10.76	0.193	1.56	0.12582	0.324667	2.43	0.12582	0	TSGA14	114782	hCT10036.3	NA	NA	NA
9.9	-0.546	-1.85	0.07071	0.229347	3.43	0.07071	0	FLJ14803	131346	hCT10037.3	NA	NA	NA
10.44	-0.086	-0.67	0.50613	0.71593	0.45	0.50613	0	CPA4	154895	hCT10038.3	51200	carboxypeptidase A4	CPA3, CPA4
8.5	0.258	1.42	0.1612	0.375905	2.03	0.1612	0	NA	110079	hCT10039.4,hCT2255611	NA	NA	NA
9.88	-0.238	-0.98	0.33466	0.571488	0.95	0.33466	0	SC65	182017	hCT10045.2	NA	NA	NA
14.42	-0.255	-2.26	0.02838	0.129623	5.13	0.02838	0	WBSCR22	179534	hCT10056.3,hCT1963482.1	NA	NA	NA
10.06	-0.307	-2.06	0.04494	0.172923	4.25	0.04494	0	POLH	209002	hCT10061.3,hCT1968119.1,hCT1968120.1	5429	DNA polymerase eta	RAD30, RAD30A, XP-V, XPV, POLH
13.06	0.313	4.09	0.00017	0.004201	16.75	0.00017	1	MAD2L1BP	167868	hCT10062.3	9587	MAD2L1 binding protein	CMT2, MAD2L1BP
8.48	-0.599	-2.18	0.03414	0.145438	4.77	0.03414	0	VEGF	157943	hCT10063.3,hCT2285910,hCT2285909,hCT1963326.1,hCT2285904,hCT1963325.1	NA	NA	NA
12.32	-0.018	-0.08	0.93443	0.971131	0.01	0.93443	0	SLC29A1	155905	hCT10065.3,hCT2358805,hCT2358804	2030	solute carrier family 29 member 1 (Augustine blood group)	ENT1, SLC29A1
16.92	-0.229	-2.08	0.04342	0.169494	4.32	0.04342	0	HSPCB	197185	hCT10066.3,hCT2358806,hCT2285894.1	NA	NA	NA
13.33	-0.03	-0.21	0.83646	0.922629	0.04	0.83646	0	SLC35B2	124409	hCT10067.3	347734	solute carrier family 35 member B2	PAPST1, SLL, UGTrel4, SLC35B2
11.47	0.018	0.15	0.88032	0.944611	0.02	0.88032	0	EGFL9	162777	hCT10068.2,hCT2358810,hCT1968125.1,hCT1968123.1,hCT1968124.1,hCT1968122.1	NA	NA	NA
8.48	0.094	0.42	0.67575	0.834882	0.18	0.67575	0	CAPN11	136076	hCT10069.4,hCT1966919.2,hCT1966920.2,hCT2358811	11131	calpain 11	calpain11, CAPN11
8.61	0.311	1.07	0.29208	0.528812	1.14	0.29208	0	NA	705612	hCT10070.2	NA	NA	NA
9.93	0.726	4.41	6e-05	0.002133	19.41	6e-05	1	NA	171009	hCT10071.3	NA	NA	NA
12.76	-1.457	-5.58	0	0.000146	31.19	0	-1	C6orf109	173526	hCT10072.3	NA	NA	NA
11.39	-0.412	-2.95	0.00499	0.041664	8.72	0.00499	-1	NA	119802	hCT10075.4	NA	NA	NA
13	-0.114	-1.14	0.25849	0.494547	1.31	0.25849	0	MRPS18A	170354	hCT10077.3,hCT1963328.1	55168	mitochondrial ribosomal protein S18A	HumanS18b, MRP-S18-3, MRPS18-3, S18bmt, MRPS18A
7.87	0.51	2.18	0.03465	0.146639	4.74	0.03465	0	NA	172827	hCT10081.2	NA	NA	NA
7.77	-0.011	-0.04	0.96614	0.984697	0	0.96614	0	MYLC2PL	187064	hCT10105.2,hCT1950184.1	NA	NA	NA
9.93	-1.264	-4.13	0.00015	0.003855	17.09	0.00015	-1	APS	146482	hCT10106.3	NA	NA	NA
8.55	0.35	1.41	0.16508	0.381562	1.99	0.16508	0	HGF	219486	hCT10117.2,hCT2355659	3082	hepatocyte growth factor	DFNB39, F-TCF, HGFB, HPTA, SF, HGF
12.62	0.319	0.7	0.48577	0.699839	0.49	0.48577	0	LZIC	200574	hCT10119.3,hCT2294608	84328	leucine zipper and CTNNBIP1 domain containing	LZIC
13.83	0.212	2.65	0.01105	0.070125	7.02	0.01105	0	GGPS1	130606	hCT10132.4,hCT1962912.1,hCT1962910.1,hCT2354722,hCT1962911.1	9453	geranylgeranyl diphosphate synthase 1	GGPPS, GGPPS1, GGPS1
9.31	0.715	1.72	0.09216	0.270009	2.96	0.09216	0	NRP1	213890	hCT10139.3	8829	neuropilin 1	BDCA4, CD304, NP1, NRP, VEGF165R, NRP1
10.98	-0.517	-3.18	0.00263	0.027045	10.14	0.00263	-1	SIGIRR	186186	hCT10145.4	59307	single Ig and TIR domain containing	IL-1R8, TIR8, SIGIRR
11.3	-0.196	-1.3	0.20003	0.427517	1.69	0.20003	0	STS-1	189125	hCT10147.3	NA	NA	NA
8.91	0.387	1.74	0.08826	0.263075	3.04	0.08826	0	GHSR	103567	hCT10156.2,hCT1953137	2693	growth hormone secretagogue receptor	GHDP, GHSR
16.31	-0.175	-2.13	0.03823	0.156141	4.56	0.03823	0	ARF4	156659	hCT10161.3	378	ADP ribosylation factor 4	ARF2, ARF4
12	0.021	0.15	0.88095	0.944852	0.02	0.88095	0	TUBA2	129890	hCT10165.2,hCT2316241.1	NA	NA	NA
13.38	-0.031	-0.21	0.83216	0.920914	0.05	0.83216	0	HSPC176	117637	hCT10168.2	NA	NA	NA
12.97	-0.257	-1.67	0.10161	0.286497	2.79	0.10161	0	APRT	139466	hCT10174.3,hCT2354320	353	adenine phosphoribosyltransferase	AMP, APRTD, APRT
7.44	0.049	0.27	0.7853	0.896696	0.08	0.7853	0	SLC17A1	155781	hCT10183.2	6568	solute carrier family 17 member 1	NAPI-1, NPT-1, NPT1, SLC17A1
13.68	0.74	2.84	0.00674	0.050658	8.07	0.00674	0	HIST1H2AC	132057	hCT10185.3,hCT2252584.1	8334	histone cluster 1 H2A family member c	H2A/l, H2AFL, dJ221C16.4, HIST1H2AC
7.92	-0.424	-2.66	0.01078	0.068799	7.08	0.01078	0	SLC17A4	159775	hCT10187.3,hCT2252559	10050	solute carrier family 17 member 4	KAIA2138, SLC17A4
9.2	0.543	1.3	0.19904	0.426372	1.7	0.19904	0	SCGN	184667	hCT10190.2	10590	secretagogin, EF-hand calcium binding protein	CALBL, DJ501N12.8, SECRET, SEGN, setagin, SCGN
7.39	-0.17	-1.06	0.29693	0.533911	1.11	0.29693	0	HIST1H3B	304298	hCT10191.2	8358	histone cluster 1 H3 family member b	H3/l, H3FL, HIST1H3B
9.98	0.013	0.05	0.95814	0.981742	0	0.95814	0	HIST1H2BA	125872	hCT10192.2	255626	histone cluster 1 H2B family member a	H2BFU, STBP, TH2B, TSH2B, TSH2B.1, bA317E16.3, HIST1H2BA
13.41	0.002	0.02	0.98464	0.993733	0	0.98464	0	BTBD6	182595	hCT10196.2	90135	BTB domain containing 6	BDPL, BTBD6
10.78	0.3	1.19	0.24119	0.475973	1.41	0.24119	0	NUDT14	104588	hCT10197.1,hCT2356061,hCT2356062	256281	nudix hydrolase 14	UGPP, UGPPase, NUDT14
10.37	0.456	2.67	0.01048	0.067492	7.13	0.01048	0	ZNF511	186379	hCT10201.3,hCT1959553.1	118472	zinc finger protein 511	ZNF511
7.3	0.219	0.89	0.37935	0.611833	0.79	0.37935	0	GPR23	119667	hCT10212.3	NA	NA	NA
9.22	-0.051	-0.22	0.82523	0.917186	0.05	0.82523	0	PRAP1	176191	hCT10216.3	118471	proline rich acidic protein 1	PRO1195, UPA, PRAP1
9.56	0.518	2.23	0.03069	0.136198	4.98	0.03069	0	C10orf125	174121	hCT10217.2,hCT1808712	NA	NA	NA
7.71	0.04	0.2	0.83955	0.92429	0.04	0.83955	0	PCANAP6	111269	hCT10222.2,hCT2324503,hCT2324502	NA	NA	NA
8.59	-0.258	-1.43	0.16067	0.375296	2.03	0.16067	0	IQSEC2	139683	hCT10225.3	23096	IQ motif and Sec7 domain 2	BRAG1, MRX1, MRX18, MRX78, IQSEC2
14.96	-0.683	-3.47	0.00116	0.015718	12.04	0.00116	-1	SMCX	176550	hCT10226.3,hCT2357607	NA	NA	NA
7.57	-0.004	-0.02	0.98796	0.995156	0	0.98796	0	CLDN12	103554	hCT10232.2,hCT2320421	9069	claudin 12	CLDN12
17.31	-0.043	-0.43	0.66576	0.828133	0.19	0.66576	0	NA	103726	hCT10234.3	NA	NA	NA
11.67	0.035	0.23	0.81732	0.913506	0.05	0.81732	0	EVE1	192570	hCT10242.3,hCT2358929	NA	NA	NA
14.72	-0.542	-4.98	1e-05	0.000589	24.79	1e-05	-1	HSPC182	187195	hCT10254.2	NA	NA	NA
18.19	0.055	0.4	0.68962	0.843051	0.16	0.68962	0	NA	145293	hCT10261.4	NA	NA	NA
16.52	-0.029	-0.19	0.85347	0.931523	0.03	0.85347	0	GNG11	101973	hCT10263.2	2791	G protein subunit gamma 11	GNGT11, GNG11
14.08	0.18	0.59	0.55574	0.753216	0.35	0.55574	0	GNGT1	100103	hCT10265.4,hCT2320327.1	2792	G protein subunit gamma transducin 1	GNG1, GNGT1
7.96	-0.316	-1.18	0.2457	0.48056	1.38	0.2457	0	LRRC17	133553	hCT10278.2,hCT1957405.1	10234	leucine rich repeat containing 17	P37NB, LRRC17
15.27	-0.157	-1.8	0.07881	0.245147	3.23	0.07881	0	H2AFV	203036	hCT10310.3,hCT1963397.1,hCT1963396.1	94239	H2A histone family member V	H2A.Z-2, H2AV, H2AFV
8.09	-0.37	-1.5	0.13978	0.345936	2.26	0.13978	0	MYO1G	174085	hCT10314.3,hCT2353638,hCT2353637	64005	myosin IG	HA2, HLA-HA2, MHAG, MYO1G
9.61	-0.054	-0.25	0.80635	0.908199	0.06	0.80635	0	AGXT	211715	hCT10317.1,hCT1954044.1	189	alanine-glyoxylate aminotransferase	AGT, AGT1, AGXT1, PH1, SPAT, SPT, TLH6, AGXT
7.48	-0.126	-0.41	0.68541	0.840492	0.17	0.68541	0	SEMA3E	174993	hCT10318.2	9723	semaphorin 3E	M-SEMAH, M-SemaK, SEMAH, coll-5, SEMA3E
8.09	0.405	1.77	0.08402	0.25538	3.12	0.08402	0	NA	232183	hCT10319.2	NA	NA	NA
7.91	0.565	2.37	0.02236	0.110845	5.6	0.02236	0	NR5A2	177880	hCT10323.3,hCT1951270.1	2494	nuclear receptor subfamily 5 group A member 2	B1F, B1F2, CPF, FTF, FTZ-F1, FTZ-F1beta, LRH-1, LRH1, hB1F-2, NR5A2
15.74	0.199	2.9	0.0057	0.045544	8.43	0.0057	1	ANXA7	119326	hCT10335.2,hCT10334.2	310	annexin A7	ANX7, SNX, SYNEXIN, ANXA7
8.88	0.573	2.37	0.02224	0.110456	5.61	0.02224	0	NUDT13	151014	hCT10340.4,hCT2352856,hCT2352855,hCT1967748.2	25961	nudix hydrolase 13	NUDT13
7.64	-0.604	-4.11	0.00017	0.004076	16.87	0.00017	-1	NA	102004	hCT10341.3	NA	NA	NA
7.68	-0.049	-0.28	0.78064	0.894059	0.08	0.78064	0	SMPX	141034	hCT10350.2,hCT1950671.1,hCT2255701	23676	small muscle protein, X-linked	DFN6, DFNX4, SMPX
7.79	-0.187	-0.9	0.37506	0.608049	0.8	0.37506	0	PPM1E	170127	hCT10351.2	22843	protein phosphatase, Mg2+/Mn2+ dependent 1E	CaMKP-N, POPX1, PP2CH, caMKN, PPM1E
11.78	0.543	3.06	0.00375	0.034393	9.34	0.00375	1	KCNE1L	198165	hCT10356.2	NA	NA	NA
9.76	-0.22	-0.91	0.36546	0.599601	0.84	0.36546	0	AGR2	195456	hCT10360.3	10551	anterior gradient 2, protein disulphide isomerase family member	AG-2, AG2, GOB-4, HAG-2, HEL-S-116, HPC8, PDIA17, XAG-2, AGR2
8.34	-0.247	-1.23	0.22387	0.456212	1.52	0.22387	0	SOSTDC1	141635	hCT10363.2	25928	sclerostin domain containing 1	CDA019, DAND7, ECTODIN, USAG1, SOSTDC1
9.89	0.382	1.6	0.11709	0.311317	2.55	0.11709	0	MAP3K6	111735	hCT10368.3	9064	mitogen-activated protein kinase kinase kinase 6	ASK2, MAPKKK6, MEKK6, MAP3K6
11.5	0.395	3.13	0.00308	0.030115	9.78	0.00308	1	MGC13138	105979	hCT10385.3	NA	NA	NA
