A	Coef.BasalvsLP	Coef.BasalvsML	Coef.LPvsML	t.BasalvsLP	t.BasalvsML	t.LPvsML	p.value.BasalvsLP	p.value.BasalvsML	p.value.LPvsML	p.value.adj.BasalvsLP	p.value.adj.BasalvsML	p.value.adj.LPvsML	Res.BasalvsLP	Res.BasalvsML	Res.LPvsML	Genes.ENTREZID	Genes.SYMBOL
3.05	0.188	-0.331	-0.519	0	0	0	0.99284	0.98502	0.95149	1	1	1	0	0	0	246229	Bivm
4.66	0.605	0.889	0.284	0	0	0	0.99432	0.80762	0.99985	1	1	1	0	0	0	22592	Ercc5
3.57	1.736	2.889	1.153	2.67	6.33	0.51	0.01418	0.00012	0.31295	0.06257	0.00092	1	0	1	0	70676	Gulp1
7.5	-0.132	1.085	1.217	0	0.1	0.29	0.94173	0.47768	0.40016	1	1	1	0	0	0	12825	Col3a1
5.34	3.327	4.864	1.536	3.34	5.28	0.76	0.00527	4e-04	0.23713	0.025907	0.002595	1	1	1	0	12832	Col5a2
5.43	0.64	0.654	0.014	0	0	0	0.95084	0.9462	0.99994	1	1	1	0	0	0	73674	Wdr75
5.55	1.249	1.231	-0.018	1.89	1.77	0	0.04773	0.0575	0.99999	0.184807	0.210444	1	0	0	0	433297	Gm5526
2.26	-0.779	-1.67	-0.89	0	-2.96	0	0.80828	0.00909	0.68936	1	0.04039	1	0	-1	0	53945	Slc40a1
1.08	3.705	2.223	-1.482	4.99	2.8	-0.88	0.00055	0.01162	0.20446	0.003685	0.05029	1	1	0	0	227058	Dnah7b
5.52	2.861	2.218	-0.642	8.53	5.81	0	1e-05	2e-04	0.93804	0.000195	0.001476	1	1	1	0	227059	Slc39a10
0.55	1.369	3.386	2.017	0.7	3.78	1.58	0.25241	0.00277	0.07676	0.787526	0.013994	0.777326	0	1	0	56363	Tmeff2
5.4	3.508	3.383	-0.124	10.8	10.49	0	0	0	0.99822	5.9e-05	5.7e-05	1	1	1	0	20324	Sdpr
7.46	-1.836	-1.353	0.483	-3.63	-1.53	0	0.00339	0.08202	0.97792	0.017563	0.289213	1	-1	0	0	109019	Nabp1
6.52	-0.077	-0.678	-0.601	0	0	0	0.99991	0.96829	0.98945	1	1	1	0	0	0	17912	Myo1b
-0.8	-0.326	-1.853	-1.526	0	-2.1	-1.33	0.92554	0.0347	0.11006	1	0.133127	0.988598	0	0	0	20849	Stat4
5.44	-0.378	-0.885	-0.507	0	0	0	0.99885	0.78364	0.99711	1	1	1	0	0	0	20846	Stat1
7.83	0.407	0.935	0.529	0	0	0	0.99614	0.64512	0.99253	1	1	1	0	0	0	14660	Gls
7.18	-1.548	-0.722	0.826	-2.7	0	0	0.01358	0.89749	0.80803	0.060144	1	1	0	0	0	17936	Nab1
2.85	-0.12	-0.627	-0.508	0	0	0	0.99949	0.96849	0.98994	1	1	1	0	0	0	227094	Nemp2
6.58	-2	-1.158	0.842	-7.39	-1.17	0	4e-05	0.13724	0.87688	0.000415	0.457186	1	-1	0	0	98682	Mfsd6
3.81	-0.164	0.562	0.726	0	0	0	0.99971	0.98777	0.94388	1	1	1	0	0	0	16329	Inpp1
4.2	0.446	0.178	-0.267	0	0	0	0.99874	0.99992	0.99983	1	1	1	0	0	0	227095	Hibch
-0.05	4.022	5.221	1.199	9.04	11.37	0.49	1e-05	0	0.31794	0.000148	4e-05	1	1	1	0	67080	1700019D03Rik
2.44	-0.008	-0.257	-0.248	0	0	0	0.99998	0.99927	0.99935	1	1	1	0	0	0	227099	Pms1
3.28	-0.701	-1.765	-1.064	0	-2.89	-0.26	0.84087	0.01017	0.40183	1	0.044679	1	0	-1	0	227102	Ormdl1
2.26	1.06	0.46	-0.6	0.34	0	0	0.37004	0.99462	0.97512	1	1	1	0	0	0	72085	Osgepl1
4.71	-0.401	-0.405	-0.005	0	0	0	0.99899	0.999	1	1	1	1	0	0	0	70396	Asnsd1
4.47	0.811	0.617	-0.194	0	0	0	0.90197	0.9905	0.99988	1	1	1	0	0	0	98267	Stk17b
0.34	1.245	2.675	1.43	0.58	3.62	0.9	0.29086	0.00346	0.1966	0.887184	0.01701	1	0	1	0	329152	Hecw2
3.88	0.243	-0.217	-0.46	0	0	0	0.99983	0.9999	0.99889	1	1	1	0	0	0	98488	Gtf3c3
4.47	-0.134	-0.53	-0.396	0	0	0	0.99985	0.99477	0.99888	1	1	1	0	0	0	241062	Pgap1
4.61	1.796	1.408	-0.388	4.16	2.23	0	0.00159	0.02839	0.99427	0.009118	0.111648	1	1	0	0	329154	Ankrd44
9.66	-0.384	0.172	0.556	0	0	0	0.99728	0.99957	0.99111	1	1	1	0	0	0	81898	Sf3b1
7.73	-0.71	0.221	0.931	0	0	0	0.96472	0.99976	0.69732	1	1	1	0	0	0	67876	Coq10b
7.2	0.596	0.656	0.06	0	0	0	0.99273	0.98515	0.99999	1	1	1	0	0	0	15510	Hspd1
5.29	1.123	0.783	-0.341	0.91	0	0	0.19565	0.92909	0.99955	0.634903	1	1	0	0	0	15528	Hspe1
5.89	-0.11	-0.286	-0.176	0	0	0	0.9998	0.99905	0.99975	1	1	1	0	0	0	19070	Mob4
3.81	-1.597	-0.291	1.306	-1.97	0	1.05	0.04256	0.97354	0.1623	0.167311	1	1	0	0	0	74013	Rftn2
3.29	-0.018	0.601	0.62	0	0	0	0.99926	0.89727	0.89147	1	1	1	0	0	0	212679	Mars2
3.61	1.847	4.474	2.626	3.29	10.97	5.2	0.00558	0	0.00042	0.027266	4.6e-05	0.027728	1	1	1	227120	Plcl1
1.99	1.905	0.891	-1.015	3.82	0	-0.06	0.00257	0.69403	0.47601	0.013818	1	1	1	0	0	626009	Gm6644
1.2	0.762	1.588	0.826	0	2.37	0	0.82676	0.02281	0.74383	1	0.092215	1	0	0	0	73467	1700066M21Rik
3.03	-0.104	-0.016	0.088	0	0	0	0.99851	0.99981	0.99898	1	1	1	0	0	0	68736	Tyw5
4.1	-0.268	-0.154	0.115	0	0	0	0.9998	0.99994	0.99997	1	1	1	0	0	0	68115	Maip1
4.23	2.687	1.376	-1.311	8.38	2.08	-1.58	2e-05	0.03547	0.07645	0.000213	0.135902	0.776847	1	0	0	67198	Spats2l
3.04	0.225	-0.352	-0.577	0	0	0	0.9979	0.99575	0.97269	1	1	1	0	0	0	51960	Kctd18
1.52	1.937	2.442	0.504	4.44	6.71	0	0.0011	8e-05	0.96817	0.006649	0.000663	1	1	1	0	68549	Sgol2a
3.46	1.633	0.145	-1.488	2.12	0	-1.7	0.03342	0.99535	0.06437	0.135635	1	0.691788	0	0	0	11761	Aox1
8.2	-0.003	0.226	0.229	0	0	0	0.99999	0.9992	0.99953	1	1	1	0	0	0	66882	Bzw1
8.07	-0.251	0.117	0.368	0	0	0	0.99717	0.9991	0.99537	1	1	1	0	0	0	12747	Clk1
3.39	0.424	0.259	-0.165	0	0	0	0.99467	0.99889	0.99947	1	1	1	0	0	0	70225	Ppil3
3.5	0.329	-0.15	-0.478	0	0	0	0.99839	0.99975	0.99497	1	1	1	0	0	0	65102	Nif3l1
4.53	0.824	0.547	-0.277	0	0	0	0.90865	0.99761	0.99987	1	1	1	0	0	0	18393	Orc2
4.27	-1.513	-1.019	0.494	-2.21	-0.08	0	0.02904	0.46782	0.9777	0.119112	1	1	0	0	0	213056	Fam126b
4.41	0.242	-0.387	-0.629	0	0	0	0.9992	0.99772	0.97863	1	1	1	0	0	0	66495	Ndufb3
0.54	0.03	0.393	0.362	0	0	0	0.99857	0.96396	0.97026	1	1	1	0	0	0	100504501	Gm20257
6.36	0.272	0.274	0.002	0	0	0	0.99766	0.99764	0.99999	1	1	1	0	0	0	12633	Cflar
4.88	-0.007	-0.721	-0.713	0	0	0	0.99999	0.94989	0.95798	1	1	1	0	0	0	12370	Casp8
6.75	0.594	0.857	0.263	0	0	0	0.99254	0.84663	0.99985	1	1	1	0	0	0	70827	Trak2
2.27	1.274	0.742	-0.532	1.58	0	0	0.07602	0.92707	0.98684	0.278091	1	1	0	0	0	227154	Stradb
3.26	1.71	1.456	-0.254	4.07	2.73	0	0.00182	0.01289	0.99856	0.010264	0.05509	1	1	0	0	381259	Tmem237
5.48	0.699	0.854	0.155	0	0	0	0.96643	0.83381	0.99989	1	1	1	0	0	0	74018	Als2
5.95	2.455	2.923	0.468	4.89	6.45	0	0.00061	1e-04	0.95414	0.004003	0.000826	1	1	1	0	14369	Fzd7
5.34	-0.21	-0.184	0.025	0	0	0	0.99991	0.99993	1	1	1	1	0	0	0	22218	Sumo1
7.99	1.574	1.608	0.034	2.77	2.93	0	0.01214	0.00955	0.99985	0.054302	0.042188	1	0	1	0	55989	Nop58
6.26	0.49	0.555	0.065	0	0	0	0.97033	0.95426	0.99929	1	1	1	0	0	0	12168	Bmpr2
2.21	1.021	0.74	-0.281	0.07	0	0	0.47292	0.80778	0.98022	1	1	1	0	0	0	100504533	NA
5.38	0.112	0.832	0.721	0	0	0	0.9999	0.86056	0.96131	1	1	1	0	0	0	72750	Fam117b
-0.39	1.105	2.123	1.018	0.35	3.57	0.06	0.36812	0.00367	0.47859	1	0.017947	1	0	1	0	70375	Ica1l
3.44	0.765	0.865	0.1	0	0	0	0.89993	0.78096	0.99974	1	1	1	0	0	0	57750	Wdr12
1.91	0.039	0.38	0.341	0	0	0	0.99946	0.98714	0.99053	1	1	1	0	0	0	241066	Carf
0.02	0.109	-0.202	-0.312	0	0	0	0.99429	0.99001	0.97919	1	1	1	0	0	0	100504573	Gm15464
6.11	-0.004	-0.071	-0.068	0	0	0	0.99992	0.99843	0.99893	1	1	1	0	0	0	269198	Nbeal1
4.15	-0.825	-0.809	0.016	0	0	0	0.85301	0.87502	0.99999	1	1	1	0	0	0	77951	Cyp20a1
5.02	1.132	1.082	-0.05	1	0.63	0	0.1726	0.27321	0.99998	0.570282	0.832071	1	0	0	0	329165	Abi2
5.98	-0.775	0.503	1.278	0	0	1.67	0.88139	0.9883	0.0667	1	1	0.706663	0	0	0	77300	Raph1
4.01	-0.026	0.872	0.899	0	0	0	0.99968	0.70191	0.66799	1	1	1	0	0	0	72823	Pard3b
3.11	3.269	3.195	-0.074	5.42	5.45	0	0.00032	0.00031	0.98573	0.002351	0.002103	1	1	1	0	18187	Nrp2
6.95	-0.907	-0.253	0.655	0	0	0	0.69276	0.9986	0.96552	1	1	1	0	0	0	227195	Ino80d
0.72	-0.179	0.24	0.419	0	0	0	0.99088	0.9863	0.96263	1	1	1	0	0	0	100380944	Ino80dos
5.98	0.732	0.195	-0.537	0	0	0	0.96595	0.9999	0.9977	1	1	1	0	0	0	227197	Ndufs1
9.5	-0.303	-0.177	0.126	0	0	0	0.9997	0.99991	0.99997	1	1	1	0	0	0	55949	Eef1b2
0.5	-0.096	0.76	0.856	0	0	0	0.99784	0.81012	0.707	1	1	1	0	0	0	100217464	Snora41
2.54	0.889	1.03	0.141	0	0.08	0	0.61055	0.46904	0.9802	1	1	1	0	0	0	73884	Zdbf2
0.58	0.491	2.429	1.938	0	1.91	1.25	0.79374	0.04724	0.12631	1	0.176762	1	0	0	0	23792	Adam23
4.68	-0.002	0.082	0.084	0	0	0	1	0.99997	0.99997	1	1	1	0	0	0	75619	Fastkd2
