A	Coef	t	p.value	p.value.adj	F	F.p.value	PEvsC	Genes.PROBEID	Genes.ENTREZID	Genes.SYMBOL
10.14	-0.115	-0.68	0.50316	1	0.46	0.50316	0	200094_s_at	1938	EEF2
11.79	-0.12	-0.65	0.51984	1	0.43	0.51984	0	200095_x_at	6204	RPS10
10.91	-0.005	-0.03	0.97346	1	0	0.97346	0	200096_s_at	8992	ATP6V0E1
9.37	0.011	0.08	0.93841	1	0.01	0.93841	0	200097_s_at	3190	HNRNPK
9.2	-0.136	-0.9	0.37877	1	0.8	0.37877	0	200098_s_at	51433	ANAPC5
11.73	-0.039	-0.23	0.82033	1	0.05	0.82033	0	200099_s_at	6189 /// 8944	RPS3A /// SNORD73A
8.04	0.118	0.61	0.54851	1	0.37	0.54851	0	222385_x_at	29927	SEC61A1
9.19	0.08	0.64	0.53073	1	0.4	0.53073	0	222386_s_at	22818	COPZ1
6.91	0.134	1.29	0.20875	1	1.66	0.20875	0	222387_s_at	55737	VPS35
9.16	0.051	0.42	0.67558	1	0.18	0.67558	0	222388_s_at	55737	VPS35
8.54	0.205	1.07	0.29423	1	1.15	0.29423	0	222389_s_at	51322	WAC
9.71	0.179	1.13	0.26729	1	1.29	0.26729	0	222390_at	51322	WAC
8.16	0.118	0.68	0.50284	1	0.46	0.50284	0	222391_at	55754	TMEM30A
10.55	0.115	0.56	0.58013	1	0.31	0.58013	0	222392_x_at	64065	PERP
7.35	0.075	0.57	0.57414	1	0.32	0.57414	0	222393_s_at	80218	NAA50
8.31	-0.11	-0.89	0.37917	1	0.8	0.37917	0	222394_at	10015	PDCD6IP
8.72	-0.062	-0.51	0.61234	1	0.26	0.61234	0	222395_s_at	65264	UBE2Z
8.72	-0.434	-1.76	0.09007	1	3.1	0.09007	0	222396_at	51155	JPT1
6.92	0.063	0.99	0.32912	1	0.99	0.32912	0	222397_at	9343	EFTUD2
8.64	0.038	0.4	0.69563	1	0.16	0.69563	0	222398_s_at	9343	EFTUD2
9.83	-0.117	-0.6	0.5538	1	0.36	0.5538	0	222399_s_at	56889	TM9SF3
10.22	-0.213	-1.67	0.10784	1	2.78	0.10784	0	222400_s_at	55256	ADI1
9.28	0.043	0.27	0.79067	1	0.07	0.79067	0	222401_s_at	23585	TMEM50A
5.99	0.051	0.42	0.68042	1	0.17	0.68042	0	222402_at	51371	POMP
7.21	-0.166	-1.46	0.15751	1	2.12	0.15751	0	222403_at	23788	MTCH2
9.42	0.252	1.33	0.19647	1	1.76	0.19647	0	222404_x_at	51495	HACD3
9.71	0.088	0.74	0.46654	1	0.55	0.46654	0	222405_at	51495	HACD3
6.01	0.104	0.83	0.41652	1	0.68	0.41652	0	222406_s_at	55629	PNRC2
8.22	-0.097	-1.14	0.26397	1	1.3	0.26397	0	222407_s_at	64397	ZNF106
9.73	-0.029	-0.19	0.85073	1	0.04	0.85073	0	222408_s_at	51646	YPEL5
8.26	-0.034	-0.19	0.85073	1	0.04	0.85073	0	222409_at	23603	CORO1C
9.57	-0.102	-0.65	0.5212	1	0.42	0.5212	0	222410_s_at	58533	SNX6
8.91	-0.087	-0.62	0.54089	1	0.38	0.54089	0	222411_s_at	6747	SSR3
6.65	-0.217	-1.44	0.1623	1	2.07	0.1623	0	222412_s_at	6747	SSR3
7.67	0.248	1.59	0.12448	1	2.52	0.12448	0	222413_s_at	58508	KMT2C
8.96	0.185	0.87	0.39399	1	0.75	0.39399	0	222414_at	58508	KMT2C
9.12	0.184	0.9	0.37806	1	0.8	0.37806	0	222415_at	58508	KMT2C
7.06	-0.207	-1.73	0.09533	1	3	0.09533	0	222416_at	5832	ALDH18A1
7.27	-0.137	-0.82	0.42198	1	0.67	0.42198	0	222417_s_at	27131	SNX5
9.36	-0.018	-0.12	0.90317	1	0.02	0.90317	0	222418_s_at	79188	TMEM43
6.17	0.026	0.25	0.80469	1	0.06	0.80469	0	222419_x_at	7328	UBE2H
8.16	-0.127	-0.96	0.34366	1	0.93	0.34366	0	222420_s_at	7328	UBE2H
8.95	-0.237	-1.77	0.08881	1	3.13	0.08881	0	222421_at	7328	UBE2H
8.92	-0.068	-0.4	0.68993	1	0.16	0.68993	0	222422_s_at	80762	NDFIP1
8.13	-0.056	-0.34	0.73296	1	0.12	0.73296	0	222423_at	80762	NDFIP1
6.92	0.102	1.33	0.19389	1	1.78	0.19389	0	222424_s_at	64710	NUCKS1
7.62	-0.037	-0.58	0.5692	1	0.33	0.5692	0	222425_s_at	26073	POLDIP2
6.76	-0.009	-0.1	0.92026	1	0.01	0.92026	0	222426_at	79109	MAPKAP1
7.37	-0.08	-0.52	0.60575	1	0.27	0.60575	0	222427_s_at	51520	LARS
6.67	-0.137	-0.82	0.42229	1	0.67	0.42229	0	222428_s_at	51520	LARS
8.19	-0.042	-0.59	0.55908	1	0.35	0.55908	0	222429_at	28988 /// 102466985	DBNL /// MIR6837
8.51	0.036	0.17	0.86874	1	0.03	0.86874	0	222430_s_at	51441	YTHDF2
10.06	0.052	0.3	0.76377	1	0.09	0.76377	0	222431_at	10927	SPIN1
9.21	0.375	1.55	0.13338	1	2.4	0.13338	0	222432_s_at	57003	CCDC47
6.97	-0.181	-1.11	0.27661	1	1.24	0.27661	0	222433_at	55740	ENAH
8.49	0.079	0.56	0.582	1	0.31	0.582	0	222435_s_at	51465	UBE2J1
7.52	0.042	0.33	0.74501	1	0.11	0.74501	0	222436_s_at	51652 /// 7844 /// 100526767	CHMP3 /// RNF103 /// RNF103-CHMP3
8.81	-0.088	-0.72	0.47995	1	0.51	0.47995	0	222437_s_at	51652 /// 100526767	CHMP3 /// RNF103-CHMP3
7.22	0.008	0.1	0.91806	1	0.01	0.91806	0	222439_s_at	9967	THRAP3
8.81	-0.034	-0.49	0.63159	1	0.24	0.63159	0	222440_s_at	9967	THRAP3
8.35	-0.08	-0.6	0.55613	1	0.36	0.55613	0	222441_x_at	51012	PRELID3B
8.89	0.12	0.58	0.57	1	0.33	0.57	0	222442_s_at	55207	ARL8B
8.34	0.001	0	0.99618	1	0	0.99618	0	222443_s_at	9939	RBM8A
6.07	-0.042	-0.23	0.8164	1	0.06	0.8164	0	222444_at	51566	ARMCX3
8.96	-0.045	-0.43	0.67101	1	0.18	0.67101	0	222445_at	55334	SLC39A9
8.05	0.072	0.7	0.49254	1	0.48	0.49254	0	222446_s_at	25825	BACE2
6.97	-0.037	-0.29	0.77188	1	0.09	0.77188	0	222447_at	51108	METTL9
6.82	-0.128	-0.71	0.4824	1	0.51	0.4824	0	222448_s_at	51727	CMPK1
6.25	0.131	1.19	0.24577	1	1.41	0.24577	0	222449_at	56937	PMEPA1
6.4	0.014	0.15	0.88517	1	0.02	0.88517	0	222450_at	56937	PMEPA1
7.75	-0.316	-2.97	0.00633	0.99111	8.84	0.00633	0	222451_s_at	51114	ZDHHC9
7.69	-0.007	-0.06	0.95255	1	0	0.95255	0	222452_s_at	60313	GPBP1L1
7.21	-0.352	-2.17	0.03974	1	4.7	0.03974	0	222453_at	79901	CYBRD1
7.77	-0.048	-0.4	0.69085	1	0.16	0.69085	0	222454_s_at	55742	PARVA
5.87	-0.279	-2.39	0.02454	1	5.71	0.02454	0	222455_s_at	55742	PARVA
7.14	-0.144	-0.89	0.38272	1	0.79	0.38272	0	222457_s_at	51474	LIMA1
6.96	-0.07	-0.54	0.59654	1	0.29	0.59654	0	222458_s_at	79647	AKIRIN1
7.04	-0.107	-0.84	0.41125	1	0.7	0.41125	0	222459_at	79647	AKIRIN1
9.15	-0.002	-0.02	0.98073	1	0	0.98073	0	222460_s_at	80011	FAM192A
5.53	0.032	0.5	0.61948	1	0.25	0.61948	0	222461_s_at	8924 /// 101929047	HERC2 /// LOC101929047
8.55	-0.024	-0.41	0.6824	1	0.17	0.6824	0	222462_s_at	23621	BACE1
7.26	-0.052	-0.69	0.49932	1	0.47	0.49932	0	222463_s_at	23621	BACE1
7.1	0.039	0.24	0.81209	1	0.06	0.81209	0	222464_s_at	79892	MCMBP
6.85	0.023	0.15	0.87971	1	0.02	0.87971	0	222465_at	51187	RSL24D1
7.47	-0.03	-0.27	0.78762	1	0.07	0.78762	0	222466_s_at	28977	MRPL42
8.21	0.033	0.2	0.84631	1	0.04	0.84631	0	222467_s_at	55291	PPP6R3
7.7	-0.073	-0.62	0.53821	1	0.39	0.53821	0	222468_at	79932	KIAA0319L
6.49	-0.106	-1.24	0.22579	1	1.54	0.22579	0	222469_s_at	54472	TOLLIP
6.31	-0.053	-0.57	0.57692	1	0.32	0.57692	0	222470_s_at	55245	UQCC1
6.76	-0.03	-0.31	0.76228	1	0.09	0.76228	0	222471_s_at	56888	KCMF1
8.29	0.004	0.03	0.97489	1	0	0.97489	0	222472_at	54812	AFTPH
7.22	0.065	0.31	0.76016	1	0.1	0.76016	0	222473_s_at	55914	ERBIN
6.83	-0.029	-0.19	0.85093	1	0.04	0.85093	0	222474_s_at	56993	TOMM22
7.14	0.061	0.67	0.5083	1	0.45	0.5083	0	222475_at	29115	SAP30BP
7.9	0.051	0.31	0.75583	1	0.1	0.75583	0	222476_at	57472	CNOT6
8.17	-0.04	-0.34	0.73961	1	0.11	0.73961	0	222477_s_at	51768	TM7SF3
8.42	-0.075	-0.6	0.55144	1	0.36	0.55144	0	222478_at	51028	VPS36
7.7	-0.096	-0.84	0.4103	1	0.7	0.4103	0	222479_s_at	51143	DYNC1LI1
5.42	-0.035	-0.58	0.56771	1	0.34	0.56771	0	222480_at	55585	UBE2Q1
6.97	-0.099	-1.14	0.26299	1	1.31	0.26299	0	222481_at	26515	TIMM10B
7.98	-0.217	-1.38	0.17806	1	1.92	0.17806	0	222482_at	23648	SSBP3
7.7	0.105	0.71	0.48397	1	0.5	0.48397	0	222483_at	79180	EFHD2
8.82	-0.442	-2.11	0.04467	1	4.46	0.04467	0	222484_s_at	9547	CXCL14
6.44	0.018	0.2	0.84183	1	0.04	0.84183	0	222485_at	2287	FKBP3
8.01	-0.2	-0.84	0.40884	1	0.71	0.40884	0	222486_s_at	9510	ADAMTS1
6.45	0.093	0.77	0.44716	1	0.6	0.44716	0	222487_s_at	51065	RPS27L
8.62	-0.086	-0.54	0.59497	1	0.29	0.59497	0	222488_s_at	51164	DCTN4
8.25	-0.005	-0.05	0.96054	1	0	0.96054	0	222489_s_at	56897	WRNIP1
7.79	0.029	0.48	0.63677	1	0.23	0.63677	0	222491_at	138050	HGSNAT
8.64	-0.198	-3.53	0.00158	0.656132	12.49	0.00158	0	222492_at	8566	PDXK
6.81	0.108	1.02	0.31878	1	1.03	0.31878	0	222493_s_at	60685	ZFAND3
8.22	-0.163	-1.18	0.24908	1	1.39	0.24908	0	222494_at	1112	FOXN3
8.62	-0.233	-1.96	0.06063	1	3.85	0.06063	0	222495_at	56900	TMEM167B
7.8	-0.093	-0.89	0.38112	1	0.79	0.38112	0	222496_s_at	54502	RBM47
8.2	0.062	0.46	0.6512	1	0.21	0.6512	0	222497_x_at	51068	NMD3
7.14	-0.048	-0.36	0.72411	1	0.13	0.72411	0	222498_at	64343	AZI2
6.1	-0.064	-0.81	0.42446	1	0.66	0.42446	0	222499_at	51021	MRPS16
6.11	-0.146	-1.67	0.10743	1	2.78	0.10743	0	222500_at	51645	PPIL1
7.38	-0.017	-0.08	0.9335	1	0.01	0.9335	0	222502_s_at	51569	UFM1
7.01	-0.246	-2.26	0.03265	1	5.1	0.03265	0	222503_s_at	55255	WDR41
6.85	-0.055	-0.67	0.51189	1	0.44	0.51189	0	222504_s_at	10328	EMC8
5.72	-0.232	-3.09	0.00478	0.920001	9.55	0.00478	0	222505_at	64327	LMBR1
8.73	0.081	0.39	0.70276	1	0.15	0.70276	0	222507_s_at	56674	TMEM9B
4.97	-0.133	-1.32	0.19881	1	1.74	0.19881	0	222508_s_at	55082	ARGLU1
6.07	0.026	0.25	0.80502	1	0.06	0.80502	0	222509_s_at	126208 /// 79894	ZNF787 /// ZNF672
7.16	-0.07	-1.1	0.28323	1	1.2	0.28323	0	222510_s_at	23609	MKRN2
4.85	-0.035	-0.35	0.72689	1	0.12	0.72689	0	222511_x_at	11124	FAF1
8.22	-0.057	-0.51	0.61223	1	0.26	0.61223	0	222512_at	51667	NUB1
9.16	-0.11	-0.79	0.43703	1	0.62	0.43703	0	222513_s_at	10580	SORBS1
9.03	0.177	1.18	0.24967	1	1.39	0.24967	0	222514_at	64121	RRAGC
5.28	-0.146	-1.38	0.17879	1	1.91	0.17879	0	222515_x_at	55858	TMEM165
8.32	-0.177	-1.36	0.18593	1	1.85	0.18593	0	222516_at	26985	AP3M1
7.3	0.057	0.9	0.37584	1	0.81	0.37584	0	222517_at	26985	AP3M1
7.32	-0.055	-0.52	0.60571	1	0.27	0.60571	0	222518_at	10564	ARFGEF2
7.26	-0.022	-0.27	0.78741	1	0.07	0.78741	0	222519_s_at	55081	IFT57
4.84	0.121	0.83	0.41518	1	0.69	0.41518	0	222520_s_at	55081	IFT57
7.03	0.088	0.57	0.57422	1	0.32	0.57422	0	222521_x_at	4718 /// 100532726	NDUFC2 /// NDUFC2-KCTD14
7.28	0.105	0.85	0.40491	1	0.72	0.40491	0	222522_x_at	55173	MRPS10
7.9	-0.029	-0.3	0.76806	1	0.09	0.76806	0	222523_at	59343	SENP2
7.06	0.028	0.31	0.75731	1	0.1	0.75731	0	222524_s_at	59343 /// 140459	SENP2 /// ASB6
6.83	-0.147	-1.41	0.17191	1	1.98	0.17191	0	222525_s_at	55246	CCDC25
6.91	-0.1	-1.24	0.22732	1	1.53	0.22732	0	222526_at	54815	GATAD2A
7.68	0.45	2.95	0.00677	0.99111	8.68	0.00677	0	222527_s_at	55696	RBM22
5.57	-0.02	-0.18	0.8549	1	0.03	0.8549	0	222528_s_at	51312	SLC25A37
4.68	0.086	0.48	0.63365	1	0.23	0.63365	0	222529_at	51312	SLC25A37
6.26	-0.228	-2.03	0.05316	1	4.11	0.05316	0	222530_s_at	8195	MKKS
8.18	0.054	0.61	0.54567	1	0.38	0.54567	0	222531_s_at	55745	AP5M1
6.79	-0.201	-2.3	0.03	1	5.28	0.03	0	222532_at	58477	SRPRB
8.22	0.032	0.21	0.83702	1	0.04	0.83702	0	222533_at	51185	CRBN
5.02	-0.139	-1.62	0.11703	1	2.63	0.11703	0	222535_at	64423	INF2
6.97	0.037	0.36	0.71911	1	0.13	0.71911	0	222536_s_at	55893	ZNF395
7.89	0.141	1.13	0.27096	1	1.27	0.27096	0	222537_s_at	56882	CDC42SE1
6.68	-0.06	-0.64	0.52744	1	0.41	0.52744	0	222538_s_at	26060	APPL1
5.85	0.026	0.3	0.76512	1	0.09	0.76512	0	222539_at	54982	CLN6
7.11	0.033	0.33	0.74723	1	0.11	0.74723	0	222540_s_at	51773	RSF1
6.78	0.004	0.03	0.97239	1	0	0.97239	0	222541_at	51773	RSF1
8.32	-0.084	-0.53	0.60376	1	0.28	0.60376	0	222543_at	79139	DERL1
8.22	0.172	1.3	0.20643	1	1.68	0.20643	0	222544_s_at	54904	NSD3
7.58	0.014	0.21	0.83406	1	0.04	0.83406	0	222545_s_at	80195	TMEM254
5.48	0.217	1.55	0.13388	1	2.4	0.13388	0	222546_s_at	64787	EPS8L2
5.18	-0.045	-0.5	0.61955	1	0.25	0.61955	0	222547_at	9448	MAP4K4
4.94	-0.107	-1.36	0.18602	1	1.85	0.18602	0	222548_s_at	9448	MAP4K4
8.24	-0.64	-3.34	0.00258	0.777717	11.15	0.00258	0	222549_at	9076	CLDN1
7.67	-0.008	-0.05	0.9604	1	0	0.9604	0	222550_at	55156	ARMC1
7.49	0.03	0.49	0.6251	1	0.24	0.6251	0	222551_s_at	65265	C8orf33
8.98	-0.173	-1.23	0.22895	1	1.52	0.22895	0	222552_at	51026	GOLT1B
5.61	-0.127	-1.08	0.28953	1	1.17	0.28953	0	222553_x_at	55074	OXR1
7.57	-0.02	-0.3	0.76437	1	0.09	0.76437	0	222554_s_at	65083	NOL6
6.35	-0.113	-0.83	0.41465	1	0.69	0.41465	0	222555_s_at	65080	MRPL44
6.48	-0.055	-0.37	0.71118	1	0.14	0.71118	0	222556_at	29880	ALG5
7.03	0.151	1.45	0.16056	1	2.09	0.16056	0	222557_at	50861	STMN3
6.63	-0.089	-0.88	0.38908	1	0.77	0.38908	0	222559_s_at	55197	RPRD1A
5.4	0.008	0.15	0.88465	1	0.02	0.88465	0	222560_at	55915	LANCL2
7.7	0.011	0.13	0.89472	1	0.02	0.89472	0	222561_at	55915	LANCL2
7.91	-0.041	-0.15	0.88203	1	0.02	0.88203	0	222562_s_at	80351	TNKS2
7.2	0.115	0.91	0.36911	1	0.84	0.36911	0	222563_s_at	80351	TNKS2
6.92	0.107	1.02	0.31776	1	1.04	0.31776	0	222565_s_at	23683	PRKD3
6.78	-0.133	-1.78	0.0867	1	3.17	0.0867	0	222566_at	51111	KMT5B
7.65	0.02	0.19	0.85204	1	0.04	0.85204	0	222567_s_at	51320	MEX3C
7.04	-0.021	-0.28	0.78159	1	0.08	0.78159	0	222568_at	56886	UGGT1
7.26	0.025	0.18	0.85844	1	0.03	0.85844	0	222569_at	56886	UGGT1
6.77	-0.066	-0.84	0.40949	1	0.7	0.40949	0	222570_at	23413	NCS1
7.02	-0.09	-0.99	0.3311	1	0.98	0.3311	0	222571_at	30815	ST6GALNAC6
6.78	-0.159	-1.34	0.19145	1	1.8	0.19145	0	222572_at	54704	PDP1
7.41	0.03	0.31	0.75598	1	0.1	0.75598	0	222573_s_at	60485	SAV1
7.47	-0.069	-0.58	0.5698	1	0.33	0.5698	0	222574_s_at	79665	DHX40
7	0.062	1	0.32518	1	1.01	0.32518	0	222575_at	55209	SETD5
6.19	0.047	0.66	0.51409	1	0.44	0.51409	0	222576_s_at	26523	AGO1
5.63	0.008	0.11	0.91448	1	0.01	0.91448	0	222577_at	60492	CCDC90B
7.43	0.031	0.29	0.77637	1	0.08	0.77637	0	222578_s_at	79876	UBA5
7.47	-0.003	-0.02	0.98299	1	0	0.98299	0	222579_at	79876	UBA5
7.4	0.075	0.34	0.73831	1	0.11	0.73831	0	222580_at	84146	ZNF644
8.69	-0.034	-0.49	0.62711	1	0.24	0.62711	0	222581_at	9213	XPR1
7.53	-0.213	-1.05	0.30167	1	1.11	0.30167	0	222582_at	51422	PRKAG2
7.22	0.056	0.56	0.57795	1	0.32	0.57795	0	222583_s_at	10762	NUP50
