A	Coef	t	p.value	p.value.adj	F	F.p.value	CasevsControl	Genes.probe	Genes.id	Genes.symbol
5.59	0.176	0.86	0.40716	0.872525	0.74	0.40716	0	ILMN_1651486	ILMN_1651486	COX11
5.37	-0.343	-1.19	0.25986	0.845981	1.41	0.25986	0	ILMN_1651488	ILMN_1651488	NA
3.39	-0.421	-0.34	0.74158	0.967493	0.11	0.74158	0	ILMN_1651490	ILMN_1651490	CYP26A1
5.21	-0.216	-0.56	0.58827	0.930664	0.31	0.58827	0	ILMN_1651492	ILMN_1651492	WNT2B
11.61	-0.646	-2.2	0.04886	0.840944	4.85	0.04886	0	ILMN_1651496	ILMN_1651496	HIST1H2BD
11.91	0.224	0.94	0.36705	0.853732	0.88	0.36705	0	ILMN_1651498	ILMN_1651498	GADD45G
3.42	0.996	0.76	0.46234	0.88487	0.58	0.46234	0	ILMN_1651499	ILMN_1651499	NA
4.33	0.267	0.48	0.63959	0.937573	0.23	0.63959	0	ILMN_1651501	ILMN_1651501	ABCD4
9.36	0.033	0.25	0.80347	0.977007	0.06	0.80347	0	ILMN_1651504	ILMN_1651504	FAM193A
1.55	1.266	1.33	0.2086	0.845981	1.78	0.2086	0	ILMN_1651506	ILMN_1651506	TGS1
6.15	-0.213	-0.44	0.66963	0.947228	0.19	0.66963	0	ILMN_1651507	ILMN_1651507	PYROXD1
4.49	-0.224	-0.24	0.81535	0.980372	0.06	0.81535	0	ILMN_1651508	ILMN_1651508	NA
8.63	0.152	1.03	0.32287	0.845981	1.07	0.32287	0	ILMN_1651513	ILMN_1651513	SKIV2L2
5.2	-0.291	-0.72	0.48299	0.893645	0.53	0.48299	0	ILMN_1651520	ILMN_1651520	NA
4.85	0.14	0.33	0.74509	0.967699	0.11	0.74509	0	ILMN_1651532	ILMN_1651532	NA
4.21	-0.212	-0.22	0.82879	0.983781	0.05	0.82879	0	ILMN_1651535	ILMN_1651535	TMEM217
3.03	1.56	1.34	0.20681	0.845981	1.79	0.20681	0	ILMN_1651538	ILMN_1651538	NUMBL
0.63	0.575	0.81	0.43443	0.877232	0.66	0.43443	0	ILMN_1651543	ILMN_1651543	LOC440040
5.03	-0.928	-1.6	0.13606	0.845981	2.57	0.13606	0	ILMN_1651544	ILMN_1651544	HDAC8
2.28	3.15	3.19	0.00821	0.777939	10.17	0.00821	0	ILMN_1651547	ILMN_1651547	SEMA3E
8	0.411	1.68	0.12045	0.845981	2.81	0.12045	0	ILMN_1651554	ILMN_1651554	RGS5
12.97	-0.556	-1.78	0.10106	0.845981	3.18	0.10106	0	ILMN_1651557	ILMN_1651557	KDELC2
0.17	-0.343	-1.02	0.32929	0.845981	1.04	0.32929	0	ILMN_1651563	ILMN_1651563	MYO15B
6.12	0.263	1.63	0.13039	0.845981	2.65	0.13039	0	ILMN_1651565	ILMN_1651565	LINC00452
1.72	3.067	4.05	0.00176	0.73482	16.42	0.00176	0	ILMN_1651567	ILMN_1651567	NA
2.46	1.847	1.81	0.09695	0.845981	3.27	0.09695	0	ILMN_1651568	ILMN_1651568	MUC13
6.76	-0.038	-0.2	0.84735	0.987189	0.04	0.84735	0	ILMN_1651569	ILMN_1651569	XRCC2
0.96	-0.372	-0.36	0.72192	0.958129	0.13	0.72192	0	ILMN_1651574	ILMN_1651574	AQP3
1.73	-1.954	-1.9	0.08352	0.845981	3.59	0.08352	0	ILMN_1651576	ILMN_1651576	NA
3.19	-0.072	-0.08	0.94113	0.994161	0.01	0.94113	0	ILMN_1651582	ILMN_1651582	NA
1.34	-1.067	-1.13	0.28345	0.845981	1.27	0.28345	0	ILMN_1651584	ILMN_1651584	NA
5.9	0.216	0.76	0.46532	0.887129	0.57	0.46532	0	ILMN_1651599	ILMN_1651599	ENTPD2
3.48	-0.666	-0.49	0.63063	0.934119	0.24	0.63063	0	ILMN_1651604	ILMN_1651604	MARK4
6.23	-0.072	-0.29	0.77425	0.975951	0.09	0.77425	0	ILMN_1651606	ILMN_1651606	NA
5.04	0.443	1.36	0.19914	0.845981	1.86	0.19914	0	ILMN_1651608	ILMN_1651608	KIAA0825
4.63	0.266	0.64	0.53413	0.916218	0.41	0.53413	0	ILMN_1651609	ILMN_1651609	SPRED3
9.51	0.264	0.96	0.35659	0.853732	0.92	0.35659	0	ILMN_1651610	ILMN_1651610	SPRY1
1.71	0.43	0.41	0.69208	0.952205	0.16	0.69208	0	ILMN_1651617	ILMN_1651617	CTNNB1
1.76	-1.354	-1.33	0.20789	0.845981	1.78	0.20789	0	ILMN_1651624	ILMN_1651624	C6orf201
10.71	0.147	0.62	0.54891	0.919176	0.38	0.54891	0	ILMN_1651628	ILMN_1651628	EXOC6
5.37	0.181	0.43	0.6742	0.947228	0.19	0.6742	0	ILMN_1651636	ILMN_1651636	CYP2A13
1.53	-1.167	-1.19	0.25827	0.845981	1.42	0.25827	0	ILMN_1651637	ILMN_1651637	NA
7.31	-0.269	-0.67	0.51567	0.910464	0.45	0.51567	0	ILMN_1651642	ILMN_1651642	GPC2
5.84	0.053	0.32	0.75126	0.970928	0.11	0.75126	0	ILMN_1651643	ILMN_1651643	ASB11
12.08	-1.282	-1.29	0.22354	0.845981	1.66	0.22354	0	ILMN_1651656	ILMN_1651656	PSG7
0.57	0.02	0.03	0.97664	0.996963	0	0.97664	0	ILMN_1651657	ILMN_1651657	ADAM33
2.85	-1.217	-1.19	0.25992	0.845981	1.4	0.25992	0	ILMN_1651660	ILMN_1651660	NA
5.36	-0.725	-2.01	0.06877	0.845981	4.03	0.06877	0	ILMN_1651664	ILMN_1651664	NA
4.83	0.131	0.5	0.62757	0.934105	0.25	0.62757	0	ILMN_1651672	ILMN_1651672	NA
15.71	0.053	0.44	0.66907	0.947228	0.19	0.66907	0	ILMN_1651680	ILMN_1651680	EEF1A1
5.47	0.103	0.38	0.70791	0.954481	0.15	0.70791	0	ILMN_1651681	ILMN_1651681	NA
6.25	0.046	0.13	0.89631	0.991888	0.02	0.89631	0	ILMN_1651684	ILMN_1651684	KIAA0586
1.04	-0.289	-0.32	0.75573	0.972042	0.1	0.75573	0	ILMN_1651685	ILMN_1651685	FAM135B
4.88	-0.068	-0.1	0.92129	0.994161	0.01	0.92129	0	ILMN_1651690	ILMN_1651690	NA
8.98	0.155	1.1	0.29574	0.845981	1.2	0.29574	0	ILMN_1651692	ILMN_1651692	STK10
5.88	0.147	0.54	0.59655	0.93239	0.3	0.59655	0	ILMN_1651693	ILMN_1651693	GSG1
6.36	-0.26	-0.72	0.48469	0.895003	0.52	0.48469	0	ILMN_1651699	ILMN_1651699	EPS8
10.91	0.295	0.91	0.38013	0.859019	0.83	0.38013	0	ILMN_1651705	ILMN_1651705	CAT
4.8	0.53	0.94	0.36641	0.853732	0.88	0.36641	0	ILMN_1651708	ILMN_1651708	RESP18
4.14	-0.406	-0.48	0.6435	0.937573	0.23	0.6435	0	ILMN_1651711	ILMN_1651711	NA
3.5	0.074	0.07	0.94545	0.994161	0	0.94545	0	ILMN_1651712	ILMN_1651712	RBM11
2.37	0.81	0.55	0.59115	0.930664	0.31	0.59115	0	ILMN_1651717	ILMN_1651717	ADAMTS20
11.77	-0.179	-1.25	0.23648	0.845981	1.56	0.23648	0	ILMN_1651719	ILMN_1651719	MBTPS1
0.34	0.148	0.31	0.76046	0.973249	0.1	0.76046	0	ILMN_1651727	ILMN_1651727	OOEP
11.57	-0.103	-0.62	0.54818	0.919176	0.38	0.54818	0	ILMN_1651735	ILMN_1651735	TGOLN2
6.02	0.09	0.24	0.81531	0.980372	0.06	0.81531	0	ILMN_1651737	ILMN_1651737	NA
6.64	-0.377	-0.81	0.43707	0.877232	0.65	0.43707	0	ILMN_1651741	ILMN_1651741	ARMCX3
6.96	0.427	1.52	0.15622	0.845981	2.3	0.15622	0	ILMN_1651745	ILMN_1651745	TMEM25
3.65	0.265	0.23	0.81893	0.980845	0.05	0.81893	0	ILMN_1651752	ILMN_1651752	CXorf21
2.11	-0.14	-0.12	0.90453	0.991989	0.02	0.90453	0	ILMN_1651758	ILMN_1651758	NA
0.78	-0.598	-0.73	0.47785	0.891256	0.54	0.47785	0	ILMN_1651760	ILMN_1651760	TYW3
7.45	0.042	0.14	0.8932	0.991888	0.02	0.8932	0	ILMN_1651767	ILMN_1651767	MKL1
8.41	-0.215	-1.04	0.31964	0.845981	1.08	0.31964	0	ILMN_1651769	ILMN_1651769	ZFYVE16
4.32	-1.242	-1.63	0.1294	0.845981	2.67	0.1294	0	ILMN_1651771	ILMN_1651771	RRAGB
8.48	0.753	2.13	0.05528	0.840944	4.55	0.05528	0	ILMN_1651776	ILMN_1651776	FHOD1
0.53	-0.593	-1.06	0.31139	0.845981	1.12	0.31139	0	ILMN_1651787	ILMN_1651787	MSH5
9.64	0.233	1.39	0.19158	0.845981	1.93	0.19158	0	ILMN_1651788	ILMN_1651788	MAP3K11
3.14	0.523	0.42	0.68128	0.949306	0.18	0.68128	0	ILMN_1651789	ILMN_1651789	NA
4.12	-1.22	-1.52	0.15499	0.845981	2.32	0.15499	0	ILMN_1651792	ILMN_1651792	RORC
11.81	-0.269	-1.27	0.23024	0.845981	1.61	0.23024	0	ILMN_1651799	ILMN_1651799	SLC38A2
1.58	-1.49	-1.41	0.18397	0.845981	2	0.18397	0	ILMN_1651806	ILMN_1651806	TIPARP-AS1
5.65	0.134	0.4	0.69325	0.952205	0.16	0.69325	0	ILMN_1651811	ILMN_1651811	NA
5.11	0.506	1.18	0.26046	0.845981	1.4	0.26046	0	ILMN_1651817	ILMN_1651817	GRIK1
11.73	0.007	0.02	0.98524	0.998653	0	0.98524	0	ILMN_1651819	ILMN_1651819	GALNT11
14.1	-0.126	-0.84	0.41953	0.876772	0.7	0.41953	0	ILMN_1651826	ILMN_1651826	BASP1
9.22	-0.034	-0.22	0.83226	0.983914	0.05	0.83226	0	ILMN_1651828	ILMN_1651828	CCT3
12.13	0.116	0.64	0.53199	0.915344	0.42	0.53199	0	ILMN_1651832	ILMN_1651832	EHD1
0.2	-0.402	-1.03	0.32323	0.845981	1.07	0.32323	0	ILMN_1651846	ILMN_1651846	EML6
0.62	0.821	1.24	0.23835	0.845981	1.55	0.23835	0	ILMN_1651848	ILMN_1651848	ITSN1
14.91	0.082	0.6	0.56167	0.921806	0.36	0.56167	0	ILMN_1651850	ILMN_1651850	RPS16
8.9	-0.057	-0.46	0.65675	0.940884	0.21	0.65675	0	ILMN_1651872	ILMN_1651872	UBIAD1
10.35	0.206	1.36	0.20062	0.845981	1.84	0.20062	0	ILMN_1651886	ILMN_1651886	CWF19L1
14.07	-0.025	-0.19	0.85582	0.991155	0.03	0.85582	0	ILMN_1651899	ILMN_1651899	RPL19
1.06	-2.124	-2.31	0.04046	0.840944	5.33	0.04046	0	ILMN_1651900	ILMN_1651900	KCNA4
6.23	-0.084	-0.38	0.71353	0.954502	0.14	0.71353	0	ILMN_1651902	ILMN_1651902	RASL11A
5.37	-0.518	-1.94	0.07692	0.845981	3.78	0.07692	0	ILMN_1651903	ILMN_1651903	MBD3L2
3.31	-2.627	-2.51	0.0283	0.840944	6.29	0.0283	0	ILMN_1651913	ILMN_1651913	NA
3.78	0.024	0.02	0.98115	0.997269	0	0.98115	0	ILMN_1651916	ILMN_1651916	OCLN
8.91	0.075	0.48	0.63904	0.937496	0.23	0.63904	0	ILMN_1651936	ILMN_1651936	KMT5A
2.43	-0.661	-0.6	0.55982	0.921806	0.36	0.55982	0	ILMN_1651938	ILMN_1651938	NA
4.36	0.643	0.79	0.44826	0.87898	0.62	0.44826	0	ILMN_1651943	ILMN_1651943	ANK3
3.62	1.221	0.99	0.34443	0.8521	0.97	0.34443	0	ILMN_1651944	ILMN_1651944	NA
8.33	0.064	0.41	0.68794	0.951314	0.17	0.68794	0	ILMN_1651949	ILMN_1651949	SCYL3
9.25	-0.403	-1.74	0.10826	0.845981	3.03	0.10826	0	ILMN_1651950	ILMN_1651950	TPST1
12.37	-0.278	-0.7	0.49858	0.899294	0.49	0.49858	0	ILMN_1651958	ILMN_1651958	MGP
8.47	0.107	0.37	0.71766	0.956064	0.14	0.71766	0	ILMN_1651964	ILMN_1651964	ABCC5
4.7	-0.008	-0.01	0.99144	0.99902	0	0.99144	0	ILMN_1651966	ILMN_1651966	FGFR3
5.03	-0.034	-0.08	0.93846	0.994161	0.01	0.93846	0	ILMN_1651967	ILMN_1651967	TP53I3
5.91	-0.212	-0.83	0.42518	0.876772	0.68	0.42518	0	ILMN_1651980	ILMN_1651980	GOLGA6L1
8.38	-1.589	-1.1	0.29331	0.845981	1.21	0.29331	0	ILMN_1651984	ILMN_1651984	NA
8.78	0.19	0.85	0.41009	0.874594	0.73	0.41009	0	ILMN_1651987	ILMN_1651987	CCDC167
11.05	-0.065	-0.2	0.84517	0.987139	0.04	0.84517	0	ILMN_1652000	ILMN_1652000	NA
7.12	-0.096	-0.68	0.50778	0.905772	0.47	0.50778	0	ILMN_1652003	ILMN_1652003	NA
3.96	1.394	1.37	0.19617	0.845981	1.88	0.19617	0	ILMN_1652006	ILMN_1652006	SMC1A
8.39	0.281	1.3	0.21968	0.845981	1.69	0.21968	0	ILMN_1652008	ILMN_1652008	KNSTRN
2.32	-1.183	-1.1	0.2921	0.845981	1.22	0.2921	0	ILMN_1652015	ILMN_1652015	LINC00889
1.77	0.44	0.29	0.77569	0.976283	0.09	0.77569	0	ILMN_1652017	ILMN_1652017	PPEF1
2.32	-0.828	-0.78	0.45247	0.880343	0.6	0.45247	0	ILMN_1652022	ILMN_1652022	DHX57
6.34	-0.069	-0.29	0.77978	0.976773	0.08	0.77978	0	ILMN_1652023	ILMN_1652023	AGFG2
8.32	0.31	1.95	0.07545	0.845981	3.82	0.07545	0	ILMN_1652024	ILMN_1652024	CSNK1G3
5.35	-0.285	-0.98	0.34843	0.853732	0.96	0.34843	0	ILMN_1652037	ILMN_1652037	UPP2
7.2	0.02	0.05	0.96015	0.99441	0	0.96015	0	ILMN_1652065	ILMN_1652065	KCNMB1
3.95	0.175	0.25	0.80942	0.978338	0.06	0.80942	0	ILMN_1652066	ILMN_1652066	SNED1
7.58	-0.199	-0.44	0.66477	0.944699	0.2	0.66477	0	ILMN_1652072	ILMN_1652072	NIM1K
11.61	-0.043	-0.27	0.79372	0.976773	0.07	0.79372	0	ILMN_1652073	ILMN_1652073	RPS23
0.59	-0.465	-0.66	0.52234	0.912944	0.44	0.52234	0	ILMN_1652079	ILMN_1652079	NA
1.6	-0.837	-0.97	0.3523	0.853732	0.94	0.3523	0	ILMN_1652081	ILMN_1652081	NA
10.73	0.057	0.31	0.76205	0.973249	0.1	0.76205	0	ILMN_1652082	ILMN_1652082	ELF4
10.96	0.005	0.04	0.96659	0.995518	0	0.96659	0	ILMN_1652085	ILMN_1652085	MPHOSPH10
0.22	-0.432	-1.04	0.32106	0.845981	1.08	0.32106	0	ILMN_1652088	ILMN_1652088	PAPOLB
0.46	-0.914	-1.56	0.14605	0.845981	2.43	0.14605	0	ILMN_1652098	ILMN_1652098	NA
2.65	-1.603	-1.18	0.26068	0.845981	1.4	0.26068	0	ILMN_1652110	ILMN_1652110	NA
6.46	-0.128	-0.54	0.60177	0.933128	0.29	0.60177	0	ILMN_1652113	ILMN_1652113	NA
12.34	-0.237	-1.79	0.09969	0.845981	3.21	0.09969	0	ILMN_1652123	ILMN_1652123	HMGN1
12.49	-0.005	-0.03	0.97788	0.997207	0	0.97788	0	ILMN_1652128	ILMN_1652128	LMBRD1
3.8	-2.516	-2.68	0.02064	0.824109	7.2	0.02064	0	ILMN_1652132	ILMN_1652132	NA
2.22	0.524	0.47	0.64921	0.93935	0.22	0.64921	0	ILMN_1652144	ILMN_1652144	GALNT16
6.17	-0.507	-1.06	0.31172	0.845981	1.12	0.31172	0	ILMN_1652147	ILMN_1652147	MRPL43
3.64	0.923	1.04	0.31947	0.845981	1.08	0.31947	0	ILMN_1652151	ILMN_1652151	TJP2
0.41	0.184	0.36	0.72222	0.958129	0.13	0.72222	0	ILMN_1652155	ILMN_1652155	NA
8.41	-0.18	-0.97	0.35035	0.853732	0.95	0.35035	0	ILMN_1652160	ILMN_1652160	LRBA
2.21	1.515	1.4	0.18761	0.845981	1.96	0.18761	0	ILMN_1652161	ILMN_1652161	PNKD
8.74	-0.033	-0.2	0.84162	0.98706	0.04	0.84162	0	ILMN_1652163	ILMN_1652163	DVL2
6.42	0.114	0.67	0.5172	0.910656	0.45	0.5172	0	ILMN_1652164	ILMN_1652164	UNC93B1
6.89	0.589	1.76	0.10552	0.845981	3.09	0.10552	0	ILMN_1652166	ILMN_1652166	GUCY1B2
2.2	-2.007	-1.79	0.0998	0.845981	3.21	0.0998	0	ILMN_1652171	ILMN_1652171	CDKN2C
3.4	-0.532	-0.49	0.63516	0.937326	0.24	0.63516	0	ILMN_1652175	ILMN_1652175	KRTAP9-8
3.18	-0.154	-0.17	0.87105	0.991888	0.03	0.87105	0	ILMN_1652178	ILMN_1652178	NA
0.96	-1.542	-2.01	0.06911	0.845981	4.02	0.06911	0	ILMN_1652181	ILMN_1652181	KIF2B
9.74	0.005	0.02	0.98266	0.99783	0	0.98266	0	ILMN_1652185	ILMN_1652185	IL4R
5.32	0.65	1.65	0.12704	0.845981	2.71	0.12704	0	ILMN_1652188	ILMN_1652188	EPG5
3.26	-0.708	-0.53	0.60366	0.933128	0.28	0.60366	0	ILMN_1652196	ILMN_1652196	NA
6.76	-0.228	-0.77	0.45568	0.881969	0.6	0.45568	0	ILMN_1652199	ILMN_1652199	NA
2.9	-1.036	-1.04	0.32127	0.845981	1.07	0.32127	0	ILMN_1652205	ILMN_1652205	NA
1.15	-0.89	-0.77	0.45951	0.883443	0.59	0.45951	0	ILMN_1652206	ILMN_1652206	WDR97
14.06	0.093	0.79	0.44602	0.87898	0.62	0.44602	0	ILMN_1652207	ILMN_1652207	COX4I1
2.45	-1.148	-1.07	0.30687	0.845981	1.14	0.30687	0	ILMN_1652209	ILMN_1652209	BMS1
6.78	0.095	0.4	0.69991	0.954481	0.16	0.69991	0	ILMN_1652215	ILMN_1652215	UQCR10
5.28	-0.047	-0.28	0.78466	0.976773	0.08	0.78466	0	ILMN_1652218	ILMN_1652218	NA
2.76	-1.067	-0.87	0.40197	0.870645	0.76	0.40197	0	ILMN_1652219	ILMN_1652219	NOL4L
9.85	-0.026	-0.14	0.89407	0.991888	0.02	0.89407	0	ILMN_1652223	ILMN_1652223	WDR91
15.22	0.091	0.64	0.53631	0.916812	0.41	0.53631	0	ILMN_1652230	ILMN_1652230	RPS29
3.28	0.234	0.28	0.78522	0.976773	0.08	0.78522	0	ILMN_1652236	ILMN_1652236	ATAD5
6.8	-0.126	-0.41	0.68739	0.951092	0.17	0.68739	0	ILMN_1652237	ILMN_1652237	CBR3
6.45	-0.42	-2.14	0.05462	0.840944	4.58	0.05462	0	ILMN_1652242	ILMN_1652242	NA
3.16	1.507	1.61	0.13424	0.845981	2.6	0.13424	0	ILMN_1652243	ILMN_1652243	VWA5B1
5.98	0.091	0.17	0.86999	0.991888	0.03	0.86999	0	ILMN_1652246	ILMN_1652246	NACAD
3.95	-0.101	-0.15	0.87968	0.991888	0.02	0.87968	0	ILMN_1652248	ILMN_1652248	NA
3.36	0.254	0.34	0.74293	0.967699	0.11	0.74293	0	ILMN_1652249	ILMN_1652249	PTPA
5.83	-0.101	-0.38	0.70757	0.954481	0.15	0.70757	0	ILMN_1652254	ILMN_1652254	NA
1	1.374	2.18	0.05112	0.840944	4.74	0.05112	0	ILMN_1652259	ILMN_1652259	NA
2.74	-0.593	-0.59	0.56437	0.921806	0.35	0.56437	0	ILMN_1652276	ILMN_1652276	MAGEA3
