A	Coef	t	p.value	p.value.adj	F	F.p.value	PEvsC	Genes.PROBEID	Genes.ENTREZID	Genes.SYMBOL
4.72	0.002	0.02	0.98807	0.999995	0	0.98807	0	1552396_at	140870	WFDC6
5.37	-0.098	-0.39	0.71254	0.999995	0.15	0.71254	0	1552398_a_at	160364	CLEC12A
6.18	0.052	0.2	0.84915	0.999995	0.04	0.84915	0	1552399_a_at	2972	BRF1
5.88	-0.011	-0.03	0.9775	0.999995	0	0.9775	0	1552400_a_at	123591	TMEM266
5.02	0.219	0.77	0.47393	0.999995	0.59	0.47393	0	1552401_a_at	571 /// 100379661	BACH1 /// GRIK1-AS2
4.84	0.006	0.02	0.98315	0.999995	0	0.98315	0	1552402_at	163688	CALML6
4.93	0.09	0.67	0.52955	0.999995	0.45	0.52955	0	1552405_at	126206	NLRP5
6.39	0.069	0.37	0.72326	0.999995	0.14	0.72326	0	1552409_a_at	146852	ODF4
4.93	0.17	1.2	0.27558	0.999995	1.45	0.27558	0	1552410_at	165530	CLEC4F
7.03	-0.156	-0.57	0.5916	0.999995	0.32	0.5916	0	1552411_at	245909 /// 503841	DEFB106A /// DEFB106B
4.59	0.188	1.01	0.35517	0.999995	1.01	0.35517	0	1552415_a_at	259240	WFDC9
5.21	0.022	0.11	0.91774	0.999995	0.01	0.91774	0	1552417_a_at	121441	NEDD1
5.84	0.005	0.03	0.9736	0.999995	0	0.9736	0	1552418_at	254173	TTLL10
5.71	-0.002	-0.01	0.99056	0.999995	0	0.99056	0	1552419_s_at	254173	TTLL10
4.17	0.17	0.53	0.61783	0.999995	0.28	0.61783	0	1552421_a_at	125972	CALR3
6.49	0.09	0.19	0.85273	0.999995	0.04	0.85273	0	1552422_at	220979	C10orf25
5.79	-0.062	-0.15	0.88763	0.999995	0.02	0.88763	0	1552423_at	2117	ETV3
4.86	-0.007	-0.04	0.97196	0.999995	0	0.97196	0	1552425_a_at	317719	KLHL10
9.16	-0.012	-0.04	0.97024	0.999995	0	0.97024	0	1552426_a_at	80213	TM2D3
6.23	0.066	0.45	0.66866	0.999995	0.2	0.66866	0	1552432_at	162387	MFSD6L
5.51	0.301	1.12	0.30612	0.999995	1.26	0.30612	0	1552436_a_at	64072	CDH23
5.6	0.108	0.54	0.61196	0.999995	0.29	0.61196	0	1552440_at	11318	GPR182
4.42	0.32	1.67	0.14761	0.999995	2.79	0.14761	0	1552449_a_at	147199 /// 653486	SCGB1C1 /// SCGB1C2
5.41	0.061	0.35	0.74038	0.999995	0.12	0.74038	0	1552450_a_at	285126	DNAJC5G
5.37	0.01	0.01	0.99459	0.999995	0	0.99459	0	1552455_at	158471	PRUNE2
5.41	0.082	0.36	0.73457	0.999995	0.13	0.73457	0	1552456_a_at	125997	MBD3L2
5.11	0.178	1.01	0.35177	0.999995	1.03	0.35177	0	1552459_a_at	85509	MBD3L1
4.57	-0.361	-0.71	0.50399	0.999995	0.51	0.50399	0	1552463_at	89778	SERPINB11
7.95	0.085	0.62	0.56008	0.999995	0.38	0.56008	0	1552467_at	259234	DSCR10
4.97	0.13	0.8	0.45636	0.999995	0.64	0.45636	0	1552468_a_at	259234	DSCR10
5.75	0.065	0.1	0.9245	0.999995	0.01	0.9245	0	1552470_a_at	83451	ABHD11
5.39	-0.121	-0.56	0.59463	0.999995	0.32	0.59463	0	1552472_a_at	23527	ACAP2
7.79	0.045	0.2	0.84839	0.999995	0.04	0.84839	0	1552473_at	2593	GAMT
8.52	-0.192	-0.75	0.48489	0.999995	0.56	0.48489	0	1552474_a_at	2593	GAMT
8.42	0.021	0.04	0.96602	0.999995	0	0.96602	0	1552476_s_at	113026	PLCD3
6.79	0.156	0.1	0.92297	0.999995	0.01	0.92297	0	1552477_a_at	3664	IRF6
5.32	0.158	0.15	0.88897	0.999995	0.02	0.88897	0	1552478_a_at	3664	IRF6
7.42	-0.074	-0.05	0.96193	0.999995	0	0.96193	0	1552481_s_at	10905	MAN1A2
4.97	-0.4	-2.05	0.08813	0.999995	4.2	0.08813	0	1552482_at	65059	RAPH1
5.91	0.164	0.89	0.40689	0.999995	0.8	0.40689	0	1552484_at	140775	SMCR8
6.39	-0.415	-0.83	0.43824	0.999995	0.69	0.43824	0	1552485_at	114294	LACTB
5.31	-0.185	-0.38	0.71877	0.999995	0.14	0.71877	0	1552486_s_at	114294	LACTB
5.33	-0.069	-0.54	0.61222	0.999995	0.29	0.61222	0	1552491_at	91734	IDI2
6.36	0.043	0.24	0.81886	0.999995	0.06	0.81886	0	1552493_s_at	1584	CYP11B1
5.59	-0.184	-0.96	0.37458	0.999995	0.93	0.37458	0	1552494_at	129685	TAF8
6.76	0.252	0.59	0.57898	0.999995	0.35	0.57898	0	1552496_a_at	23242	COBL
6.28	-0.104	-0.33	0.75207	0.999995	0.11	0.75207	0	1552497_a_at	114836	SLAMF6
5.9	0.127	0.68	0.52181	0.999995	0.46	0.52181	0	1552498_at	7579	ZSCAN20
4.6	-0.006	-0.03	0.97421	0.999995	0	0.97421	0	1552499_a_at	7579	ZSCAN20
8.82	0.622	0.73	0.49608	0.999995	0.53	0.49608	0	1552501_a_at	151306	GPBAR1
6.05	0.126	0.63	0.55104	0.999995	0.4	0.55104	0	1552503_at	80144	FRAS1
7.54	-0.145	-1.07	0.32689	0.999995	1.15	0.32689	0	1552504_a_at	84446	BRSK1
4.77	0.17	0.98	0.36863	0.999995	0.95	0.36863	0	1552506_at	286204	CRB2
6.26	-0.012	-0.05	0.96265	0.999995	0	0.96265	0	1552507_at	23704	KCNE4
6.57	-0.081	-0.19	0.85627	0.999995	0.04	0.85627	0	1552508_at	23704	KCNE4
9.67	0.773	0.51	0.62643	0.999995	0.26	0.62643	0	1552509_a_at	146894	CD300LG
8.31	-0.049	-0.31	0.76454	0.999995	0.1	0.76454	0	1552510_at	142680	SLC34A3
6.9	-0.14	-0.54	0.60658	0.999995	0.3	0.60658	0	1552516_a_at	204851	HIPK1
7.23	0.111	0.05	0.96249	0.999995	0	0.96249	0	1552519_at	130399	ACVR1C
4.67	0.099	0.77	0.47093	0.999995	0.59	0.47093	0	1552523_a_at	201798	TIGD4
7.27	0.009	0.05	0.96378	0.999995	0	0.96378	0	1552524_at	116969	ART5
5.1	-0.032	-0.15	0.88332	0.999995	0.02	0.88332	0	1552526_at	196472	FAM71C
6.91	-0.144	-0.79	0.4625	0.999995	0.62	0.4625	0	1552528_at	84536	LINC01547
6.14	1.004	0.76	0.47647	0.999995	0.58	0.47647	0	1552532_a_at	245973	ATP6V1C2
7.32	0.203	0.29	0.78129	0.999995	0.08	0.78129	0	1552535_at	149461	CLDN19
6.01	-0.195	-1.08	0.32359	0.999995	1.16	0.32359	0	1552536_at	143187	VTI1A
5.68	-0.19	-0.37	0.72655	0.999995	0.13	0.72655	0	1552538_a_at	221458	KIF6
6.29	-0.072	-0.43	0.68427	0.999995	0.18	0.68427	0	1552540_s_at	115811	IQCD
7.17	0.138	0.84	0.43524	0.999995	0.7	0.43524	0	1552541_at	117289	TAGAP
5.04	-0.124	-0.33	0.751	0.999995	0.11	0.751	0	1552542_s_at	117289	TAGAP
5.27	0.003	0.02	0.98795	0.999995	0	0.98795	0	1552543_a_at	85439	STON2
4.89	-0.016	-0.11	0.91824	0.999995	0.01	0.91824	0	1552544_at	145264	SERPINA12
5.56	0.094	0.14	0.89026	0.999995	0.02	0.89026	0	1552546_a_at	137994	LETM2
5.8	0.091	0.45	0.66646	0.999995	0.21	0.66646	0	1552548_at	7809	BSND
6.34	0.202	1.19	0.2824	0.999995	1.41	0.2824	0	1552549_a_at	7809	BSND
5.69	0.058	0.24	0.81619	0.999995	0.06	0.81619	0	1552553_a_at	58484	NLRC4
6.48	-0.033	-0.22	0.83172	0.999995	0.05	0.83172	0	1552555_at	146547	PRSS36
6.86	0.139	0.59	0.57829	0.999995	0.35	0.57829	0	1552558_a_at	10743	RAI1
5.84	0.053	0.25	0.81231	0.999995	0.06	0.81231	0	1552559_a_at	65061	CDK15
4.57	0.182	1.01	0.35357	0.999995	1.02	0.35357	0	1552562_at	148268	ZNF570
4.72	0.062	0.4	0.70594	0.999995	0.16	0.70594	0	1552564_at	119369	NUDT9P1
5.19	0.384	1.01	0.35404	0.999995	1.02	0.35404	0	1552566_at	118663	BTBD16
5.83	0.08	0.61	0.56473	0.999995	0.37	0.56473	0	1552568_at	83597	RTP3
4.74	0.011	0.08	0.94095	0.999995	0.01	0.94095	0	1552569_a_at	83597	RTP3
4.71	0.157	0.91	0.40042	0.999995	0.82	0.40042	0	1552570_at	54084	TSPEAR
6.13	-0.083	-0.16	0.87856	0.999995	0.03	0.87856	0	1552575_a_at	135398	C6orf141
5.43	0.032	0.17	0.87082	0.999995	0.03	0.87082	0	1552576_at	200420	ALMS1P1
4.49	0.03	0.12	0.91132	0.999995	0.01	0.91132	0	1552579_a_at	8747	ADAM21
6.54	0.228	0.69	0.51818	0.999995	0.47	0.51818	0	1552580_at	205860	TRIML2
4.66	0.329	1.55	0.17388	0.999995	2.41	0.17388	0	1552583_s_at	150000	ABCC13
6.58	-0.045	-0.12	0.90685	0.999995	0.01	0.90685	0	1552584_at	3594	IL12RB1
5.09	-0.341	-0.62	0.55694	0.999995	0.39	0.55694	0	1552585_s_at	11036	GTF2A1L
6.4	-0.039	-0.2	0.84524	0.999995	0.04	0.84524	0	1552586_at	162514	TRPV3
6.97	-0.063	-0.34	0.74692	0.999995	0.11	0.74692	0	1552594_at	147744	TMEM190
7.59	0.102	0.61	0.56535	0.999995	0.37	0.56535	0	1552596_at	246176	GAS2L2
4.81	0.028	0.15	0.88528	0.999995	0.02	0.88528	0	1552598_at	93107	KCNG4
5.56	0.173	1	0.35715	0.999995	1	0.35715	0	1552602_at	27091	CACNG5
5	-0.102	-0.68	0.52216	0.999995	0.46	0.52216	0	1552604_at	54143	LINC00308
4.18	0.346	1.31	0.23917	0.999995	1.72	0.23917	0	1552605_s_at	54143	LINC00308
5.29	-0.086	-0.55	0.60367	0.999995	0.3	0.60367	0	1552607_at	286967 /// 100132967	FAM223B /// FAM223A
4.83	0.234	1.35	0.22842	0.999995	1.82	0.22842	0	1552608_at	259239	WFDC11
4.89	0.038	0.27	0.79594	0.999995	0.07	0.79594	0	1552609_s_at	282617 /// 282616	IFNL3 /// IFNL2
9.49	-0.023	-0.04	0.96732	0.999995	0	0.96732	0	1552610_a_at	3716	JAK1
9.96	-0.181	-0.43	0.68348	0.999995	0.18	0.68348	0	1552611_a_at	3716	JAK1
7.36	-0.119	-0.3	0.77813	0.999995	0.09	0.77813	0	1552612_at	56990	CDC42SE2
6.8	-0.227	-0.57	0.59129	0.999995	0.32	0.59129	0	1552613_s_at	56990	CDC42SE2
9.32	0.015	0.01	0.98906	0.999995	0	0.98906	0	1552615_at	32	ACACB
8.09	0.063	0.04	0.97323	0.999995	0	0.97323	0	1552616_a_at	32	ACACB
8.33	0.008	0.05	0.95999	0.999995	0	0.95999	0	1552617_a_at	64326	RFWD2
8.01	0.153	0.94	0.38494	0.999995	0.88	0.38494	0	1552618_at	10228	STX6
4.92	0.25	0.49	0.6434	0.999995	0.24	0.6434	0	1552619_a_at	54443	ANLN
6.44	-0.042	-0.27	0.79844	0.999995	0.07	0.79844	0	1552620_at	163778	SPRR4
9.13	-0.183	-0.4	0.70068	0.999995	0.16	0.70068	0	1552621_at	5439 /// 246721 /// 548644 /// 100134938	POLR2J /// POLR2J2 /// POLR2J3 /// UPK3BL
8.28	-0.299	-0.66	0.53615	0.999995	0.43	0.53615	0	1552622_s_at	5439 /// 246721 /// 441259 /// 548644 /// 100134938	POLR2J /// POLR2J2 /// LOC441259 /// POLR2J3 /// UPK3BL
5.41	0.032	0.08	0.94134	0.999995	0.01	0.94134	0	1552623_at	84941	HSH2D
5.96	-0.015	-0.1	0.92634	0.999995	0.01	0.92634	0	1552625_a_at	51095	TRNT1
6.72	-0.295	-0.89	0.40799	0.999995	0.8	0.40799	0	1552626_a_at	81615	TMEM163
6.07	0.143	0.89	0.41051	0.999995	0.79	0.41051	0	1552627_a_at	394	ARHGAP5
8.56	0.092	0.39	0.71047	0.999995	0.15	0.71047	0	1552628_a_at	64224	HERPUD2
7.97	-0.045	-0.17	0.8715	0.999995	0.03	0.8715	0	1552630_a_at	10847	SRCAP
7	0.257	0.59	0.57857	0.999995	0.35	0.57857	0	1552631_a_at	9064	MAP3K6
6.54	-0.219	-0.22	0.83413	0.999995	0.05	0.83413	0	1552632_a_at	22901	ARSG
4.84	0.013	0.11	0.91885	0.999995	0.01	0.91885	0	1552633_at	94039	ZNF101
5.41	0.093	0.59	0.57748	0.999995	0.35	0.57748	0	1552634_a_at	94039	ZNF101
6.11	0.099	0.35	0.74126	0.999995	0.12	0.74126	0	1552639_at	113730	KLHDC7B
8.73	-0.068	-0.26	0.80396	0.999995	0.07	0.80396	0	1552641_s_at	83858 /// 55210	ATAD3B /// ATAD3A
6.78	-0.143	-0.58	0.58373	0.999995	0.34	0.58373	0	1552643_at	199777	ZNF626
6.23	-0.131	-0.43	0.68205	0.999995	0.19	0.68205	0	1552644_a_at	80012	PHC3
6.75	-0.126	-0.64	0.54642	0.999995	0.41	0.54642	0	1552646_at	3590	IL11RA
6.62	0.104	0.49	0.63957	0.999995	0.24	0.63957	0	1552648_a_at	8797	TNFRSF10A
5.54	-0.001	-0.01	0.99257	0.999995	0	0.99257	0	1552649_a_at	117584 /// 100529207	RFFL /// RAD51L3-RFFL
5.39	-0.075	-0.42	0.68655	0.999995	0.18	0.68655	0	1552651_a_at	117584 /// 100529207	RFFL /// RAD51L3-RFFL
6.81	0.048	0.22	0.83305	0.999995	0.05	0.83305	0	1552652_at	89781	HPS4
6.98	-0.178	-0.62	0.56102	0.999995	0.38	0.56102	0	1552656_s_at	127933	UHMK1
5.68	0.073	0.5	0.63249	0.999995	0.25	0.63249	0	1552657_a_at	84203	TXNDC2
6.96	-0.007	-0.01	0.99531	0.999995	0	0.99531	0	1552658_a_at	89795	NAV3
6.62	-0.093	-0.34	0.74677	0.999995	0.11	0.74677	0	1552660_a_at	55322	C5orf22
5.9	-0.149	-0.68	0.52517	0.999995	0.46	0.52517	0	1552662_a_at	56099	PCDHGB7
7.41	0.063	0.48	0.65106	0.999995	0.23	0.65106	0	1552663_a_at	23085	ERC1
7.1	-0.192	-1.33	0.23234	0.999995	1.78	0.23234	0	1552664_at	201163	FLCN
5.34	-0.05	-0.4	0.70627	0.999995	0.16	0.70627	0	1552665_at	84989	JMJD1C-AS1
8.38	-0.016	-0.06	0.95176	0.999995	0	0.95176	0	1552667_a_at	10044	SH2D3C
5.25	0.094	0.51	0.6296	0.999995	0.26	0.6296	0	1552669_at	79660	PPP1R3B
7.55	-0.1	-0.26	0.80523	0.999995	0.07	0.80523	0	1552670_a_at	79660	PPP1R3B
5.26	-0.121	-0.79	0.4614	0.999995	0.62	0.4614	0	1552671_a_at	84679	SLC9A7
7.66	0.388	0.64	0.54775	0.999995	0.41	0.54775	0	1552672_a_at	3321	IGSF3
6.27	-0.001	-0.01	0.99428	0.999995	0	0.99428	0	1552676_at	114131	UCN3
7.24	-0.121	-0.56	0.5975	0.999995	0.31	0.5975	0	1552677_a_at	23181	DIP2A
6.26	-0.191	-0.96	0.37657	0.999995	0.92	0.37657	0	1552678_a_at	57646	USP28
5.11	0.137	0.44	0.67367	0.999995	0.2	0.67367	0	1552680_a_at	57082	KNL1
4.86	0.19	1.2	0.27869	0.999995	1.43	0.27869	0	1552684_a_at	123228	SENP8
7.39	0.767	0.59	0.57921	0.999995	0.35	0.57921	0	1552685_a_at	29841	GRHL1
4.74	0.013	0.1	0.92555	0.999995	0.01	0.92555	0	1552686_at	140894	CNBD2
4.83	-0.101	-0.57	0.59328	0.999995	0.32	0.59328	0	1552687_a_at	140894	CNBD2
6.99	0.295	1.29	0.24706	0.999995	1.66	0.24706	0	1552689_at	57524	CASKIN1
6.16	-0.087	-0.35	0.74016	0.999995	0.12	0.74016	0	1552690_a_at	93589	CACNA2D4
5.45	-0.239	-0.9	0.40202	0.999995	0.82	0.40202	0	1552695_a_at	114134	SLC2A13
5.02	-0.134	-0.91	0.39809	0.999995	0.83	0.39809	0	1552696_at	123606	NIPA1
5.92	0.019	0.14	0.8921	0.999995	0.02	0.8921	0	1552698_at	113691	TUBA3FP
8.23	-0.131	-0.21	0.83778	0.999995	0.05	0.83778	0	1552701_a_at	114769	CARD16
7.49	-0.074	-0.28	0.78707	0.999995	0.08	0.78707	0	1552703_s_at	114769 /// 834	CARD16 /// CASP1
7.73	-0.016	-0.07	0.94963	0.999995	0	0.94963	0	1552711_a_at	124637	CYB5D1
7.16	-0.446	-1.29	0.24484	0.999995	1.68	0.24484	0	1552712_a_at	23057	NMNAT2
6.1	0.481	1.76	0.13075	0.999995	3.1	0.13075	0	1552713_a_at	6521	SLC4A1
5.72	-0.193	-0.08	0.93763	0.999995	0.01	0.93763	0	1552715_a_at	59350	RXFP1
5.79	-0.226	-1.02	0.3487	0.999995	1.04	0.3487	0	1552716_at	79925	SPEF2
5.56	0.122	0.62	0.5606	0.999995	0.38	0.5606	0	1552717_s_at	645455 /// 9859	CEP170P1 /// CEP170
5.63	-0.238	-0.95	0.37973	0.999995	0.9	0.37973	0	1552718_at	92675	DTD1
5.94	0.015	0.08	0.94197	0.999995	0.01	0.94197	0	1552719_at	113201	CASC4
4.52	-0.283	-0.69	0.51969	0.999995	0.47	0.51969	0	1552721_a_at	2246	FGF1
5.58	-0.134	-0.29	0.7796	0.999995	0.09	0.7796	0	1552724_at	158800	RHOXF1
5.49	-0.058	-0.34	0.7436	0.999995	0.12	0.7436	0	1552725_s_at	170691	ADAMTS17
4.95	0.064	0.37	0.7232	0.999995	0.14	0.7232	0	1552726_at	170691	ADAMTS17
4.69	-0.211	-0.78	0.46797	0.999995	0.6	0.46797	0	1552727_s_at	170691	ADAMTS17
6.25	-0.065	-0.36	0.73025	0.999995	0.13	0.73025	0	1552729_at	84973 /// 677804 /// 677824	SNHG7 /// SNORA17A /// SNORA17B
5.8	-0.102	-0.73	0.49238	0.999995	0.54	0.49238	0	1552730_at	50846	DHH
5.49	-0.056	-0.1	0.92283	0.999995	0.01	0.92283	0	1552733_at	122773	KLHDC1
4.82	0.089	0.25	0.81436	0.999995	0.06	0.81436	0	1552734_at	253260	RICTOR
4.72	-0.046	-0.2	0.84835	0.999995	0.04	0.84835	0	1552735_at	5098 /// 56111	PCDHGC3 /// PCDHGA4
7.58	-0.038	-0.08	0.93534	0.999995	0.01	0.93534	0	1552737_s_at	11060	WWP2
5.98	-0.069	-0.35	0.74073	0.999995	0.12	0.74073	0	1552739_s_at	54879	ST7L
7.84	0.027	0.15	0.88765	0.999995	0.02	0.88765	0	1552749_a_at	147700	KLC3
7.21	0.241	1.43	0.20402	0.999995	2.05	0.20402	0	1552751_a_at	117286	CIB3
4.04	-0.24	-0.39	0.70906	0.999995	0.15	0.70906	0	1552754_a_at	253559	CADM2
5.67	-0.244	-0.91	0.39785	0.999995	0.83	0.39785	0	1552755_at	157983	C9orf66
4.35	0.063	0.21	0.84438	0.999995	0.04	0.84438	0	1552758_at	9734	HDAC9
4.23	0.182	0.46	0.66293	0.999995	0.21	0.66293	0	1552760_at	9734	HDAC9
7.04	0.107	0.71	0.50412	0.999995	0.51	0.50412	0	1552761_at	162515	SLC16A11
