A	Coef	t	p.value	p.value.adj	F	F.p.value	PEvsC	Genes.ProbeID	Genes.EntrezGeneID	Genes.GeneSymbol
5.53	-0.237	-0.43	0.67179	0.911526	0.19	0.67179	0	NA	NA	NA
3.97	-0.681	-1.94	0.07499	0.491912	3.75	0.07499	0	A_23_P89132	7783	ZP2
9.1	-1.203	-2.99	0.01046	0.264486	8.93	0.01046	0	NA	NA	NA
5.04	0.441	0.81	0.43052	0.813154	0.66	0.43052	0	NA	NA	NA
12.75	-0.313	-0.69	0.5025	0.847187	0.48	0.5025	0	NA	NA	NA
7.62	0.386	0.64	0.53268	0.859538	0.41	0.53268	0	NA	NA	NA
5.5	0.567	1.55	0.14497	0.595154	2.4	0.14497	0	NA	NA	NA
3.43	0.236	0.7	0.49729	0.845956	0.49	0.49729	0	NA	NA	NA
3.3	0.616	1.91	0.07862	0.500255	3.64	0.07862	0	NA	NA	NA
7.41	-0.119	-0.24	0.81655	0.957864	0.06	0.81655	0	NA	NA	NA
9.01	-1.479	-2.61	0.02154	0.335452	6.82	0.02154	0	NA	NA	NA
11.17	-0.147	-0.55	0.59294	0.88327	0.3	0.59294	0	NA	NA	NA
4.28	0.931	2.84	0.01393	0.288695	8.06	0.01393	0	A_23_P121282	440955	TMEM89
10.58	-0.384	-1.21	0.24961	0.69445	1.45	0.24961	0	NA	NA	NA
8.79	0.002	0.01	0.99426	0.998485	0	0.99426	0	NA	NA	NA
6.63	-0.39	-0.71	0.48813	0.841197	0.51	0.48813	0	NA	NA	NA
11.17	-0.669	-1.95	0.07326	0.490215	3.8	0.07326	0	NA	NA	NA
8.02	-0.283	-0.62	0.54861	0.866613	0.38	0.54861	0	A_23_P120103	3790	KCNS3
3.86	0.03	0.06	0.95226	0.989443	0	0.95226	0	NA	NA	NA
10.52	0.268	0.73	0.47591	0.836087	0.54	0.47591	0	A_23_P6561	55096	FLJ10213
12.15	-0.041	-0.14	0.89098	0.974685	0.02	0.89098	0	A_23_P128166	23011	RAB21
10.83	0.214	0.67	0.51368	0.850706	0.45	0.51368	0	A_23_P169470	1025	CDK9
6.3	1.209	3.04	0.00947	0.25536	9.24	0.00947	0	NA	NA	NA
13.13	0.31	0.89	0.38846	0.7892	0.8	0.38846	0	A_23_P55518	4092	SMAD7
9.76	-0.81	-1.76	0.10113	0.539186	3.11	0.10113	0	A_23_P31921	445	ASS1
10.7	-0.471	-1.03	0.32318	0.746482	1.05	0.32318	0	NA	NA	NA
5.95	0.147	0.37	0.7137	0.926082	0.14	0.7137	0	NA	NA	NA
13.31	0.241	0.63	0.54076	0.863074	0.39	0.54076	0	NA	NA	NA
5.86	-0.578	-0.61	0.55201	0.867847	0.37	0.55201	0	A_23_P80162	64699	TMPRSS3
13.57	-0.39	-1.05	0.31248	0.740683	1.1	0.31248	0	NA	NA	NA
11.59	0.319	1	0.33728	0.755525	0.99	0.33728	0	A_23_P101461	81576	CCDC130
10.51	-0.102	-0.38	0.71056	0.925021	0.14	0.71056	0	NA	NA	NA
10.42	0.493	1.45	0.17192	0.624666	2.09	0.17192	0	NA	NA	NA
8.17	-0.263	-0.88	0.39368	0.792722	0.78	0.39368	0	NA	NA	NA
5.27	-0.76	-0.78	0.44696	0.821885	0.61	0.44696	0	A_23_P20660	54769	DIRAS2
3.83	0.531	1.08	0.30042	0.733437	1.16	0.30042	0	NA	NA	NA
13.35	1.105	2.89	0.01253	0.280053	8.38	0.01253	0	NA	NA	NA
9.08	0.547	1.91	0.07857	0.500255	3.64	0.07857	0	A_23_P101811	7561	ZNF14
5.74	-0.012	-0.02	0.98649	0.996522	0	0.98649	0	A_23_P115492	79805	VASH2
11.39	-0.033	-0.11	0.9107	0.979066	0.01	0.9107	0	A_23_P79628	23198	PSME4
5.63	0.681	1.85	0.08678	0.516415	3.43	0.08678	0	NA	NA	NA
5.85	0.515	1.6	0.13356	0.581051	2.56	0.13356	0	A_23_P23639	255231	MCOLN2
11.75	-0.625	-1.13	0.27801	0.717327	1.28	0.27801	0	A_23_P114689	55616	DDEFL1
10.46	0.132	0.46	0.65157	0.905511	0.21	0.65157	0	A_24_P371758	64979	MRPL36
8.81	0.261	0.54	0.60008	0.886665	0.29	0.60008	0	A_24_P923381	8475	EPR1
4.13	1.254	3.84	0.00206	0.141123	14.72	0.00206	0	NA	NA	NA
3.96	0.587	1.52	0.15147	0.603638	2.32	0.15147	0	NA	NA	NA
9.8	-0.017	-0.05	0.95971	0.991135	0	0.95971	0	A_23_P16908	90957	DHX57
5.31	-0.117	-0.31	0.76225	0.942941	0.1	0.76225	0	NA	NA	NA
10.18	-0.64	-1.67	0.11959	0.563086	2.78	0.11959	0	A_23_P145761	10124	ARL4A
5.03	0.65	1.15	0.27259	0.712632	1.31	0.27259	0	NA	NA	NA
4.19	0.229	0.65	0.52532	0.856447	0.43	0.52532	0	NA	NA	NA
11.32	0.449	1.11	0.2881	0.724531	1.23	0.2881	0	NA	NA	NA
7.59	-0.297	-0.51	0.62066	0.893975	0.26	0.62066	0	A_23_P114423	9104	RGN
9.41	-0.599	-1.31	0.21186	0.662345	1.72	0.21186	0	NA	NA	NA
11.56	-0.771	-2.96	0.01097	0.268016	8.78	0.01097	0	NA	NA	NA
9.33	0.586	0.91	0.37799	0.782864	0.83	0.37799	0	NA	NA	NA
9.34	-0.163	-0.43	0.67638	0.913377	0.18	0.67638	0	NA	NA	NA
4.28	-0.053	-0.14	0.8879	0.974371	0.02	0.8879	0	NA	NA	NA
10.97	0.353	1.35	0.19913	0.649674	1.83	0.19913	0	NA	NA	NA
9.01	-0.911	-2.62	0.02127	0.334013	6.85	0.02127	0	NA	NA	NA
5.67	0.12	0.29	0.77293	0.945675	0.09	0.77293	0	A_24_P307653	55117	SLC6A15
4.81	0.43	1.08	0.30149	0.734004	1.16	0.30149	0	NA	NA	NA
8.89	0.007	0.02	0.9815	0.99536	0	0.9815	0	A_23_P205531	6038	RNASE4
8.15	-2.713	-2.29	0.03936	0.401876	5.24	0.03936	0	NA	NA	NA
5.75	-0.26	-0.77	0.45347	0.825334	0.6	0.45347	0	NA	NA	NA
9.92	0.039	0.12	0.90284	0.976839	0.02	0.90284	0	A_24_P126682	6607	SMN2
13.36	0.339	1.12	0.28275	0.720436	1.26	0.28275	0	A_23_P103110	23764	MAFF
9.03	-1.253	-4.2	0.00105	0.109861	17.6	0.00105	0	A_24_P286898	5599	MAPK8
3.21	0.291	0.79	0.44391	0.820301	0.62	0.44391	0	NA	NA	NA
3.18	0.773	1.74	0.10508	0.545362	3.03	0.10508	0	NA	NA	NA
4.91	-2.374	-6.18	3e-05	0.016409	38.19	3e-05	-1	A_23_P155848	27123	DKK2
5.42	0.05	0.1	0.92207	0.982848	0.01	0.92207	0	NA	NA	NA
8.07	-1.165	-4.04	0.0014	0.122058	16.31	0.0014	0	NA	NA	NA
11.99	-1.422	-3.01	0.00999	0.260025	9.07	0.00999	0	A_32_P87697	3122	HLA-DRA
4.44	0.252	0.59	0.56632	0.872547	0.35	0.56632	0	NA	NA	NA
5.64	0.265	0.65	0.52469	0.856314	0.43	0.52469	0	NA	NA	NA
10.97	-0.29	-0.87	0.3978	0.794322	0.76	0.3978	0	A_23_P17287	285148	IAH1
6.16	1.027	2.73	0.01728	0.310406	7.44	0.01728	0	NA	NA	NA
3.2	-0.066	-0.21	0.84031	0.963897	0.04	0.84031	0	NA	NA	NA
7.51	0.168	0.33	0.74495	0.936321	0.11	0.74495	0	NA	NA	NA
5.16	-0.535	-1.45	0.16939	0.622133	2.12	0.16939	0	NA	NA	NA
7.85	-0.335	-0.6	0.56076	0.870762	0.36	0.56076	0	A_23_P121795	8470	SORBS2
9.89	0.065	0.23	0.82093	0.958826	0.05	0.82093	0	A_23_P123362	56988	C8orf17
7.88	0.059	0.09	0.92642	0.983232	0.01	0.92642	0	NA	NA	NA
9.13	0.188	0.27	0.79278	0.950945	0.07	0.79278	0	A_23_P62634	6006	RHCE
11.66	0.143	0.55	0.59025	0.882456	0.3	0.59025	0	NA	NA	NA
3.77	0.241	0.59	0.56409	0.871768	0.35	0.56409	0	NA	NA	NA
10.44	-0.054	-0.15	0.8816	0.972948	0.02	0.8816	0	A_23_P210515	57727	NCOA5
10.12	-0.155	-0.29	0.77565	0.946251	0.08	0.77565	0	NA	NA	NA
8.51	0.317	0.75	0.46557	0.831041	0.57	0.46557	0	NA	NA	NA
6.24	0.168	0.45	0.66362	0.909258	0.2	0.66362	0	A_23_P68700	54943	C21orf55
8.51	-4.777	-4.37	0.00076	0.094544	19.07	0.00076	0	A_23_P116890	5544	PRB3
13.55	-0.445	-1.72	0.10838	0.547986	2.97	0.10838	0	A_23_P101208	1528	CYB5A
5.05	0.609	1.4	0.18609	0.638251	1.95	0.18609	0	NA	NA	NA
2.97	-0.23	-0.58	0.5715	0.874801	0.34	0.5715	0	NA	NA	NA
9.36	-0.385	-0.97	0.35011	0.764529	0.94	0.35011	0	A_24_P90097	120	ADD3
7.07	0.141	0.51	0.61557	0.892229	0.26	0.61557	0	NA	NA	NA
7.58	-0.588	-1.43	0.1762	0.628517	2.05	0.1762	0	NA	NA	NA
13.86	-0.553	-1.49	0.15979	0.612574	2.22	0.15979	0	A_23_P204472	6175	RPLP0
10.96	-0.347	-0.68	0.50823	0.849129	0.46	0.50823	0	NA	NA	NA
3.27	-0.11	-0.2	0.84744	0.965526	0.04	0.84744	0	A_23_P136405	5133	PDCD1
10.7	-0.156	-0.5	0.623	0.894759	0.25	0.623	0	A_23_P110504	81037	CLPTM1L
11.09	-0.945	-3.07	0.00896	0.25006	9.42	0.00896	0	A_23_P89431	6347	CCL2
5.11	0.544	1.47	0.16648	0.619826	2.15	0.16648	0	NA	NA	NA
5.89	-0.809	-1.52	0.15121	0.60326	2.33	0.15121	0	NA	NA	NA
5.67	-0.167	-0.3	0.77114	0.94505	0.09	0.77114	0	A_23_P105002	6094	ROM1
11.25	0.316	1.06	0.30678	0.73706	1.13	0.30678	0	A_23_P62270	8242	JARID1C
7.09	-0.839	-1.93	0.07604	0.494028	3.72	0.07604	0	NA	NA	NA
13.4	0.547	1.54	0.14866	0.599817	2.36	0.14866	0	A_23_P16976	307	ANXA4
4.75	-0.856	-1.63	0.12797	0.574564	2.64	0.12797	0	NA	NA	NA
8.53	0.075	0.2	0.84408	0.964714	0.04	0.84408	0	NA	NA	NA
6.75	-0.06	-0.09	0.93218	0.984332	0.01	0.93218	0	NA	NA	NA
9.38	0.174	0.4	0.69813	0.920452	0.16	0.69813	0	A_23_P10077	57104	PNPLA2
5.53	-1.213	-2.05	0.06074	0.462572	4.22	0.06074	0	NA	NA	NA
6.73	0.063	0.17	0.86436	0.969912	0.03	0.86436	0	A_23_P144337	25819	CCRN4L
8.86	0.615	1.99	0.06841	0.481932	3.95	0.06841	0	NA	NA	NA
13.96	0.353	1.16	0.26735	0.708814	1.34	0.26735	0	A_23_P356484	6204	RPS10
9.49	0.362	1.08	0.30141	0.733872	1.16	0.30141	0	NA	NA	NA
3.92	0.856	2.34	0.03555	0.391083	5.5	0.03555	0	NA	NA	NA
3.35	-0.025	-0.07	0.94887	0.988642	0	0.94887	0	NA	NA	NA
11.62	0.079	0.24	0.81705	0.957999	0.06	0.81705	0	A_32_P9842	64419	MTMR14
3.51	0.213	0.6	0.56023	0.870636	0.36	0.56023	0	A_23_P113237	64109	CRLF2
11.43	0.008	0.02	0.98114	0.995247	0	0.98114	0	A_23_P33809	55272	IMP3
4.38	0.172	0.52	0.61106	0.890403	0.27	0.61106	0	NA	NA	NA
6.11	-2.195	-5.94	5e-05	0.021538	35.33	5e-05	-1	A_32_P405902	54094	C21orf15
6.04	-0.082	-0.18	0.85717	0.968279	0.03	0.85717	0	NA	NA	NA
12.6	-0.357	-1.13	0.27996	0.718271	1.27	0.27996	0	NA	NA	NA
12.63	-0.597	-1.27	0.22713	0.676824	1.61	0.22713	0	A_23_P45524	27018	NGFRAP1
6.91	-0.321	-0.81	0.43386	0.814324	0.65	0.43386	0	NA	NA	NA
4.8	0.309	0.96	0.35483	0.767041	0.92	0.35483	0	NA	NA	NA
8.05	-0.231	-0.58	0.57295	0.875213	0.33	0.57295	0	NA	NA	NA
10.22	0.253	0.81	0.43017	0.812915	0.66	0.43017	0	NA	NA	NA
3.7	0.053	0.15	0.88138	0.972868	0.02	0.88138	0	NA	NA	NA
10.18	-0.463	-1.67	0.11817	0.560831	2.8	0.11817	0	A_23_P154643	655	BMP7
8.2	-1.139	-3.39	0.00486	0.201848	11.47	0.00486	0	NA	NA	NA
5.83	-0.229	-0.68	0.5075	0.849129	0.46	0.5075	0	NA	NA	NA
5.41	0.614	1.66	0.11987	0.563086	2.77	0.11987	0	NA	NA	NA
11.81	-0.424	-1.02	0.32708	0.748496	1.04	0.32708	0	A_23_P206724	4493	MT1E
12.84	-0.258	-1.02	0.32537	0.747855	1.04	0.32537	0	NA	NA	NA
12.65	-0.06	-0.23	0.82296	0.959514	0.05	0.82296	0	NA	NA	NA
3.26	2.333	2.87	0.01309	0.282251	8.25	0.01309	0	NA	NA	NA
11.75	-0.309	-1.01	0.33256	0.752419	1.01	0.33256	0	A_23_P215787	26959	HBP1
10.8	-0.038	-0.12	0.9077	0.978082	0.01	0.9077	0	A_23_P19313	6908	TBP
11.99	-0.308	-0.76	0.45874	0.827807	0.58	0.45874	0	NA	NA	NA
7.06	-0.855	-2.24	0.0434	0.417726	5.01	0.0434	0	NA	NA	NA
8.67	0.509	1.62	0.12987	0.57653	2.61	0.12987	0	A_24_P198629	55180	LINS1
5.68	-0.441	-0.77	0.45615	0.826678	0.59	0.45615	0	NA	NA	NA
13.32	-0.095	-0.35	0.73139	0.931524	0.12	0.73139	0	NA	NA	NA
11.14	0.228	0.87	0.3999	0.795261	0.76	0.3999	0	A_23_P85164	1774	DNASE1L1
4.49	0.23	0.46	0.65622	0.907174	0.21	0.65622	0	NA	NA	NA
2.98	-0.087	-0.27	0.79436	0.951391	0.07	0.79436	0	NA	NA	NA
12.6	-0.241	-0.74	0.4718	0.834173	0.55	0.4718	0	A_23_P250800	10402	ST3GAL6
3.35	0.49	1.4	0.18419	0.637505	1.97	0.18419	0	NA	NA	NA
3.35	0.159	0.5	0.62748	0.89642	0.25	0.62748	0	NA	NA	NA
7.39	-0.311	-0.42	0.68005	0.91433	0.18	0.68005	0	NA	NA	NA
9.49	-0.54	-1.55	0.14492	0.595154	2.41	0.14492	0	A_23_P252211	4552	MTRR
11.92	0.131	0.44	0.66399	0.909513	0.2	0.66399	0	NA	NA	NA
6.24	-0.723	-1.81	0.09326	0.52709	3.28	0.09326	0	NA	NA	NA
4.45	-0.088	-0.22	0.82684	0.960628	0.05	0.82684	0	NA	NA	NA
5.56	0.208	0.58	0.57232	0.875123	0.34	0.57232	0	A_23_P96331	7454	WAS
3.87	-0.234	-0.44	0.66896	0.910807	0.19	0.66896	0	A_23_P24457	57689	LRRC4C
8.6	-0.176	-0.41	0.68735	0.916155	0.17	0.68735	0	NA	NA	NA
8.51	-0.691	-1.8	0.09554	0.529178	3.23	0.09554	0	A_23_P213255	56916	SMARCAD1
7.96	-0.816	-1.18	0.25858	0.70216	1.4	0.25858	0	A_23_P38505	58191	CXCL16
11.79	0.075	0.24	0.81322	0.956661	0.06	0.81322	0	NA	NA	NA
7.87	-0.059	-0.09	0.92717	0.98328	0.01	0.92717	0	NA	NA	NA
2.67	-0.11	-0.27	0.78924	0.950185	0.07	0.78924	0	NA	NA	NA
10.54	-0.117	-0.32	0.75468	0.939833	0.1	0.75468	0	A_23_P121182	26061	HACL1
7.85	-0.362	-1.05	0.31335	0.74137	1.1	0.31335	0	A_24_P173234	79898	ZNF613
3.12	-0.248	-0.77	0.45643	0.826678	0.59	0.45643	0	NA	NA	NA
7.99	-0.591	-1.07	0.30418	0.735577	1.14	0.30418	0	A_23_P122414	2978	GUCA1A
6.01	0.028	0.05	0.96395	0.991595	0	0.96395	0	NA	NA	NA
6.44	-0.034	-0.08	0.93469	0.985067	0.01	0.93469	0	NA	NA	NA
2.61	0.589	1.22	0.24282	0.688728	1.5	0.24282	0	A_23_P117437	64806	IL25
10.81	0.26	0.64	0.53316	0.859538	0.41	0.53316	0	NA	NA	NA
5.23	0.815	2.5	0.02652	0.358629	6.26	0.02652	0	NA	NA	NA
11.45	-0.769	-2.48	0.02742	0.360489	6.17	0.02742	0	NA	NA	NA
5.2	-0.004	-0.01	0.99216	0.997869	0	0.99216	0	NA	NA	NA
4.54	-1.108	-2.75	0.01663	0.306585	7.55	0.01663	0	NA	NA	NA
4.36	0.254	0.53	0.60253	0.887371	0.28	0.60253	0	NA	NA	NA
5.08	0.369	0.68	0.50871	0.849129	0.46	0.50871	0	A_23_P104972	64232	MS4A5
5.68	-2.4	-5.15	0.00019	0.045029	26.55	0.00019	-1	NA	NA	NA
10.04	-0.23	-0.28	0.78251	0.948147	0.08	0.78251	0	A_23_P258769	3115	HLA-DPB1
