A	Coef	t	p.value	p.value.adj	F	F.p.value	CasevsControl	Genes.probe	Genes.id	Genes.symbol
2.73	-0.279	-1.22	0.23084	0.689771	1.48	0.23084	0	16650157	16650157	NA
1.77	-0.082	-0.44	0.66156	0.910327	0.19	0.66156	0	16650159	16650159	NA
2.2	0.024	0.11	0.91318	0.980381	0.01	0.91318	0	16650161	16650161	NA
4.03	0.038	0.15	0.87799	0.973082	0.02	0.87799	0	16650163	16650163	NA
4.13	0.05	0.27	0.79056	0.948653	0.07	0.79056	0	16650165	16650165	NA
2.62	0.107	0.47	0.64036	0.903032	0.22	0.64036	0	16650167	16650167	NA
2.51	0.029	0.13	0.89945	0.977367	0.02	0.89945	0	16650171	16650171	NA
2.13	0.237	1.49	0.14524	0.606202	2.21	0.14524	0	16650173	16650173	NA
1.62	-0.079	-0.36	0.71979	0.927606	0.13	0.71979	0	16650177	16650177	NA
1.36	0.14	0.84	0.40775	0.807511	0.7	0.40775	0	16650179	16650179	NA
4.44	-0.096	-0.53	0.5982	0.889363	0.28	0.5982	0	16650181	16650181	NA
2.29	0.123	0.58	0.5631	0.879288	0.34	0.5631	0	16650183	16650183	NA
2.21	-0.02	-0.14	0.89045	0.975405	0.02	0.89045	0	16650185	16650185	NA
1.46	-0.043	-0.24	0.81389	0.956816	0.06	0.81389	0	16650187	16650187	NA
1.8	-0.126	-0.77	0.44492	0.825642	0.6	0.44492	0	16650189	16650189	NA
1.3	-0.398	-2.34	0.02442	0.394292	5.49	0.02442	0	16650191	16650191	NA
1.8	0.251	1.52	0.13708	0.595169	2.31	0.13708	0	16650193	16650193	NA
1.82	-0.196	-0.83	0.41345	0.810239	0.68	0.41345	0	16650195	16650195	NA
1.5	0.063	0.29	0.77332	0.943519	0.08	0.77332	0	16650199	16650199	NA
2.24	-0.234	-0.56	0.57608	0.882283	0.32	0.57608	0	16650201	16650201	NA
1.48	-0.266	-1.59	0.11981	0.573787	2.53	0.11981	0	16650203	16650203	NA
1.93	-0.045	-0.27	0.78522	0.94705	0.08	0.78522	0	16650205	16650205	NA
2.32	0.1	0.35	0.72864	0.931285	0.12	0.72864	0	16650207	16650207	NA
2.24	0.215	1.02	0.31226	0.748203	1.05	0.31226	0	16650209	16650209	NA
3.13	0.133	0.62	0.538	0.869057	0.39	0.538	0	16650211	16650211	NA
2.7	0.126	0.28	0.77849	0.945177	0.08	0.77849	0	16650213	16650213	NA
2.32	0.359	1.61	0.11661	0.568025	2.58	0.11661	0	16650215	16650215	NA
1.93	0.102	0.64	0.5251	0.864421	0.41	0.5251	0	16650217	16650217	NA
1.75	-0.316	-2.38	0.02221	0.387369	5.68	0.02221	0	16650219	16650219	NA
2.31	-0.089	-0.48	0.63705	0.90192	0.23	0.63705	0	16650221	16650221	NA
2.09	-0.376	-1.6	0.11786	0.57084	2.56	0.11786	0	16650223	16650223	NA
1.28	-0.29	-1.78	0.08316	0.521425	3.17	0.08316	0	16650225	16650225	NA
1.54	0.218	1.18	0.2471	0.703685	1.38	0.2471	0	16650229	16650229	NA
3.02	-0.448	-2.04	0.04818	0.458245	4.17	0.04818	0	16650231	16650231	NA
5.61	-0.344	-2.44	0.0193	0.376443	5.97	0.0193	0	16650233	16650233	NA
3.11	0.413	2.43	0.01991	0.378849	5.9	0.01991	0	16650235	16650235	NA
2.98	0.013	0.07	0.94565	0.987175	0	0.94565	0	16650237	16650237	NA
2.14	0.122	0.48	0.63629	0.901777	0.23	0.63629	0	16650239	16650239	NA
1.7	0.006	0.02	0.98025	0.99585	0	0.98025	0	16650245	16650245	NA
1.49	-0.059	-0.36	0.72204	0.928691	0.13	0.72204	0	16650247	16650247	NA
2.01	0.281	1.51	0.14005	0.59878	2.27	0.14005	0	16650249	16650249	NA
1.52	0.199	0.88	0.38428	0.792573	0.77	0.38428	0	16650251	16650251	NA
3.29	-0.075	-0.39	0.69504	0.919673	0.16	0.69504	0	16650253	16650253	NA
2.4	0.446	1.91	0.06393	0.489172	3.64	0.06393	0	16650255	16650255	NA
1.3	-0.248	-1.66	0.10425	0.552007	2.77	0.10425	0	16650257	16650257	NA
1.89	0.06	0.33	0.74286	0.935242	0.11	0.74286	0	16650259	16650259	NA
1.37	-0.165	-1.09	0.28469	0.730385	1.18	0.28469	0	16650263	16650263	NA
1.55	-0.03	-0.21	0.83365	0.962059	0.04	0.83365	0	16650265	16650265	NA
3.09	0.441	2.47	0.01826	0.370399	6.08	0.01826	0	16650267	16650267	NA
3.85	-0.239	-1.29	0.20359	0.665652	1.67	0.20359	0	16650271	16650271	NA
4.51	0.089	0.48	0.633	0.901128	0.23	0.633	0	16650273	16650273	NA
5.22	-1.078	-3.76	0.00058	0.226778	14.1	0.00058	0	16650279	16650279	NA
8.79	0.1	0.85	0.40107	0.803882	0.72	0.40107	0	16650281	16650281	NA
2.45	1.23	3.09	0.00369	0.278217	9.56	0.00369	0	16650285	16650285	NA
4.43	-0.267	-1.36	0.18156	0.644834	1.85	0.18156	0	16650287	16650287	NA
2.61	-0.136	-0.63	0.53382	0.867863	0.39	0.53382	0	16650289	16650289	NA
4.41	0.457	2.55	0.01474	0.352502	6.52	0.01474	0	16650291	16650291	NA
4.59	-0.083	-0.51	0.61005	0.893366	0.26	0.61005	0	16650293	16650293	NA
2.25	0.277	0.88	0.38368	0.792113	0.78	0.38368	0	16650295	16650295	NA
1.32	-0.212	-1.3	0.20178	0.663831	1.69	0.20178	0	16650297	16650297	NA
1.47	-0.205	-0.97	0.34018	0.767094	0.93	0.34018	0	16650299	16650299	NA
3.31	0.263	1.08	0.28749	0.732174	1.16	0.28749	0	16650301	16650301	NA
5.6	0.325	1.56	0.12675	0.581321	2.44	0.12675	0	16650303	16650303	NA
3.83	0.068	0.43	0.67269	0.912941	0.18	0.67269	0	16650305	16650305	NA
1.37	0.311	2.13	0.03955	0.437914	4.54	0.03955	0	16650307	16650307	NA
2.31	0.25	0.7	0.49094	0.848315	0.48	0.49094	0	16650309	16650309	NA
3.05	0.137	0.74	0.4638	0.833598	0.55	0.4638	0	16650311	16650311	NA
4.85	-0.051	-0.25	0.80631	0.953864	0.06	0.80631	0	16650313	16650313	NA
3.71	-0.067	-0.4	0.68969	0.917768	0.16	0.68969	0	16650315	16650315	NA
1.55	0.454	2.58	0.01398	0.350165	6.63	0.01398	0	16650317	16650317	NA
1.75	-0.313	-1.41	0.16643	0.631065	1.99	0.16643	0	16650319	16650319	NA
1.96	-0.146	-0.61	0.54639	0.872276	0.37	0.54639	0	16650321	16650321	NA
2.51	-0.192	-0.78	0.44295	0.825488	0.6	0.44295	0	16650323	16650323	NA
3.92	0.476	2.38	0.02265	0.388869	5.64	0.02265	0	16650325	16650325	NA
2.49	0.37	1.18	0.24722	0.703685	1.38	0.24722	0	16650327	16650327	NA
1.88	0.263	0.98	0.33387	0.762806	0.96	0.33387	0	16650329	16650329	NA
2.17	0.935	3.01	0.00459	0.290489	9.07	0.00459	0	16650331	16650331	NA
3.14	0.21	0.92	0.36157	0.77875	0.85	0.36157	0	16650333	16650333	NA
1.96	0.699	2.8	0.00798	0.313421	7.84	0.00798	0	16650335	16650335	NA
1.72	-0.216	-1.15	0.25703	0.710016	1.32	0.25703	0	16650337	16650337	NA
4.73	-0.392	-2.21	0.03317	0.421056	4.88	0.03317	0	16650341	16650341	NA
5.25	-0.106	-0.62	0.53912	0.869371	0.38	0.53912	0	16650343	16650343	NA
3.46	0.162	0.93	0.35716	0.776918	0.87	0.35716	0	16650345	16650345	NA
7.57	0.107	0.62	0.54032	0.869975	0.38	0.54032	0	16650347	16650347	NA
3.28	-0.252	-1.42	0.16271	0.627546	2.03	0.16271	0	16650349	16650349	NA
5.06	0.303	1.03	0.31052	0.746753	1.06	0.31052	0	16650351	16650351	NA
3.81	-0.451	-1.91	0.0638	0.489035	3.64	0.0638	0	16650353	16650353	NA
3.02	-0.401	-1.62	0.11388	0.564041	2.62	0.11388	0	16650355	16650355	NA
4.91	-0.294	-1.46	0.15116	0.614562	2.15	0.15116	0	16650357	16650357	NA
4.38	0.198	0.7	0.48866	0.847194	0.49	0.48866	0	16650359	16650359	NA
6.09	-0.022	-0.15	0.87819	0.973082	0.02	0.87819	0	16650361	16650361	NA
3.47	0.116	0.76	0.45022	0.828158	0.58	0.45022	0	16650363	16650363	NA
3.4	-0.114	-0.61	0.54322	0.871248	0.38	0.54322	0	16650365	16650365	NA
2.58	-0.297	-1.22	0.22869	0.687345	1.5	0.22869	0	16650367	16650367	NA
2.73	0.762	2.01	0.05142	0.465945	4.04	0.05142	0	16650369	16650369	NA
4.41	0.506	2.43	0.01979	0.37872	5.92	0.01979	0	16650371	16650371	NA
2.22	0.138	0.56	0.57833	0.882865	0.31	0.57833	0	16650373	16650373	NA
1.99	0.032	0.14	0.89068	0.975405	0.02	0.89068	0	16650375	16650375	NA
2.82	-0.106	-0.66	0.51016	0.858624	0.44	0.51016	0	16650377	16650377	NA
2.11	0.042	0.22	0.82335	0.959082	0.05	0.82335	0	16650379	16650379	NA
2.59	0.273	1.23	0.22795	0.687196	1.5	0.22795	0	16650381	16650381	NA
4.24	0.091	0.62	0.53833	0.869131	0.39	0.53833	0	16650383	16650383	NA
2.57	-0.106	-0.99	0.33006	0.760171	0.97	0.33006	0	16650385	16650385	NA
1.18	0.096	0.48	0.63302	0.901128	0.23	0.63302	0	16650387	16650387	NA
2.39	0.216	0.99	0.32906	0.759576	0.98	0.32906	0	16650389	16650389	NA
2.31	0.182	0.69	0.49591	0.85167	0.47	0.49591	0	16650391	16650391	NA
2.49	0.757	3.31	0.00201	0.25334	10.99	0.00201	0	16650393	16650393	NA
2	0.416	1.83	0.07536	0.509666	3.34	0.07536	0	16650395	16650395	NA
4.66	-0.12	-0.77	0.44626	0.826082	0.59	0.44626	0	16650397	16650397	NA
3.93	-0.184	-1.07	0.28948	0.732939	1.15	0.28948	0	16650399	16650399	NA
1.56	0.19	0.92	0.36087	0.778394	0.86	0.36087	0	16650401	16650401	NA
4.36	-0.13	-0.8	0.42894	0.818829	0.64	0.42894	0	16650403	16650403	NA
3.49	0.2	0.92	0.36144	0.778698	0.85	0.36144	0	16650405	16650405	NA
4.86	0.062	0.23	0.81912	0.958043	0.05	0.81912	0	16650407	16650407	NA
3.8	-0.649	-3.04	0.00431	0.289953	9.21	0.00431	0	16650409	16650409	NA
3.24	-0.353	-1.41	0.16616	0.630942	1.99	0.16616	0	16650411	16650411	NA
3.93	-0.086	-0.43	0.6693	0.912708	0.19	0.6693	0	16650413	16650413	NA
2.5	0.235	1.04	0.30561	0.743722	1.08	0.30561	0	16650415	16650415	NA
4.27	0.089	0.42	0.67478	0.913746	0.18	0.67478	0	16650417	16650417	NA
4.17	0.329	1.17	0.25087	0.705926	1.36	0.25087	0	16650419	16650419	NA
2.74	0.568	1.93	0.06125	0.485048	3.72	0.06125	0	16650421	16650421	NA
3.65	0.306	1.02	0.3137	0.749828	1.04	0.3137	0	16650423	16650423	NA
3.23	0.327	1.41	0.16557	0.62984	2	0.16557	0	16650425	16650425	NA
4.22	0.278	1.62	0.11392	0.564086	2.62	0.11392	0	16650427	16650427	NA
4.43	-0.184	-0.82	0.41847	0.812202	0.67	0.41847	0	16650429	16650429	NA
5	-0.132	-0.91	0.36741	0.78186	0.83	0.36741	0	16650431	16650431	NA
2.46	-0.424	-1.72	0.09272	0.534518	2.97	0.09272	0	16650433	16650433	NA
1.82	0.022	0.13	0.89685	0.977025	0.02	0.89685	0	16650435	16650435	NA
3.06	0.027	0.11	0.90988	0.980041	0.01	0.90988	0	16650437	16650437	NA
4.37	0.357	1.6	0.11869	0.572284	2.55	0.11869	0	16650439	16650439	NA
2.58	0.437	1.99	0.05326	0.467928	3.98	0.05326	0	16650441	16650441	NA
4.19	-0.041	-0.25	0.80581	0.95374	0.06	0.80581	0	16650443	16650443	NA
3.2	0.139	0.59	0.55959	0.878064	0.35	0.55959	0	16650445	16650445	NA
1.91	0.105	0.49	0.62808	0.900095	0.24	0.62808	0	16650447	16650447	NA
3.91	0.011	0.06	0.9558	0.989678	0	0.9558	0	16650449	16650449	NA
2.93	0.428	2.01	0.05109	0.465109	4.06	0.05109	0	16650451	16650451	NA
5.18	0.447	2.66	0.0113	0.337742	7.08	0.0113	0	16650453	16650453	NA
3.82	0.551	1.72	0.09353	0.536263	2.96	0.09353	0	16650455	16650455	NA
2.55	-0.229	-1.26	0.21598	0.677531	1.58	0.21598	0	16650457	16650457	NA
3.85	0.227	1.01	0.31919	0.753797	1.02	0.31919	0	16650459	16650459	NA
1.64	0.25	1.06	0.29682	0.737295	1.12	0.29682	0	16650461	16650461	NA
2.39	0.318	1.81	0.07788	0.514564	3.28	0.07788	0	16650463	16650463	NA
5.07	-0.284	-2.43	0.01995	0.378991	5.9	0.01995	0	16650465	16650465	NA
1.85	0.603	3.41	0.00155	0.244146	11.61	0.00155	0	16650467	16650467	NA
1.62	0.02	0.11	0.91654	0.98143	0.01	0.91654	0	16650469	16650469	NA
2.92	-0.035	-0.13	0.89459	0.976184	0.02	0.89459	0	16650471	16650471	NA
4.66	0.293	1.09	0.28049	0.727458	1.2	0.28049	0	16650473	16650473	NA
2.54	-0.048	-0.19	0.85	0.965909	0.04	0.85	0	16650475	16650475	NA
5.61	0.113	0.43	0.67226	0.912894	0.18	0.67226	0	16650479	16650479	NA
6.41	0.03	0.19	0.84678	0.965464	0.04	0.84678	0	16650481	16650481	NA
2.58	0.006	0.03	0.98008	0.995845	0	0.98008	0	16650483	16650483	NA
4.57	-0.008	-0.04	0.96848	0.992618	0	0.96848	0	16650485	16650485	NA
1.82	-0.173	-0.71	0.48389	0.84429	0.5	0.48389	0	16650491	16650491	NA
1.37	0.026	0.14	0.88615	0.974845	0.02	0.88615	0	16650493	16650493	NA
2.05	-0.362	-1.13	0.26576	0.716407	1.28	0.26576	0	16650497	16650497	NA
1.37	-0.103	-0.68	0.50259	0.855016	0.46	0.50259	0	16650499	16650499	NA
1.72	-0.19	-0.93	0.35983	0.777949	0.86	0.35983	0	16650501	16650501	NA
4.11	-0.129	-0.53	0.6024	0.891002	0.28	0.6024	0	16650505	16650505	NA
1.68	-0.007	-0.04	0.96999	0.99316	0	0.96999	0	16650507	16650507	NA
1.65	0.146	0.89	0.37866	0.788853	0.79	0.37866	0	16650509	16650509	NA
3.14	0.042	0.17	0.86973	0.97145	0.03	0.86973	0	16650511	16650511	NA
5.01	0.795	4.24	0.00014	0.201038	17.96	0.00014	0	16650513	16650513	NA
1.79	-0.101	-0.62	0.53796	0.869033	0.39	0.53796	0	16650515	16650515	NA
4.13	-0.007	-0.02	0.98392	0.9968	0	0.98392	0	16650517	16650517	NA
1.58	-0.171	-0.93	0.35658	0.776499	0.87	0.35658	0	16650519	16650519	NA
2.3	0.089	0.32	0.74808	0.936621	0.1	0.74808	0	16650521	16650521	NA
5.09	0.096	0.57	0.57387	0.881861	0.32	0.57387	0	16650523	16650523	NA
1.77	0.086	0.47	0.64324	0.904187	0.22	0.64324	0	16650525	16650525	NA
1.68	-0.155	-0.74	0.46345	0.833501	0.55	0.46345	0	16650527	16650527	NA
6.58	-0.234	-1.25	0.21866	0.678452	1.56	0.21866	0	16650529	16650529	NA
2.03	-0.064	-0.27	0.7917	0.94876	0.07	0.7917	0	16650531	16650531	NA
4.76	-0.296	-1.65	0.10788	0.557411	2.71	0.10788	0	16650533	16650533	NA
5.52	0.205	0.66	0.513	0.860003	0.44	0.513	0	16650535	16650535	NA
2.9	0.04	0.19	0.85061	0.966073	0.04	0.85061	0	16650537	16650537	NA
3.09	0.135	0.49	0.62512	0.898521	0.24	0.62512	0	16650539	16650539	NA
2.93	0.318	1.51	0.13853	0.597235	2.29	0.13853	0	16650541	16650541	NA
2.55	-0.029	-0.09	0.92508	0.982677	0.01	0.92508	0	16650543	16650543	NA
2.49	-0.338	-1.69	0.09847	0.544168	2.87	0.09847	0	16650545	16650545	NA
1.64	0.099	0.51	0.60986	0.893366	0.26	0.60986	0	16650547	16650547	NA
3.11	0.502	1.87	0.06945	0.497485	3.49	0.06945	0	16650549	16650549	NA
1.66	0.002	0.01	0.99311	0.998616	0	0.99311	0	16650551	16650551	NA
3.23	0.193	1.09	0.28364	0.729952	1.18	0.28364	0	16650553	16650553	NA
1.73	0.016	0.07	0.94509	0.987011	0	0.94509	0	16650555	16650555	NA
1.31	-0.203	-0.97	0.33975	0.767094	0.93	0.33975	0	16650557	16650557	NA
2.18	0.185	0.52	0.60525	0.892056	0.27	0.60525	0	16650559	16650559	NA
3.9	-0.209	-1.38	0.17574	0.640869	1.9	0.17574	0	16650561	16650561	NA
1.63	0.216	1.38	0.17413	0.638951	1.92	0.17413	0	16650563	16650563	NA
1.5	-0.161	-0.77	0.44769	0.826761	0.59	0.44769	0	16650567	16650567	NA
1.52	-0.054	-0.32	0.75129	0.937341	0.1	0.75129	0	16650569	16650569	NA
2.97	1.121	2.88	0.00647	0.299789	8.3	0.00647	0	16650571	16650571	NA
2.12	0.046	0.23	0.82116	0.958569	0.05	0.82116	0	16650573	16650573	NA
5.09	-0.254	-1.22	0.22824	0.687196	1.5	0.22824	0	16650575	16650575	NA
1.61	0.258	1.41	0.16641	0.631059	1.99	0.16641	0	16650577	16650577	NA
1.39	0.033	0.2	0.8414	0.964361	0.04	0.8414	0	16650581	16650581	NA
5.21	0.021	0.12	0.90749	0.979611	0.01	0.90749	0	16650583	16650583	NA
3.13	0.212	0.9	0.3736	0.78564	0.81	0.3736	0	16650585	16650585	NA
4.62	0.631	1.79	0.0818	0.51986	3.19	0.0818	0	16650587	16650587	NA
3.54	-0.382	-1.78	0.0832	0.521425	3.16	0.0832	0	16650589	16650589	NA
3.83	-0.244	-1.11	0.27537	0.72296	1.22	0.27537	0	16650591	16650591	NA
1.64	0.143	0.84	0.40553	0.806022	0.71	0.40553	0	16650593	16650593	NA
2.1	0.089	0.44	0.66048	0.910173	0.2	0.66048	0	16650597	16650597	NA
2.69	-0.269	-1.48	0.1474	0.608383	2.19	0.1474	0	16650599	16650599	NA
11.09	-0.195	-1.72	0.09425	0.537642	2.94	0.09425	0	16650601	16650601	NA
7.21	-0.147	-0.59	0.55917	0.877933	0.35	0.55917	0	16650603	16650603	NA
5.52	-0.059	-0.34	0.73404	0.93279	0.12	0.73404	0	16650605	16650605	NA
1.87	-0.056	-0.29	0.77334	0.943519	0.08	0.77334	0	16650607	16650607	NA
3.31	-0.303	-1.26	0.21461	0.677132	1.59	0.21461	0	16650609	16650609	NA
1.56	-0.37	-2	0.05258	0.467406	4	0.05258	0	16650613	16650613	NA
2.29	0.545	2.31	0.02637	0.39893	5.34	0.02637	0	16650615	16650615	NA
3.02	0.022	0.11	0.90964	0.979958	0.01	0.90964	0	16650617	16650617	NA
1.66	-0.174	-0.8	0.43121	0.820024	0.63	0.43121	0	16650619	16650619	NA
3.18	-0.32	-1.67	0.10223	0.548451	2.8	0.10223	0	16650621	16650621	NA
3.86	0.3	1.71	0.09629	0.540132	2.91	0.09629	0	16650623	16650623	NA
3.85	-0.051	-0.3	0.76649	0.941586	0.09	0.76649	0	16650625	16650625	NA
3.75	0.169	0.79	0.4352	0.821752	0.62	0.4352	0	16650627	16650627	NA
1.98	-0.152	-0.71	0.48426	0.844564	0.5	0.48426	0	16650629	16650629	NA
1.82	-0.056	-0.23	0.8225	0.958837	0.05	0.8225	0	16650631	16650631	NA
5.07	-0.306	-1.8	0.07933	0.517029	3.25	0.07933	0	16650633	16650633	NA
2.64	-0.071	-0.24	0.81117	0.955749	0.06	0.81117	0	16650635	16650635	NA
3.58	-0.43	-2.03	0.04911	0.459987	4.13	0.04911	0	16650637	16650637	NA
3.97	-0.016	-0.07	0.94733	0.98757	0	0.94733	0	16650639	16650639	NA
5.05	0.176	0.94	0.3535	0.775115	0.88	0.3535	0	16650641	16650641	NA
1.51	0.157	1.03	0.30924	0.745955	1.06	0.30924	0	16650643	16650643	NA
1.87	-0.108	-0.53	0.60165	0.890852	0.28	0.60165	0	16650645	16650645	NA
5.53	0.486	3.21	0.00268	0.269003	10.31	0.00268	0	16650647	16650647	NA
2.2	0.243	0.94	0.35275	0.774671	0.88	0.35275	0	16650649	16650649	NA
1.59	0.209	0.86	0.39566	0.800443	0.74	0.39566	0	16650651	16650651	NA
3.34	0.006	0.02	0.98236	0.996532	0	0.98236	0	16650653	16650653	NA
3.11	0.291	1.52	0.13715	0.595265	2.31	0.13715	0	16650655	16650655	NA
2.3	-0.308	-1.51	0.13862	0.597309	2.29	0.13862	0	16650657	16650657	NA
1.8	0.17	0.85	0.39994	0.80292	0.72	0.39994	0	16650659	16650659	NA
4.05	0.023	0.09	0.92653	0.983223	0.01	0.92653	0	16650661	16650661	NA
1.82	-0.047	-0.23	0.81563	0.95699	0.06	0.81563	0	16650663	16650663	NA
1.38	0.131	0.84	0.40751	0.807409	0.7	0.40751	0	16650667	16650667	NA
2.1	-0.242	-1.58	0.12131	0.575617	2.51	0.12131	0	16650669	16650669	NA
2.56	0.135	0.65	0.51786	0.861839	0.43	0.51786	0	16650671	16650671	NA
