probe	pvalue	adj.pvalue	symbol	probe	entrez	group
200715_x_at	0.79938	0.999858	RPL13A /// SNORD32A /// SNORD33 /// SNORD34 /// SNORD35A	200715_x_at	NA	
200716_x_at	0.74006	0.999858	RPL13A /// RPL13AP5 /// SNORD32A /// SNORD33 /// SNORD34 /// SNORD35A	200716_x_at	NA	
200717_x_at	0.5465	0.999858	RPL7	200717_x_at	6129	
200718_s_at	0.61112	0.999858	SKP1	200718_s_at	6500	
200719_at	0.74254	0.999858	SKP1	200719_at	6500	
200720_s_at	0.17246	0.999858	ACTR1A	200720_s_at	10121	
200721_s_at	0.91299	0.999858	ACTR1A	200721_s_at	10121	
200722_s_at	0.15799	0.999858	CAPRIN1	200722_s_at	4076	
200723_s_at	0.57915	0.999858	CAPRIN1	200723_s_at	4076	
200724_at	0.51793	0.999858	RPL10 /// SNORA70	200724_at	NA	
200725_x_at	0.61782	0.999858	RPL10 /// SNORA70	200725_x_at	NA	
200726_at	0.91761	0.999858	PPP1CC	200726_at	5501	
200727_s_at	0.07614	0.999858	ACTR2	200727_s_at	10097	
200728_at	0.48461	0.999858	ACTR2	200728_at	10097	
200729_s_at	0.843	0.999858	ACTR2	200729_s_at	10097	
200730_s_at	0.62972	0.999858	PTP4A1	200730_s_at	7803	
200731_s_at	0.22844	0.999858	PTP4A1	200731_s_at	7803	
200732_s_at	0.03961	0.877701	PTP4A1	200732_s_at	7803	
200733_s_at	0.0607	0.976974	PTP4A1	200733_s_at	7803	
200734_s_at	0.69758	0.999858	ARF3	200734_s_at	377	
200735_x_at	0.57581	0.999858	NACA	200735_x_at	4666	
200736_s_at	0.38856	0.999858	GPX1	200736_s_at	2876	
200737_at	0.6626	0.999858	PGK1	200737_at	5230	
200738_s_at	0.62432	0.999858	PGK1	200738_s_at	5230	
200739_s_at	0.50543	0.999858	SUMO3	200739_s_at	6612	
200740_s_at	0.6669	0.999858	SUMO3	200740_s_at	6612	
200741_s_at	0.73275	0.999858	RPS27	200741_s_at	6232	
200742_s_at	0.0076	0.499836	TPP1	200742_s_at	1200	
200743_s_at	0.00232	0.273795	TPP1	200743_s_at	1200	
200744_s_at	0.94932	0.999858	GNB1	200744_s_at	2782	
200745_s_at	0.21059	0.999858	GNB1	200745_s_at	2782	
200746_s_at	0.17573	0.999858	GNB1	200746_s_at	2782	
200747_s_at	0.93273	0.999858	NUMA1	200747_s_at	4926	
200748_s_at	0.8896	0.999858	FTH1	200748_s_at	2495	
200749_at	0.42029	0.999858	RAN	200749_at	5901	
200750_s_at	0.74897	0.999858	RAN	200750_s_at	5901	
200751_s_at	0.89801	0.999858	HNRNPC	200751_s_at	3183	
200752_s_at	0.98176	0.999858	CAPN1	200752_s_at	823	
200753_x_at	0.99062	0.999858	MIR636 /// SRSF2	200753_x_at	NA	
200754_x_at	0.62846	0.999858	MIR636 /// SRSF2	200754_x_at	NA	
200755_s_at	0.96277	0.999858	CALU	200755_s_at	813	
200756_x_at	0.6982	0.999858	CALU	200756_x_at	813	
200757_s_at	0.63437	0.999858	CALU	200757_s_at	813	
200758_s_at	0.82418	0.999858	NFE2L1	200758_s_at	4779	
200759_x_at	0.33889	0.999858	NFE2L1	200759_x_at	4779	
200760_s_at	0.36813	0.999858	ARL6IP5	200760_s_at	10550	
200761_s_at	0.90899	0.999858	ARL6IP5	200761_s_at	10550	
200762_at	0.92015	0.999858	DPYSL2	200762_at	1808	
200763_s_at	0.75586	0.999858	RPLP1	200763_s_at	6176	
200764_s_at	0.71228	0.999858	CTNNA1	200764_s_at	1495	
200765_x_at	0.77915	0.999858	CTNNA1	200765_x_at	1495	
200766_at	0.14422	0.999858	CTSD	200766_at	1509	
200767_s_at	0.0039	0.357744	FAM120A	200767_s_at	23196	
200768_s_at	0.51779	0.999858	MAT2A	200768_s_at	4144	
200769_s_at	0.54448	0.999858	MAT2A	200769_s_at	4144	
200770_s_at	0.0051	0.41933	LAMC1	200770_s_at	3915	
200771_at	0.04829	0.931398	LAMC1	200771_at	3915	
200772_x_at	0.92188	0.999858	LOC100506248 /// LOC728026 /// MIR1244-1 /// MIR1244-2 /// MIR1244-3 /// PTMA	200772_x_at	NA	
200773_x_at	0.71315	0.999858	PTMA	200773_x_at	5757	
200774_at	0.23354	0.999858	FAM120A	200774_at	23196	
200775_s_at	0.98517	0.999858	HNRNPK	200775_s_at	3190	
200776_s_at	0.15362	0.999858	BZW1	200776_s_at	9689	
200777_s_at	0.54753	0.999858	BZW1	200777_s_at	9689	
200778_s_at	0.76045	0.999858	2-Sep	200778_s_at	4735	
200779_at	0.8139	0.999858	ATF4	200779_at	468	
200780_x_at	0.07382	0.999858	GNAS	200780_x_at	2778	
200781_s_at	0.86721	0.999858	RPS15A	200781_s_at	6210	
200782_at	0.06467	0.986101	ANXA5	200782_at	308	
200783_s_at	0.00728	0.490408	STMN1	200783_s_at	3925	
200784_s_at	0.76123	0.999858	LRP1	200784_s_at	4035	
200785_s_at	0.06397	0.986101	LRP1	200785_s_at	4035	
200786_at	0.602	0.999858	PSMB7	200786_at	5695	
200787_s_at	0.45325	0.999858	PEA15	200787_s_at	8682	
200788_s_at	0.40935	0.999858	PEA15	200788_s_at	8682	
200789_at	0.17276	0.999858	ECH1	200789_at	1891	
200790_at	0.66142	0.999858	ODC1	200790_at	4953	
200791_s_at	0.45614	0.999858	IQGAP1	200791_s_at	8826	
200792_at	0.86945	0.999858	XRCC6	200792_at	2547	
200793_s_at	0.83998	0.999858	ACO2	200793_s_at	50	
200794_x_at	0.8276	0.999858	DAZAP2	200794_x_at	9802	
200795_at	0.61166	0.999858	SPARCL1	200795_at	8404	
200796_s_at	0.13843	0.999858	MCL1	200796_s_at	4170	
200797_s_at	0.38441	0.999858	MCL1	200797_s_at	4170	
200798_x_at	0.39563	0.999858	MCL1	200798_x_at	4170	
200799_at	0.62077	0.999858	HSPA1A /// HSPA1B	200799_at	NA	
200800_s_at	0.24422	0.999858	HSPA1A /// HSPA1B /// HSPA1L	200800_s_at	NA	
200801_x_at	0.13823	0.999858	ACTB	200801_x_at	60	
200802_at	0.24159	0.999858	SARS	200802_at	6301	
200803_s_at	0.07458	0.999858	TMBIM6	200803_s_at	7009	
200804_at	0.78255	0.999858	TMBIM6	200804_at	7009	
200805_at	0.29121	0.999858	LMAN2	200805_at	10960	
200806_s_at	0.08357	0.999858	HSPD1	200806_s_at	3329	
200807_s_at	0.07362	0.999858	HSPD1	200807_s_at	3329	
200808_s_at	0.96297	0.999858	ZYX	200808_s_at	7791	
200809_x_at	0.8365	0.999858	RPL12	200809_x_at	6136	
200810_s_at	0.90077	0.999858	CIRBP	200810_s_at	1153	
200811_at	0.74631	0.999858	CIRBP	200811_at	1153	
200812_at	0.98939	0.999858	CCT7	200812_at	10574	
200813_s_at	0.58326	0.999858	PAFAH1B1	200813_s_at	5048	
200814_at	0.20329	0.999858	PSME1	200814_at	5720	
200815_s_at	0.16966	0.999858	PAFAH1B1	200815_s_at	5048	
200816_s_at	0.60979	0.999858	PAFAH1B1	200816_s_at	5048	
200817_x_at	0.55444	0.999858	RPS10	200817_x_at	6204	
200818_at	0.62705	0.999858	ATP5O	200818_at	539	
200819_s_at	0.93375	0.999858	RPS15	200819_s_at	6209	
200820_at	0.84846	0.999858	PSMD8	200820_at	5714	
200821_at	0.65088	0.999858	LAMP2	200821_at	3920	
200822_x_at	0.17074	0.999858	TPI1	200822_x_at	7167	
200823_x_at	0.80801	0.999858	RPL29	200823_x_at	6159	
200824_at	0.71625	0.999858	GSTP1	200824_at	2950	
200825_s_at	0.79074	0.999858	HYOU1	200825_s_at	10525	
200826_at	0.74595	0.999858	SNRPD2	200826_at	6633	
200827_at	0.00152	0.231817	PLOD1	200827_at	5351	
200828_s_at	0.05692	0.958376	ZNF207	200828_s_at	7756	
200829_x_at	0.45994	0.999858	ZNF207	200829_x_at	7756	
200830_at	0.28949	0.999858	PSMD2	200830_at	5708	
200831_s_at	0.92642	0.999858	SCD	200831_s_at	6319	
200832_s_at	0.29735	0.999858	SCD	200832_s_at	6319	
200833_s_at	0.42847	0.999858	RAP1B	200833_s_at	5908	
200834_s_at	0.87451	0.999858	RPS21	200834_s_at	6227	
200835_s_at	0.50577	0.999858	MAP4	200835_s_at	4134	
200836_s_at	0.12952	0.999858	MAP4	200836_s_at	4134	
200837_at	0.77289	0.999858	BCAP31	200837_at	10134	
200838_at	0.95895	0.999858	CTSB	200838_at	1508	
200839_s_at	0.4324	0.999858	CTSB	200839_s_at	1508	
200840_at	0.84559	0.999858	KARS	200840_at	3735	
200841_s_at	0.30265	0.999858	EPRS	200841_s_at	2058	
200842_s_at	0.99901	0.999858	EPRS	200842_s_at	2058	
200843_s_at	0.70927	0.999858	EPRS	200843_s_at	2058	
200844_s_at	0.054	0.954771	PRDX6	200844_s_at	9588	
200845_s_at	0.75285	0.999858	PRDX6	200845_s_at	9588	
200846_s_at	0.50225	0.999858	PPP1CA	200846_s_at	5499	
200847_s_at	0.60313	0.999858	SARAF	200847_s_at	51669	
200848_at	0.92773	0.999858	AHCYL1	200848_at	10768	
200849_s_at	0.56478	0.999858	AHCYL1	200849_s_at	10768	
200850_s_at	0.72066	0.999858	AHCYL1	200850_s_at	10768	
200851_s_at	0.91804	0.999858	IST1	200851_s_at	9798	
200852_x_at	0.16736	0.999858	GNB2	200852_x_at	2783	
200853_at	0.38723	0.999858	H2AFZ	200853_at	3015	
200854_at	0.56483	0.999858	NCOR1	200854_at	9611	
200855_at	0.22789	0.999858	NCOR1	200855_at	9611	
200856_x_at	0.54661	0.999858	NCOR1	200856_x_at	9611	
200857_s_at	0.43792	0.999858	NCOR1	200857_s_at	9611	
200858_s_at	0.88649	0.999858	RPS8 /// SNORD38B /// SNORD55	200858_s_at	NA	
200859_x_at	0.9979	0.999858	FLNA	200859_x_at	2316	
200860_s_at	0.45744	0.999858	CNOT1	200860_s_at	23019	
200861_at	0.20868	0.999858	CNOT1	200861_at	23019	
200862_at	0.24197	0.999858	DHCR24	200862_at	1718	
200863_s_at	0.71446	0.999858	RAB11A	200863_s_at	8766	
200864_s_at	0.46643	0.999858	RAB11A	200864_s_at	8766	
200866_s_at	0.26864	0.999858	PSAP	200866_s_at	5660	
200867_at	0.93468	0.999858	RNF114	200867_at	55905	
200868_s_at	0.55178	0.999858	RNF114	200868_s_at	55905	
200869_at	0.81239	0.999858	RPL18A /// SNORA68	200869_at	NA	
200870_at	0.97376	0.999858	STRAP	200870_at	11171	
200871_s_at	0.22597	0.999858	PSAP	200871_s_at	5660	
200872_at	0.26815	0.999858	S100A10	200872_at	6281	
200873_s_at	0.811	0.999858	CCT8	200873_s_at	10694	
200874_s_at	0.8019	0.999858	MIR1292 /// NOP56 /// SNORD110 /// SNORD57 /// SNORD86	200874_s_at	NA	
200875_s_at	0.80023	0.999858	MIR1292 /// NOP56 /// SNORD110 /// SNORD57 /// SNORD86	200875_s_at	NA	
200876_s_at	0.8707	0.999858	PSMB1	200876_s_at	5689	
200877_at	0.80949	0.999858	CCT4	200877_at	10575	
200878_at	0.40552	0.999858	EPAS1	200878_at	2034	
200879_s_at	0.31395	0.999858	EPAS1	200879_s_at	2034	
200880_at	0.6041	0.999858	DNAJA1	200880_at	3301	
200881_s_at	0.74708	0.999858	DNAJA1	200881_s_at	3301	
200882_s_at	0.94552	0.999858	PSMD4	200882_s_at	5710	
200883_at	0.95405	0.999858	UQCRC2	200883_at	7385	
200884_at	0.62922	0.999858	CKB	200884_at	1152	
200885_at	0.41626	0.999858	RHOC	200885_at	389	
200886_s_at	0.52455	0.999858	PGAM1	200886_s_at	5223	
200887_s_at	0.66571	0.999858	STAT1	200887_s_at	6772	
200888_s_at	0.95341	0.999858	RPL23 /// SNORA21	200888_s_at	NA	
200889_s_at	0.04607	0.919017	SSR1	200889_s_at	6745	
200890_s_at	0.38848	0.999858	SSR1	200890_s_at	6745	
200891_s_at	0.9625	0.999858	SSR1	200891_s_at	6745	
200892_s_at	0.54907	0.999858	TRA2B	200892_s_at	6434	
200893_at	0.44372	0.999858	TRA2B	200893_at	6434	
200894_s_at	0.67713	0.999858	FKBP4	200894_s_at	2288	
200895_s_at	0.7253	0.999858	FKBP4	200895_s_at	2288	
200896_x_at	0.44993	0.999858	HDGF	200896_x_at	3068	
200897_s_at	0.02518	0.777609	PALLD	200897_s_at	23022	
200898_s_at	0.16986	0.999858	MGEA5	200898_s_at	10724	
200899_s_at	0.67263	0.999858	MGEA5	200899_s_at	10724	
200900_s_at	0.64753	0.999858	M6PR	200900_s_at	4074	
200901_s_at	0.27635	0.999858	M6PR /// PHC1	200901_s_at	NA	
200902_at	0.58382	0.999858	15-Sep	200902_at	NA	
200903_s_at	0.50279	0.999858	AHCY	200903_s_at	191	
200904_at	0.55593	0.999858	HLA-E	200904_at	3133	
200905_x_at	0.64285	0.999858	HLA-E	200905_x_at	3133	
200906_s_at	0.27124	0.999858	PALLD	200906_s_at	23022	
200907_s_at	0.0487	0.933585	PALLD	200907_s_at	23022	
200908_s_at	0.29923	0.999858	RPLP2	200908_s_at	6181	
200909_s_at	0.9156	0.999858	RPLP2 /// SNORA52	200909_s_at	NA	
200910_at	0.91713	0.999858	CCT3 /// LOC101927137	200910_at	NA	
200911_s_at	0.28157	0.999858	TACC1	200911_s_at	6867	
200912_s_at	0.74086	0.999858	EIF4A2 /// MIR1248 /// SNORA4 /// SNORA63 /// SNORA81 /// SNORD2	200912_s_at	NA	
200913_at	0.83975	0.999858	PPM1G	200913_at	5496	
200914_x_at	0.33043	0.999858	KTN1	200914_x_at	3895	
200915_x_at	0.44059	0.999858	KTN1	200915_x_at	3895	
200916_at	0.2713	0.999858	TAGLN2	200916_at	8407	
200917_s_at	0.90987	0.999858	SRPR	200917_s_at	NA	
200918_s_at	0.60321	0.999858	SRPR	200918_s_at	NA	
200919_at	0.7465	0.999858	PHC2	200919_at	1912	
200920_s_at	0.33822	0.999858	BTG1	200920_s_at	694	
200921_s_at	0.9085	0.999858	BTG1	200921_s_at	694	
200922_at	0.60975	0.999858	KDELR1	200922_at	10945	
200923_at	0.23294	0.999858	LGALS3BP	200923_at	3959	
200924_s_at	0.07873	0.999858	SLC3A2	200924_s_at	6520	
200925_at	0.74269	0.999858	COX6A1	200925_at	1337	
200926_at	0.92272	0.999858	RPS23	200926_at	6228	
200927_s_at	0.46072	0.999858	RAB14	200927_s_at	51552	
200929_at	0.52966	0.999858	TMED10	200929_at	10972	
200930_s_at	0.40006	0.999858	VCL	200930_s_at	7414	
200931_s_at	0.05035	0.941791	VCL	200931_s_at	7414	
200932_s_at	0.85008	0.999858	DCTN2	200932_s_at	10540	
200933_x_at	0.77952	0.999858	RPS4X	200933_x_at	6191	
200934_at	0.98002	0.999858	DEK	200934_at	7913	
200935_at	0.48737	0.999858	CALR	200935_at	811	
200936_at	0.7479	0.999858	RPL8	200936_at	6132	
200937_s_at	0.90873	0.999858	RPL5 /// SNORD21	200937_s_at	NA	
200940_s_at	0.25549	0.999858	RERE	200940_s_at	473	
200941_at	0.60479	0.999858	HSBP1	200941_at	3281	
200942_s_at	0.83859	0.999858	HSBP1	200942_s_at	3281	
200943_at	0.86428	0.999858	HMGN1	200943_at	3150	
200944_s_at	0.62061	0.999858	HMGN1 /// LOC101927733	200944_s_at	NA	
200945_s_at	0.84066	0.999858	SEC31A	200945_s_at	22872	
200946_x_at	0.17981	0.999858	GLUD1	200946_x_at	2746	
200947_s_at	0.1165	0.999858	GLUD1	200947_s_at	2746	
200948_at	0.31265	0.999858	MLF2	200948_at	8079	
200949_x_at	0.69462	0.999858	RPS20 /// SNORD54	200949_x_at	NA	
200950_at	0.25069	0.999858	ARPC1A	200950_at	10552	
200952_s_at	0.49605	0.999858	CCND2	200952_s_at	894	
200953_s_at	0.01768	0.704384	CCND2	200953_s_at	894	
200954_at	0.44179	0.999858	ATP6V0C	200954_at	527	
200955_at	0.98757	0.999858	IMMT	200955_at	10989	
200956_s_at	0.65279	0.999858	SSRP1	200956_s_at	6749	
200957_s_at	0.96492	0.999858	SSRP1	200957_s_at	6749	
200958_s_at	0.43515	0.999858	SDCBP	200958_s_at	6386	
200959_at	0.9303	0.999858	FUS	200959_at	2521	
200960_x_at	0.83076	0.999858	CLTA	200960_x_at	1211	
200961_at	0.46179	0.999858	SEPHS2	200961_at	22928	
200962_at	0.55161	0.999858	RPL31	200962_at	6160	
200963_x_at	0.99067	0.999858	RPL31	200963_x_at	6160	
200964_at	0.53904	0.999858	UBA1	200964_at	7317	
200965_s_at	0.68094	0.999858	ABLIM1	200965_s_at	3983	
200966_x_at	0.4353	0.999858	ALDOA	200966_x_at	226	
200967_at	0.91568	0.999858	PPIB	200967_at	5479	
200968_s_at	0.78578	0.999858	PPIB	200968_s_at	5479	
200969_at	0.11836	0.999858	LOC101928061 /// SERP1	200969_at	NA	
200970_s_at	0.14392	0.999858	SERP1	200970_s_at	27230	
200971_s_at	0.88074	0.999858	LOC101928061 /// SERP1	200971_s_at	NA	
200972_at	0.10382	0.999858	TSPAN3	200972_at	10099	
200973_s_at	0.55981	0.999858	TSPAN3	200973_s_at	10099	
200974_at	0.50359	0.999858	ACTA2	200974_at	59	
200975_at	0.47993	0.999858	PPT1	200975_at	5538	
200976_s_at	0.70378	0.999858	TAX1BP1	200976_s_at	8887	
200977_s_at	0.62545	0.999858	TAX1BP1	200977_s_at	8887	
200978_at	0.86868	0.999858	MDH1	200978_at	4190	
200979_at	0.08048	0.999858	PDHA1	200979_at	5160	
200980_s_at	0.53815	0.999858	PDHA1	200980_s_at	5160	
200981_x_at	0.05694	0.958376	GNAS	200981_x_at	2778	
200982_s_at	0.97954	0.999858	ANXA6	200982_s_at	309	
200983_x_at	0.14628	0.999858	CD59	200983_x_at	966	
200984_s_at	0.71616	0.999858	CD59	200984_s_at	966	
200985_s_at	0.83704	0.999858	CD59	200985_s_at	966	
200986_at	0.78753	0.999858	SERPING1	200986_at	710	
200987_x_at	0.59131	0.999858	PSME3	200987_x_at	10197	
200988_s_at	0.39359	0.999858	PSME3	200988_s_at	10197	
200989_at	0.98039	0.999858	HIF1A	200989_at	3091	
200990_at	0.30908	0.999858	TRIM28	200990_at	10155	
200991_s_at	0.35357	0.999858	SNX17	200991_s_at	9784	
200992_at	0.67999	0.999858	IPO7	200992_at	10527	
200993_at	0.70237	0.999858	IPO7	200993_at	10527	
200994_at	0.59608	0.999858	IPO7	200994_at	10527	
200995_at	0.8595	0.999858	IPO7	200995_at	10527	
200996_at	0.88272	0.999858	ACTR3	200996_at	10096	
200997_at	0.69992	0.999858	RBM14-RBM4 /// RBM4	200997_at	NA	
200998_s_at	0.00765	0.499836	CKAP4	200998_s_at	10970	
200999_s_at	0.06228	0.985262	CKAP4	200999_s_at	10970	
201000_at	0.80277	0.999858	AARS	201000_at	16	
