A	Coef	t	p.value	p.value.adj	F	F.p.value	CasevsControl	Genes.probe	Genes.id	Genes.symbol
-0.52	0.321	2.55	0.01707	0.076303	6.51	0.01707	0	73	A_33_P3241482	ZNF346
-0.03	0.077	0.94	0.35625	0.547607	0.88	0.35625	0	75	A_33_P3349661	PCDH9
0.03	-0.075	-0.81	0.42517	0.609292	0.66	0.42517	0	77	A_23_P145541	FIG4
0.09	-0.266	-3.36	0.00249	0.022116	11.26	0.00249	-1	78	A_23_P111865	ZSCAN21
-0.47	-0.243	-1.14	0.26495	0.454834	1.3	0.26495	0	79	A_23_P151294	IFNG
-0.24	0.431	2.45	0.02148	0.088505	6	0.02148	0	80	A_23_P144096	CISH
-0.18	0.201	2.17	0.03918	0.131725	4.73	0.03918	0	81	A_33_P3299510	SCXA
0.17	0.09	1.06	0.29788	0.490696	1.13	0.29788	0	82	A_23_P76705	TUBGCP3
0.04	-0.522	-2.93	0.00701	0.042552	8.6	0.00701	-1	83	A_23_P63896	FAS
-0.06	-0.547	-2.56	0.01687	0.075714	6.54	0.01687	0	85	A_24_P355944	EFNB2
-0.11	-0.029	-0.32	0.75047	0.8543	0.1	0.75047	0	86	A_23_P101374	CYP2S1
0.56	-0.575	-2.72	0.01171	0.059527	7.37	0.01171	0	87	A_32_P199252	HSP90AA1
0.1	0.234	2.13	0.04256	0.139338	4.56	0.04256	0	89	A_23_P203191	APOA1
0.15	-0.636	-3.11	0.00459	0.032618	9.65	0.00459	-1	90	A_19_P00811812	MPRIP
0.07	-0.154	-0.9	0.3748	0.564034	0.82	0.3748	0	91	A_24_P54390	RASGRP3
0.25	-0.054	-0.44	0.66242	0.793398	0.2	0.66242	0	92	A_33_P3311205	PRPF40B
-0.27	0.062	0.52	0.60821	0.754773	0.27	0.60821	0	93	A_32_P89827	TPTE2P6
0.45	0.366	1.44	0.16241	0.332314	2.07	0.16241	0	94	A_23_P44264	EMX2
0.24	-0.194	-1.55	0.13345	0.292424	2.4	0.13345	0	95	A_33_P3424489	
-0.17	0.205	2.89	0.00777	0.045452	8.35	0.00777	1	97	A_33_P3245927	OGFOD2
-0.17	0.009	0.09	0.92621	0.96024	0.01	0.92621	0	98	A_23_P101521	IZUMO2
0.17	-0.309	-3.09	0.00474	0.033312	9.57	0.00474	-1	100	A_33_P3379526	
-0.29	-0.016	-0.17	0.86731	0.926176	0.03	0.86731	0	101	A_23_P98183	HRAS
-0.21	0.083	0.79	0.43396	0.617081	0.63	0.43396	0	104	A_33_P3265679	LOC389199
-0.04	0.208	1.85	0.0759	0.203287	3.42	0.0759	0	106	A_21_P0000880	SPAG5-AS1
-0.48	-0.586	-2.28	0.03142	0.113498	5.19	0.03142	0	107	A_33_P3278313	MSRB3
0.46	-0.032	-0.28	0.78549	0.876726	0.08	0.78549	0	109	A_33_P3235690	THOC2
0	-0.015	-0.2	0.84206	0.911941	0.04	0.84206	0	110	A_21_P0006812	XLOC_008342
0.14	0.244	2.21	0.03652	0.125644	4.87	0.03652	0	112	A_21_P0000576	LOC100294362
-0.13	0.187	2.41	0.02329	0.093387	5.83	0.02329	0	114	A_21_P0014082	LOC100507013
0.16	-0.011	-0.05	0.95735	0.976937	0	0.95735	0	115	A_24_P187056	
-0.07	0.23	2.1	0.0459	0.146521	4.4	0.0459	0	116	A_33_P3858476	FLJ30838
-0.21	0.126	1.52	0.14206	0.304626	2.3	0.14206	0	117	A_33_P3260373	ISY1-RAB43
0.18	0.001	0	0.99667	0.998251	0	0.99667	0	118	A_33_P3282898	TLN1
0.22	-0.069	-0.69	0.49916	0.671986	0.47	0.49916	0	119	A_23_P122001	MSH3
-0.14	-0.026	-0.39	0.70173	0.820323	0.15	0.70173	0	120	A_23_P117437	IL25
0.03	0.021	0.23	0.82	0.89893	0.05	0.82	0	121	A_21_P0002784	XLOC_002880
0.34	-0.331	-2.2	0.03682	0.126336	4.85	0.03682	0	122	A_24_P303420	LOC221442
0	0.012	0.13	0.89944	0.945077	0.02	0.89944	0	123	A_23_P122508	DPCR1
0.3	0.294	2.06	0.04985	0.154675	4.24	0.04985	0	125	A_19_P00322002	FLJ43663
0.02	1.296	4.68	8e-05	0.003157	21.95	8e-05	1	126	A_19_P00320028	LOC100216546
-0.55	-0.555	-1.81	0.08187	0.213478	3.28	0.08187	0	127	A_23_P114883	FMOD
-0.01	0.1	1.06	0.29784	0.490667	1.13	0.29784	0	128	A_24_P42066	GGT3P
-0.04	0.054	0.54	0.59638	0.745282	0.29	0.59638	0	130	A_33_P3321007	LOC401463
0.08	0.16	1.62	0.11765	0.269189	2.62	0.11765	0	131	A_33_P3857091	LOC286114
-0.17	-0.204	-2.34	0.02763	0.104261	5.46	0.02763	0	132	A_33_P3404480	MPP4
0.06	-0.015	-0.15	0.88436	0.935996	0.02	0.88436	0	133	A_33_P3357431	
-0.11	0.057	0.56	0.57924	0.732635	0.32	0.57924	0	134	A_21_P0009595	LOC645321
0.27	-0.258	-2.21	0.03593	0.124347	4.91	0.03593	0	135	A_23_P110288	GSTCD
-0.06	0.223	2.02	0.05349	0.161879	4.1	0.05349	0	136	A_23_P114282	MCTS1
-0.2	0.345	3.9	0.00063	0.009411	15.2	0.00063	1	137	A_21_P0001847	XLOC_001398
-0.01	0.215	1.93	0.065	0.184071	3.72	0.065	0	138	A_33_P3325018	ERLEC1
-0.31	0.005	0.03	0.9779	0.988838	0	0.9779	0	140	A_23_P88740	CENPN
0.03	0.087	0.94	0.35395	0.545701	0.89	0.35395	0	141	A_23_P123308	TEX15
-0.51	0.215	1.67	0.10719	0.253396	2.79	0.10719	0	143	A_33_P3412975	SIX5
-0.2	-0.113	-1.33	0.19397	0.372681	1.78	0.19397	0	144	A_33_P3745164	CADM2
-0.31	0.082	1	0.3282	0.520365	0.99	0.3282	0	145	A_23_P102937	SUMO3
0.09	-0.037	-0.49	0.62519	0.766799	0.24	0.62519	0	146	A_24_P41021	FBXO33
0.05	-0.111	-1.12	0.27391	0.464709	1.25	0.27391	0	149	A_23_P11652	USP1
-0.05	-0.369	-3.32	0.0027	0.023209	11.04	0.0027	-1	150	A_23_P258340	PPIA
-0.04	0.381	2.85	0.00862	0.048696	8.1	0.00862	1	151	A_21_P0014949	NPEPPS
-0.06	0.062	0.84	0.40683	0.593289	0.71	0.40683	0	152	A_33_P3209386	TXNDC17
0.27	0.275	2.36	0.02647	0.10136	5.55	0.02647	0	153	A_33_P3312601	AADACL4
-0.28	0.117	1.18	0.24696	0.435284	1.4	0.24696	0	154	A_23_P162702	C12orf51
-0.08	0.132	2.19	0.03793	0.128724	4.79	0.03793	0	155	A_23_P434518	LFNG
-0.24	0.252	1.82	0.08032	0.210815	3.32	0.08032	0	157	A_23_P61042	
-0.1	0.318	4.95	4e-05	0.002282	24.49	4e-05	1	160	A_23_P119907	ANKZF1
-0.24	0.438	2.65	0.01356	0.065377	7.03	0.01356	0	167	A_33_P3284404	SYNGR1
-0.16	-0.189	-0.68	0.50502	0.676918	0.46	0.50502	0	170	A_23_P110624	CTNND2
-0.04	-0.022	-0.34	0.73823	0.845566	0.11	0.73823	0	172	A_21_P0001786	XLOC_002049
-0.43	0.096	0.38	0.70657	0.823716	0.14	0.70657	0	173	A_32_P215938	GPSM1
-0.02	0.067	0.9	0.37655	0.565713	0.81	0.37655	0	174	A_33_P3325808	
-0.18	-0.146	-0.67	0.5118	0.682129	0.44	0.5118	0	176	A_23_P101960	ZFP36L2
0.04	0.644	4.9	5e-05	0.002416	24.01	5e-05	1	177	A_19_P00318261	SNORA26
-0.01	0.044	0.51	0.61322	0.758301	0.26	0.61322	0	178	A_21_P0011410	XLOC_l2_004944
0.01	0.08	0.81	0.42519	0.609296	0.66	0.42519	0	179	A_23_P140602	NGRN
0.1	0.18	2.01	0.05476	0.164263	4.05	0.05476	0	180	A_24_P252575	RABGAP1
0.34	-0.446	-3.19	0.00374	0.028649	10.18	0.00374	-1	181	A_23_P104025	TSEN15
0.12	0.223	1.69	0.10398	0.248369	2.84	0.10398	0	182	A_23_P63459	C1orf31
-0.09	-0.073	-0.91	0.36931	0.559095	0.84	0.36931	0	183	A_23_P104972	MS4A5
0.09	0.253	2.81	0.00945	0.05175	7.88	0.00945	0	184	A_33_P3215028	C6orf89
-0.02	0.268	2.84	0.00881	0.049455	8.05	0.00881	1	185	A_33_P3228722	TBCD
0.02	0.057	0.56	0.58145	0.73438	0.31	0.58145	0	187	A_23_P146146	ATP6V0D2
-0.04	-0.131	-0.58	0.56821	0.724717	0.33	0.56821	0	188	A_24_P71973	KDR
0	0.072	0.73	0.47059	0.647476	0.54	0.47059	0	189	A_33_P3340085	POLDIP3
-0.07	0.049	0.66	0.51254	0.682774	0.44	0.51254	0	190	A_23_P215175	ABCF2
-0.2	0.085	0.38	0.70562	0.823055	0.15	0.70562	0	191	A_23_P103588	HMGCS2
-0.03	-0.308	-2.06	0.04993	0.154846	4.24	0.04993	0	193	A_19_P00806765	FONG
-0.01	-0.199	-1.76	0.09106	0.22805	3.08	0.09106	0	195	A_23_P11032	SLC9A7
0.02	-0.009	-0.12	0.90546	0.948925	0.01	0.90546	0	196	A_33_P3255314	FLJ26245
-0.03	-0.042	-0.62	0.53907	0.703474	0.39	0.53907	0	197	A_21_P0005037	LOC100506867
0.13	-0.243	-1.85	0.07666	0.204428	3.4	0.07666	0	198	A_23_P252748	ZNF195
-0.12	-0.094	-0.79	0.4368	0.619733	0.62	0.4368	0	200	A_32_P57810	RNF157
0.01	0.39	3.31	0.00282	0.023831	10.92	0.00282	1	201	A_21_P0002212	LOC100506235
0.01	0.557	4.21	0.00028	0.006042	17.73	0.00028	1	202	A_23_P214678	CUTA
0.18	0.089	0.72	0.47839	0.653971	0.52	0.47839	0	203	A_24_P11575	CRIM1
0.03	0.107	1.54	0.13524	0.295139	2.38	0.13524	0	204	A_33_P3368034	
-0.05	0.044	0.61	0.54602	0.708546	0.37	0.54602	0	205	A_21_P0008281	XLOC_011080
-0.01	0.217	2.01	0.05459	0.16391	4.06	0.05459	0	206	A_33_P3240972	LOC100134285
-0.1	0.069	0.69	0.49628	0.669717	0.48	0.49628	0	207	A_21_P0004440	XLOC_004988
-0.32	-0.02	-0.14	0.89245	0.940869	0.02	0.89245	0	208	A_23_P106463	OAZ2
0.09	0.1	1.48	0.15139	0.317699	2.19	0.15139	0	209	A_24_P153043	RPL23AP7
-0.14	-0.006	-0.02	0.98594	0.992753	0	0.98594	0	211	A_23_P36187	SYT8
-0.12	0.04	0.53	0.60075	0.748729	0.28	0.60075	0	212	A_21_P0009102	MMP2
-0.19	0.294	4.55	0.00011	0.003757	20.72	0.00011	1	213	A_24_P149395	WIPI2
0	0.06	0.7	0.48842	0.662652	0.49	0.48842	0	214	A_21_P0012208	XLOC_l2_009273
0.06	0.035	0.48	0.63834	0.775855	0.23	0.63834	0	215	A_21_P0013981	CHRM3
-0.27	0.026	0.14	0.88801	0.938163	0.02	0.88801	0	217	A_23_P104563	CPT1A
0.21	-0.307	-3.22	0.00351	0.02748	10.35	0.00351	-1	219	A_23_P82762	ZNF596
-0.42	-0.042	-0.32	0.75215	0.855431	0.1	0.75215	0	220	A_24_P336577	C1orf183
0.02	-0.022	-0.31	0.76232	0.862471	0.09	0.76232	0	221	A_33_P3368144	
-0.03	-0.039	-0.41	0.68671	0.809816	0.17	0.68671	0	222	A_33_P3253583	OR8B4
-0.23	0.449	4.75	7e-05	0.002914	22.53	7e-05	1	223	A_33_P3317282	NUS1
-0.05	-0.235	-1.28	0.21363	0.396933	1.63	0.21363	0	225	A_33_P3500167	ACAN
-0.03	-0.052	-0.41	0.68467	0.808188	0.17	0.68467	0	226	A_21_P0013408	XLOC_l2_013648
-0.06	0.363	2.15	0.04158	0.137099	4.61	0.04158	0	227	A_33_P3384108	SLC19A1
-0.05	-0.622	-4.01	0.00047	0.007983	16.09	0.00047	-1	230	A_23_P36531	TSPAN8
0.22	-0.197	-1.17	0.25401	0.443243	1.36	0.25401	0	232	A_33_P3236030	ARHGAP24
-0.06	0.138	1.74	0.09372	0.232238	3.03	0.09372	0	233	A_21_P0009956	XLOC_013528
0	0.069	0.83	0.41274	0.598427	0.69	0.41274	0	235	A_21_P0008718	XLOC_011421
-0.45	1.091	6.59	0	0.00035	43.49	0	1	236	A_33_P3273459	SPATA21
-0.1	0.202	1.75	0.09224	0.229793	3.06	0.09224	0	237	A_24_P383850	EIF4G3
-0.05	-0.085	-0.94	0.35847	0.549584	0.87	0.35847	0	238	A_23_P354791	NAV2
-0.18	0.128	1.3	0.20414	0.385679	1.7	0.20414	0	239	A_23_P59153	LSM2
0.11	0.676	2.64	0.01402	0.066715	6.96	0.01402	0	240	A_23_P103110	MAFF
0.04	0.277	2.8	0.00954	0.05205	7.86	0.00954	0	241	A_23_P344853	WDR43
-0.07	0.016	0.17	0.86849	0.926939	0.03	0.86849	0	242	A_24_P134235	KHSRP
-0.08	0.094	1.13	0.27101	0.46136	1.27	0.27101	0	243	A_33_P3218772	UPF2
0.03	-0.265	-1.86	0.07408	0.200083	3.47	0.07408	0	244	A_23_P53646	NAP1L1
-0.21	0.008	0.07	0.9436	0.969977	0.01	0.9436	0	245	A_23_P431505	XKR6
0	-0.175	-1.05	0.30383	0.496514	1.1	0.30383	0	248	A_21_P0009162	XLOC_012139
-0.02	-0.257	-2.26	0.03251	0.116186	5.11	0.03251	0	250	A_23_P319783	SPAG17
0.07	0.211	2.34	0.02737	0.103555	5.48	0.02737	0	251	A_23_P103442	MEAF6
-0.14	0.422	3.33	0.00268	0.023105	11.06	0.00268	1	255	A_21_P0008647	LOC145837
0.34	0.098	0.62	0.54335	0.706741	0.38	0.54335	0	256	A_33_P3230976	PREP
-0.23	-0.317	-2.19	0.03812	0.129185	4.78	0.03812	0	257	A_23_P106675	PLCG2
0.11	0.186	2.19	0.03816	0.129254	4.78	0.03816	0	258	A_33_P3259954	
-0.08	0.234	2.25	0.0332	0.117884	5.07	0.0332	0	259	A_19_P00321284	LOC100287765
0.04	0.126	1.24	0.2271	0.413213	1.53	0.2271	0	260	A_33_P3233620	
0.06	-0.008	-0.06	0.95169	0.97389	0	0.95169	0	261	A_23_P72096	IL1A
0.09	-0.315	-4.02	0.00046	0.007858	16.17	0.00046	-1	262	A_32_P231086	GOLGA6L9
-0.12	-0.009	-0.14	0.89087	0.939833	0.02	0.89087	0	263	A_23_P7535	HRH2
-0.13	-0.006	-0.06	0.9564	0.976449	0	0.9564	0	264	A_32_P60606	
0.31	-0.105	-0.41	0.68174	0.806497	0.17	0.68174	0	265	A_23_P31073	MYB
0.02	0.14	1.56	0.13115	0.288891	2.43	0.13115	0	266	A_32_P85591	H2BFXP
-0.02	-0.007	-0.08	0.94003	0.968002	0.01	0.94003	0	268	A_33_P3318002	PCDHA4
0.06	0.066	0.87	0.3924	0.580358	0.76	0.3924	0	269	A_23_P345710	XXYLT1
0.28	0.37	1.72	0.09804	0.238831	2.95	0.09804	0	270	A_33_P3331085	SEC24A
-0.01	0.043	0.45	0.65721	0.789635	0.2	0.65721	0	271	A_21_P0000144	LOC100505478
-0.45	0.089	1.06	0.30049	0.493209	1.12	0.30049	0	272	A_23_P110961	BRP44L
-0.25	-0.171	-1.8	0.08334	0.216046	3.25	0.08334	0	273	A_24_P251734	FSTL5
0.15	-0.174	-1.51	0.14302	0.305961	2.28	0.14302	0	274	A_23_P166122	POLR3F
-0.02	0.07	0.72	0.47549	0.651647	0.52	0.47549	0	275	A_24_P817863	UNC80
0.3	0.093	1.04	0.30772	0.500156	1.08	0.30772	0	276	A_23_P113803	KATNA1
0.08	0.137	1.53	0.13741	0.298229	2.35	0.13741	0	277	A_33_P3237364	LOC729032
0.1	-0.131	-0.91	0.3714	0.561039	0.83	0.3714	0	278	A_24_P401090	
0.41	0.029	0.15	0.87835	0.932808	0.02	0.87835	0	279	A_23_P123727	ZCCHC6
0.07	0.066	0.69	0.49889	0.671739	0.47	0.49889	0	280	A_23_P213518	CAST
0.12	-0.147	-2.02	0.05379	0.162541	4.09	0.05379	0	281	A_23_P112113	KIAA0196
-0.14	0.008	0.08	0.93628	0.965824	0.01	0.93628	0	282	A_33_P3292402	LRRIQ3
-0.03	0.409	3	0.00592	0.038185	9.02	0.00592	1	283	A_33_P3291776	NANS
-0.06	0.066	0.77	0.44735	0.628442	0.6	0.44735	0	284	A_33_P3337569	C4orf40
-0.53	-0.198	-0.64	0.52583	0.693536	0.41	0.52583	0	285	A_33_P3222744	ZNF117
0.05	0.109	0.43	0.66874	0.797631	0.19	0.66874	0	286	A_24_P3415	PPP2R2C
-0.08	0.23	3.13	0.00433	0.031411	9.8	0.00433	1	287	A_33_P3240234	
0.03	0.687	3.38	0.00234	0.02124	11.43	0.00234	1	288	A_23_P362228	C1orf213
0.17	-0.234	-2.3	0.02971	0.109447	5.3	0.02971	0	289	A_23_P108376	THADA
0.05	-0.594	-4.34	2e-04	0.005055	18.85	2e-04	-1	290	A_24_P782308	NEDD4L
-0.09	-0.238	-1.56	0.13128	0.289125	2.43	0.13128	0	292	A_33_P3846177	B4GALNT1
0.13	-1.028	-5.25	2e-05	0.001546	27.59	2e-05	-1	294	A_23_P59388	DST
-0.01	0.128	1.07	0.29633	0.489047	1.14	0.29633	0	295	A_23_P109774	ZBTB11
0.06	0.063	0.79	0.43618	0.619187	0.63	0.43618	0	296	A_21_P0012394	XLOC_l2_009886
0.04	0.174	1.16	0.25731	0.44691	1.34	0.25731	0	297	A_33_P3238290	FAM65C
-0.18	0.171	1.07	0.29294	0.485609	1.15	0.29294	0	298	A_23_P99891	MESDC1
-0.11	0.159	1.94	0.06319	0.180462	3.77	0.06319	0	300	A_23_P430670	CHST5
-0.11	-0.038	-0.44	0.66315	0.793891	0.19	0.66315	0	301	A_33_P3411313	
0.28	0.459	4.76	7e-05	0.002871	22.66	7e-05	1	302	A_33_P3658861	SNORA26
0.17	-0.465	-3.91	0.00061	0.009219	15.3	0.00061	-1	303	A_23_P41948	CCDC99
-0.03	0.001	0.01	0.99577	0.997867	0	0.99577	0	304	A_23_P27724	SEPW1
-0.07	0.252	3.05	0.00534	0.035784	9.27	0.00534	1	305	A_23_P10785	VTI1A
-0.05	0.055	0.41	0.68321	0.807375	0.17	0.68321	0	306	A_23_P107587	NPC1
-0.52	-0.093	-0.42	0.67922	0.804781	0.17	0.67922	0	308	A_23_P160849	FCER1G
-0.24	-0.094	-1.5	0.14705	0.311514	2.24	0.14705	0	309	A_33_P3265619	
-0.29	0.091	0.86	0.39511	0.582846	0.75	0.39511	0	310	A_24_P823684	HSP90AB1
0.14	0.077	0.6	0.55439	0.714587	0.36	0.55439	0	311	A_24_P98006	MCHR2
-0.06	-0.219	-2.05	0.05052	0.156043	4.21	0.05052	0	312	A_21_P0004081	XLOC_004674
0.09	-0.039	-0.28	0.78233	0.874696	0.08	0.78233	0	313	A_33_P3349404	CECR2
0.27	-0.24	-1.76	0.08987	0.226186	3.11	0.08987	0	314	A_23_P43079	INTS8
-0.05	0.002	0.03	0.9744	0.986774	0	0.9744	0	315	A_23_P217659	BRCC3
-0.06	-0.119	-1.33	0.19658	0.376118	1.76	0.19658	0	316	A_33_P3303444	AFM
0.46	-0.24	-1.26	0.22	0.404665	1.58	0.22	0	317	A_33_P3404749	FMN1
-0.24	-0.128	-0.87	0.39009	0.578468	0.76	0.39009	0	318	A_33_P3704738	FAM74A1
-0.11	-0.055	-0.78	0.44435	0.625965	0.6	0.44435	0	319	A_23_P126869	PADI3
-0.5	0.045	0.27	0.7865	0.877288	0.07	0.7865	0	320	A_23_P137543	ZNF362
-0.06	-0.241	-2.83	0.00893	0.049847	8.02	0.00893	-1	321	A_23_P374322	LACC1
-0.09	0.182	1.58	0.12625	0.281775	2.5	0.12625	0	323	A_23_P113161	C1orf21
-0.1	-0.101	-1.56	0.12994	0.287284	2.45	0.12994	0	324	A_21_P0012360	LINC00229
-0.44	-0.214	-0.86	0.39733	0.584925	0.74	0.39733	0	325	A_33_P3270599	TPM2
0.05	-0.382	-2.95	0.00667	0.041155	8.72	0.00667	-1	331	A_33_P3330911	BCAS1
-0.11	0.194	2.98	0.00629	0.039622	8.87	0.00629	1	332	A_24_P493287	
0.03	0.097	1.2	0.24029	0.427964	1.45	0.24029	0	334	A_21_P0000105	MTRNR2L5
0.1	0.068	0.86	0.39512	0.582846	0.75	0.39512	0	335	A_23_P40952	RAF1
0	-0.129	-1.9	0.0691	0.191702	3.6	0.0691	0	336	A_21_P0011975	XLOC_l2_008321
-0.04	-0.047	-0.48	0.63295	0.772594	0.23	0.63295	0	338	A_23_P45166	PROSC
-0.11	0.109	1.5	0.14575	0.309765	2.25	0.14575	0	340	A_33_P3224250	CLCC1
-0.09	0.492	3.13	0.00436	0.031535	9.79	0.00436	1	342	A_21_P0003212	XLOC_003406
-0.15	0.576	4.92	4e-05	0.00236	24.22	4e-05	1	343	A_23_P334608	GUSB
0.56	0.599	1.36	0.18482	0.36161	1.86	0.18482	0	344	A_23_P53137	HBG1
-0.34	0.493	4.25	0.00025	0.005816	18.03	0.00025	1	345	A_24_P166094	ARFIP1
-0.44	0.434	1.32	0.19939	0.379828	1.74	0.19939	0	348	A_23_P502464	NOS2
0.1	0.162	1.22	0.23436	0.421448	1.48	0.23436	0	350	A_21_P0009821	LOC100652730
-0.07	-0.041	-0.48	0.63525	0.774024	0.23	0.63525	0	351	A_33_P3381022	ICMT
0.29	0.193	2.08	0.04807	0.150927	4.31	0.04807	0	356	A_23_P593	GPBP1L1
-0.15	0.313	2.72	0.01148	0.058773	7.42	0.01148	0	357	A_33_P3272189	MFSD9
