gse	probe	symbol	logfc	aveexpr	t	b	p.value	adj.p.val
GSE25906	ILMN_1684620	SPAG4	0.6734065173396	6.49596497146667	6.70271111362967	9.91313736700166	7.65122415801677e-09	3.66131448882863e-05
GSE25906	ILMN_1795495	ERCC5	0.431017048383081	8.13981397436667	6.69290126339592	9.87775443466498	7.95205669767453e-09	3.66131448882863e-05
GSE25906	ILMN_1764230	GNPTG	0.505892365957701	8.99794151716667	6.68483561110714	9.8486658696931	8.20820247402057e-09	3.66131448882863e-05
GSE25906	ILMN_1717163	F13A1	-0.70222642647356	9.65078458705	-6.68130521045975	9.83593451078493	8.32288889793654e-09	3.66131448882863e-05
GSE25906	ILMN_1730999	TPR	0.426724067780254	8.38251064688333	6.64406776989001	9.70168456403749	9.63412770425456e-09	3.88496199674065e-05
GSE25906	ILMN_1708529	PAPPA2	1.04183443210576	7.6472783021	6.61683221715032	9.60353740198443	1.07215596984383e-08	3.99089441390329e-05
GSE74341	A_23_P1206	RPS24	-0.71	-0.0198	-8.26191794925876	9.86199474319238	1.09085427065428e-08	7.86381260082229e-05
GSE74341	A_24_P29445	TMEM14B	-0.5725	0.2024	-8.02589411006706	9.36573977431636	1.87615426135939e-08	0.000105193884818575
GSE4707	A_24_P397817	LEP	1.4994	0.518	11.1270289909155	7.88396319948628	1.9625589455191e-08	0.000800822177719069
GSE35574	ILMN_1685286	PPP1R12C	0.364980894493518	7.23519789158511	6.12256148659628	8.88884121715551	2.08163451430108e-08	0.000504650655302011
GSE74341	A_33_P3368706	NFYC	0.707	-0.175	7.97771791882663	9.26339093364988	2.0976434525885e-08	0.000105851283904521
GSE25906	ILMN_1678170	MME	0.652611001540545	8.00691282905	6.44291367275678	8.97780213658749	2.11964663542972e-08	6.41060629302777e-05
GSE14722	203140_at	BCL6	1.38309025906819	8.70131657326087	7.94995497377413	8.29963371397441	2.31769660216814e-08	0.000424717902347311
GSE25906	ILMN_1723211	L2HGDH	0.283806241303177	6.37852590028333	6.33227412479669	8.58080593233553	3.2657175597888e-08	8.77933737323224e-05
GSE74341	A_21_P0011428	SLC9B1	-0.361366666666667	-0.11752	-7.78168694212159	8.84326145340118	3.31360036420156e-08	0.000139709574366024
GSE44711	ILMN_1799105	COL17A1	4.83737020434767	3.61375756301188	9.33137458772337	8.00047844336225	4.76992983386586e-08	0.00213606997820181
GSE74341	A_33_P3220818	SAFB	0.575433333333333	0.02616	7.62176791940584	8.49619571285391	4.82957940985995e-08	0.000187469412446425
GSE25906	ILMN_1778086	LMBR1L	0.30908639914101	7.62229410761667	6.22138844882513	8.18393081829462	5.03016701096296e-08	0.000116129331872515
GSE25906	ILMN_1734652	ARHGAP27	0.507153478515868	8.11782815435	6.22090114631324	8.18218913120027	5.03971062062991e-08	0.000116129331872515
GSE25906	ILMN_1806349	SLC6A8	0.719366125620447	7.19503003898333	6.20327837543165	8.1192179704667	5.39719226037106e-08	0.000118713697036071
GSE74341	A_21_P0000306	SNORA2A	1.40193333333333	-0.28724	7.53944930956138	8.31604006444794	5.87071103519705e-08	0.000196880502669582
GSE74341	A_23_P31389	TRA2A	0.5977	-0.09528	7.50810632950132	8.2471787969492	6.32515891227813e-08	0.000196880502669582
GSE25906	ILMN_1744244	DPAGT1	-0.430325395381905	6.3684499545	-6.15237231645538	7.93748547369488	6.57741129833585e-08	0.000132617055302697
GSE25906	ILMN_1801869	WDR75	0.320218894294953	7.96296296441667	6.11418754328603	7.80133933276987	7.6276853577341e-08	0.000146898212170542
GSE25906	ILMN_1655740	SNAI2	-0.413389924888369	6.49133949066667	-6.10537263670559	7.76993186996658	7.89285702920869e-08	0.000146898212170542
GSE74341	A_23_P70127	TMED9	-1.6624	-0.09784	-7.40535154807624	8.02039931125223	8.08375801547733e-08	0.000207412091834066
GSE74341	A_23_P202988	AASDHPPT	-0.945733333333333	0.22876	-7.39834488029954	8.00487867321401	8.2205260130025e-08	0.000207412091834066
GSE44711	ILMN_1714067	NTRK2	4.5022247729941	2.43423119972394	8.86957691089776	7.43497672695247	9.75119844481252e-08	0.00218339084377797
GSE74341	A_24_P222684	TROVE2	-0.522733333333333	0.22996	-7.2770636477764	7.7350827869029	1.10014815534441e-07	0.000264360362928522
GSE74341	A_23_P169470	CDK9	0.555433333333333	0.03776	7.23710615674864	7.64572515719414	1.21149638510327e-07	0.000272163591653855
GSE25906	ILMN_1716988	OPN3	-0.651868770854291	8.66565656098333	-5.98193074950672	7.33101780725065	1.27239700638906e-07	0.000222293814726637
GSE74341	A_33_P3231187	XIAP	-0.4378	0.16012	-7.19298589890287	7.54678970584386	1.34789607412882e-07	0.000280982245536425
GSE25906	ILMN_1719606	LOC644762	-0.402233992782605	7.14037833076667	-5.96614865309245	7.27503110059919	1.35230453798734e-07	0.000223722952719027
GSE25906	ILMN_1660186	SYF2	0.308668859157462	9.22905445065	5.95958207332899	7.25174528918154	1.38699908691275e-07	0.000223722952719027
GSE74341	A_33_P3232562	RBBP4	0.673133333333333	0.13168	7.1650612387669	7.48402638442713	1.44223835632579e-07	0.000280982245536425
GSE74341	A_23_P126757	INTS3	0.5458	-0.14272	7.16349350581056	7.48049943570393	1.44773064562384e-07	0.000280982245536425
GSE25906	ILMN_1803632	NDUFA12	-0.256199419849588	9.88097029606667	-5.9451161843603	7.20046657235643	1.46657148464381e-07	0.000228927077877143
GSE35574	ILMN_1762436	UBB	-0.328244753231484	12.3866216519149	-5.66930200924066	7.05744797556957	1.54798770582303e-07	0.00211677305888291
GSE74341	A_23_P27894	SAFB2	0.581	0.2086	7.12568374427483	7.39533175116734	1.58686267765104e-07	0.000296019920862473
GSE25906	ILMN_1808707	FSCN1	-0.495130915158631	10.5271089866667	-5.92054848673438	7.11343942079362	1.61220168798915e-07	0.000237493980322332
GSE25906	ILMN_1754579	SYNE2	0.289054695042302	6.49228486955	5.91935793217612	7.10922402998653	1.61961176909216e-07	0.000237493980322332
GSE74341	A_23_P356646	MAFIP	-0.6856	0.06544	-7.11149471206017	7.36331782192783	1.64253453770149e-07	0.000296019920862473
GSE35574	ILMN_1792885	CTSC	-0.419313914445369	8.03486044858511	-5.64158841756697	6.94748119098637	1.7462962990413e-07	0.00211677305888291
GSE25906	ILMN_1674254	OS9	0.404769360969452	7.86635348575	5.87612292095857	6.95626740443345	1.91282005576887e-07	0.000256234898478435
GSE25906	ILMN_1792885	CTSC	-0.566161892532308	8.05253513658333	-5.87238300079191	6.94304797116001	1.94052603178411e-07	0.000256234898478435
GSE25906	ILMN_1669669	KCMF1	-0.313132821211513	6.60709427695	-5.869888621391	6.93423217595937	1.95922530351355e-07	0.000256234898478435
GSE74341	A_33_P3317815	KRAS	-0.898333333333333	0.3442	-6.9944166632255	7.09807285101992	2.18519609899568e-07	0.000344591767336
GSE25906	ILMN_1797728	HMGCS1	0.416463503695653	8.31534878608333	5.82841619154232	6.78778209305878	2.29758942968687e-07	0.000292579875006704
GSE74341	A_23_P52298	NPM3	-0.9623	-0.11508	-6.95619710867995	7.01106839450813	2.39949197432053e-07	0.000360265278427905
GSE74341	A_33_P3380883	XPA	-0.508633333333333	0.19212	-6.9301441055024	6.95164401554775	2.55775365343666e-07	0.000360265278427905
GSE14722	205629_s_at	CRH	2.67479726956061	10.2533659617826	6.89601374308127	6.27176033566973	2.85694774048584e-07	0.00261767836722015
GSE25906	ILMN_1751958	NSUN5	0.355651309622802	7.28738993161667	5.76863808594599	6.57711586897277	2.88933583930658e-07	0.000338673794109411
GSE25906	ILMN_1661490	PFDN6	0.616010093153936	7.3105260227	5.75714699309408	6.53667925617973	3.01926822392708e-07	0.000338673794109411
GSE74341	A_33_P3389113	TRAF3IP2-AS1	-0.830633333333333	0.02752	-6.85296275569179	6.77505200639241	3.0920321614551e-07	0.000421703045760399
GSE25906	ILMN_1728432	SEMA4C	0.238344373595771	6.06581550883333	5.75066265423682	6.51386984319177	3.09512141132991e-07	0.000338673794109411
GSE25906	ILMN_1788149	NEK11	0.446649002451235	6.60874123096667	5.74298532096623	6.48687207953297	3.18736971652147e-07	0.000338673794109411
GSE44711	ILMN_1674640	CXCR6	4.06773310664617	3.9063703600763	8.1239025166399	6.45477980695657	3.26580366781255e-07	0.00487497399506606
GSE25906	ILMN_1724363	CSNK1E	0.52591551390952	7.68591845835	5.73465635222242	6.45759285531803	3.29052416016332e-07	0.000338673794109411
GSE25906	ILMN_1793384	JAK1	-0.596169651495888	7.09170841501667	-5.73199760765946	6.44824865687794	3.32414267648019e-07	0.000338673794109411
GSE25906	ILMN_1691809	PSMA1	-0.446676478253821	7.77094237396667	-5.73166473910578	6.44707886096773	3.32837548525387e-07	0.000338673794109411
GSE25906	ILMN_1774062	SLC25A5	-0.304634384559339	12.070602377	-5.72923436200878	6.43853832767825	3.35944247101709e-07	0.000338673794109411
GSE74341	A_33_P3210218	GALNT1	-0.553966666666667	0.27312	-6.81434671165004	6.68639270851006	3.40078765609102e-07	0.000440027042824782
GSE25906	ILMN_1701930	EEF1B2	-0.318741297313749	8.0839887403	-5.71843435300764	6.40059718178273	3.50100070781411e-07	0.000345741682145152
GSE35574	ILMN_1815527	HBD	-1.04866672443148	7.59538735035106	-5.47203865522461	6.28023368783137	3.62973541450709e-07	0.00293318918846318
GSE25906	ILMN_1788547	GCLM	-0.489254913244421	8.07537486228333	-5.70077444819981	6.33859551695616	3.74528275935819e-07	0.000362468465450686
GSE74341	A_23_P380379	CAPS2	-0.359833333333333	0.1744	-6.76681838172987	6.57699507617109	3.82437018551776e-07	0.000475256299181976
GSE74341	A_33_P3344564	C5orf42	-0.462233333333333	-0.08604	-6.75092421865927	6.54034334370303	3.9777198320161e-07	0.000475256299181976
GSE74341	A_33_P3318671	LYPLA2	0.4732	-0.27348	6.74733403141844	6.53205975210997	4.01321766156168e-07	0.000475256299181976
GSE25906	ILMN_1685000	EPS8L1	0.580323254954177	10.3236380393	5.6735523644193	6.24311792026691	4.15521245056232e-07	0.000386674481697521
GSE74341	A_23_P17012	SCRN3	-0.547933333333333	0.14724	-6.71885652832946	6.4662932801868	4.30647333891435e-07	0.000489967141338166
GSE25906	ILMN_1662619	TFPI	0.507913470528788	11.636651641	5.66261587140549	6.20479289691357	4.33211767437674e-07	0.000390234200399858
GSE25906	ILMN_1743205	ABCA7	0.463217031330198	6.51795768943333	5.65617400611058	6.18222751603303	4.43978097529991e-07	0.000390234200399858
GSE74341	A_33_P3348887	PBX3	-1.3683	0.07212	-6.69813793165034	6.41837788497521	4.5334765522557e-07	0.000489967141338166
GSE25906	ILMN_1740180	SNX3	-0.272238188202119	11.3232523386667	-5.64985878507936	6.16011228417172	4.54789288825438e-07	0.000390234200399858
GSE25906	ILMN_1762436	UBB	-0.418137660658045	12.4119447456667	-5.64705719528677	6.15030349172922	4.59668307972555e-07	0.000390234200399858
GSE74341	A_33_P3357678	LCTL	0.548633333333333	-0.19192	6.6839085616355	6.38543720286102	4.69640898386539e-07	0.000489967141338166
GSE74341	A_23_P356152	MAPK8	-0.708	0.3172	-6.67054880659075	6.35448546889306	4.85481294179944e-07	0.000489967141338166
GSE25906	ILMN_1731014	HEMK1	0.268128609296121	6.25049408205	5.61218271084124	6.02831071018126	5.24908096726626e-07	0.000437936255182783
GSE44711	ILMN_1712894	FUT1	2.90744698194219	1.9880727170109	7.83088104641596	6.04587914824185	5.35273909330472e-07	0.00505677817146941
GSE25906	ILMN_1788377	COL27A1	0.266764833225617	6.14865419325	5.60125438562882	5.99012456697891	5.47174415393068e-07	0.000441296166014509
GSE74341	A_23_P367676	SIN3A	0.420966666666667	-0.09092	6.6213225345203	6.24023762835887	5.48696981349264e-07	0.0005260357787049
GSE74341	A_33_P3273459	SPATA21	1.09086666666667	-0.44908	6.61949019472833	6.23597893380492	5.51205638076647e-07	0.0005260357787049
GSE74341	A_21_P0000374	SNORD59B	0.645966666666667	-0.13972	6.6183130219873	6.23324273909997	5.52823464491456e-07	0.0005260357787049
GSE35574	ILMN_1756501	ST6GAL1	-0.337235476555556	7.64374222405319	-5.3696903514363	5.88223342873319	5.61716033794341e-07	0.00389076623065034
GSE44711	ILMN_1678531	N4BP3	3.06714218439984	2.44032122117768	7.79963834254909	6.00146897322393	5.64599411758007e-07	0.00505677817146941
GSE74341	A_33_P3335740	FLJ10038	0.558466666666667	0.03288	6.60804188015653	6.20936113401839	5.67146198942046e-07	0.0005260357787049
GSE74341	A_21_P0007908	LINC00327	-0.683333333333333	0.1462	-6.60368054356806	6.19921640503282	5.73341679457205e-07	0.0005260357787049
GSE74341	A_21_P0014786	LOC100507663	0.566233333333333	-0.05076	6.58040211894188	6.14502808344889	6.07594707865094e-07	0.00053459315756654
GSE74341	A_33_P3392823	USE1	0.405366666666667	0.00412	6.57773657031728	6.13881869818933	6.11647646704336e-07	0.00053459315756654
GSE74341	ens|ENST00000440612|ens|ENST00000402550	CGREF1	-0.6273	-0.05848	-6.57590365220253	6.13454839573377	6.14450539789531e-07	0.00053459315756654
GSE25906	ILMN_1800750	ZNF692	0.303983925994126	6.26041851855	5.56156570257435	5.85161415501331	6.36168970598598e-07	0.000498528680045551
GSE25906	ILMN_1742618	XAF1	0.429048145388955	7.4823258523	5.56050114715269	5.84790268634183	6.38743090779586e-07	0.000498528680045551
GSE74341	A_33_P3368610	PPHLN1	-0.410233333333333	0.30536	-6.54691737016569	6.06695973397236	6.60556271255999e-07	0.00055075352472882
GSE25906	ILMN_1806692	HEXB	0.530350398413633	12.6355327141667	5.54542288982411	5.79535513632175	6.76326093974433e-07	0.000507268347252514
GSE25906	ILMN_1665235	CRTAP	-0.596270031930668	8.10664550785	-5.54345493352265	5.7884997841126	6.81389596433425e-07	0.000507268347252514
GSE74341	A_33_P3364268	LBH	-1.06663333333333	0.09592	-6.52717045583906	6.02085392645537	6.93968847970343e-07	0.00055075352472882
GSE74341	A_23_P63929	WDR11	-0.500266666666667	0.06164	-6.52317666713887	6.01152310313393	7.00932961393077e-07	0.00055075352472882
GSE35574	ILMN_1715715	CEBPA	0.411537258388888	10.8394122617766	5.31273550323793	5.66238121069354	7.1501250214184e-07	0.0041049248480249
GSE74341	A_32_P471485	RTKN2	-0.357133333333333	0.07632	-6.51026386412045	5.98134076134479	7.23940074158889e-07	0.00055075352472882
GSE74341	A_21_P0000238	SNORD12C	2.5504	-0.64176	6.50761865611069	5.97515527882791	7.28747169377108e-07	0.00055075352472882
GSE25906	ILMN_1783753	TXNDC12	0.388863080481785	9.8173487235	5.52180227107126	5.71311845011108	7.39632649946755e-07	0.000531610665189441
GSE25906	ILMN_1811480	ADPRHL2	0.297491939886015	7.65407947498333	5.51925375230363	5.7042515836746	7.46803070427826e-07	0.000531610665189441
GSE74341	A_21_P0000470	SNORD12B	1.06246666666667	-0.46412	6.49667931954321	5.94956573080432	7.48974509341349e-07	0.00055075352472882
GSE74341	A_24_P236522	CD2BP2	-0.3777	-0.06952	-6.4905218912994	5.93515555698033	7.60610240753571e-07	0.00055075352472882
GSE74341	A_23_P104762	YAP1	-0.764966666666667	0.20612	-6.48760772598729	5.92833391407427	7.6618112035097e-07	0.00055075352472882
GSE44711	ILMN_1778237	FN1	4.97387446179112	2.97287941236778	7.62092033005065	5.74438636987633	7.67917666733998e-07	0.00563923613422675
GSE74341	A_33_P3317558	WHAMMP3	-0.765566666666667	0.31256	-6.48596397985185	5.92448567362035	7.69341691586958e-07	0.00055075352472882
GSE25906	ILMN_1789266	CCDC25	0.304824445716804	7.61794279375	5.50623347308076	5.65896942732369	7.84520660990147e-07	0.00054573883462588
GSE25906	ILMN_1704961	ACTG1	-0.778316752831955	11.4387829436667	-5.50457605509377	5.65320743613249	7.89454813469964e-07	0.00054573883462588
GSE74341	A_23_P117298	F7	-0.540933333333333	0.11484	-6.4673690341026	5.88092891259013	8.06033370050218e-07	0.00055075352472882
GSE74341	A_21_P0000141	RBM4	0.484866666666667	-0.04728	6.46506907659158	5.87553851791271	8.10693739741673e-07	0.00055075352472882
GSE74341	A_33_P3230090	LUZP6	1.1168	0.05268	6.45950413503795	5.86249329654766	8.22083637349774e-07	0.00055075352472882
GSE74341	A_24_P160104	TUBA8	0.594866666666667	0.11052	6.45741646353624	5.85759843329726	8.26398399236033e-07	0.00055075352472882
GSE74341	A_23_P97123	ANKRD36BP1	0.796366666666667	-0.07668	6.45593176782082	5.85411701118524	8.29480953576757e-07	0.00055075352472882
GSE4707	A_23_P89145	ZNF83	-0.4421	-0.129785714285714	-8.22594985062107	5.29378812380669	8.49635463528458e-07	0.0159514382619261
GSE35574	ILMN_1769040	NCOA2	-0.226744241579632	6.02705902368085	-5.26819856468793	5.49129546845593	8.62753562811521e-07	0.0041049248480249
GSE74341	A_24_P47467	TMEM109	0.633233333333333	-0.37116	6.43897869236467	5.81434496488578	8.65519839266493e-07	0.000556180420445194
GSE74341	A_33_P3369969	ATXN1L	0.5576	-0.38704	6.43659210944211	5.80874318707138	8.70719615060249e-07	0.000556180420445194
GSE44711	ILMN_2207504	LEP	7.0984397835232	5.94542284635014	7.54155997748104	5.62855735251744	8.81484813978546e-07	0.00563923613422675
GSE25906	ILMN_1691188	UIMC1	0.353725507314923	7.56606106375	5.46378998862499	5.51157440029141	9.21001301206012e-07	0.000602260175207553
GSE74341	A_23_P148798	UCHL5	-0.742766666666667	0.52684	-6.40058195722634	5.7241358476936	9.53148639038858e-07	0.000591024815247756
GSE35574	ILMN_1682699	PBX2	0.285635755637962	7.77608971190426	5.23881843441144	5.37883991698857	9.76149288274616e-07	0.0041049248480249
GSE25906	ILMN_1709042	RBM4	-0.36530602444301	8.69821219645	-5.43946094321896	5.42723782209717	1.00952884648716e-06	0.000634047486223913
GSE74341	A_23_P93082	NUS1	0.5608	-0.17532	6.37604841955214	5.66640317656747	1.01381338097019e-06	0.000606972580015854
GSE25906	ILMN_1704750	TUBB	-0.235052799224446	11.4245027996667	-5.43614002719352	5.41573460088922	1.02224609994723e-06	0.000634047486223913
GSE74341	A_23_P202143	NOLC1	0.6038	-0.08012	6.37269454267909	5.65850515129299	1.02240635134056e-06	0.000606972580015854
GSE25906	ILMN_1678680	DBR1	-0.21284425435605	6.18436049598333	-5.4320161230946	5.40145287354653	1.03825838086596e-06	0.000634047486223913
GSE14722	210511_s_at	INHBA	1.96339268350001	11.2724628603913	6.36743482386132	5.18597771967309	1.05983847019067e-06	0.00525952013811776
GSE25906	ILMN_1698185	WDR90	0.281558965005875	6.36398680366667	5.42618260899516	5.38125607874488	1.06133181203011e-06	0.000634047486223913
GSE74341	A_33_P3369317	DNAJB5	-0.398633333333333	-0.00368	-6.35423191212912	5.61500347175359	1.07105305471624e-06	0.000612900765327395
GSE74341	A_32_P205241	GJA3	-0.750166666666667	0.003	-6.35006424821257	5.60517798026141	1.08235608406363e-06	0.000612900765327395
GSE74341	A_32_P196854	FAM76A	-0.7211	0.21124	-6.34025615331996	5.5820467106021	1.10943732652067e-06	0.000612900765327395
GSE74341	A_33_P3299834	POLR2E	0.397666666666667	-0.0448	6.34023474190428	5.58199620172081	1.10949719321985e-06	0.000612900765327395
GSE74341	A_23_P80336	TOMM22	0.6373	0.21768	6.33129549903051	5.56090404879439	1.13478058887442e-06	0.000612900765327395
GSE74341	A_23_P127995	CLNS1A	-0.4	0.0788	-6.32939861717186	5.55642713681816	1.14022054377066e-06	0.000612900765327395
GSE25906	ILMN_1686328	HSP90B1	0.538798245052877	11.290195457	5.40693544503963	5.31466524145277	1.14110436667454e-06	0.000662565028221852
GSE74341	A_33_P3363898	TUBG1	0.416633333333333	-0.22892	6.32888290811987	5.5552099162542	1.14170409299622e-06	0.000612900765327395
GSE35574	ILMN_1733769	NPNT	0.388862954400921	6.37605133430851	5.20072081493291	5.23350493576771	1.14508941397133e-06	0.0041049248480249
GSE14722	207092_at	LEP	3.56066291846213	8.62037721130435	6.33559864428966	5.11921736097163	1.14805350900251e-06	0.00525952013811776
GSE25906	ILMN_1754529	SPG7	0.382167968481786	8.5848418029	5.40483867258614	5.30741524038348	1.15014388036031e-06	0.000662565028221852
GSE74341	A_23_P166023	PFDN4	-0.629833333333333	0.5098	-6.31171449186849	5.51466964018454	1.1922290284218e-06	0.000626690221168966
GSE35574	ILMN_1798032	TRIM24	0.339111251891669	8.72346096228723	5.19008574430026	5.19303348470778	1.19714474544245e-06	0.0041049248480249
GSE74341	A_24_P185029	SH2B1	-0.394433333333333	-0.09256	-6.30283093883587	5.49367903920196	1.2192587780492e-06	0.000628730751910751
GSE35574	ILMN_1708529	PAPPA2	0.75937864576018	7.74209052392553	5.18560548899938	5.17599705921295	1.21976008986457e-06	0.0041049248480249
GSE74341	A_24_P500422	LOC730101	-1.29786666666667	0.05448	-6.30107582383336	5.4895308519757	1.22467226712476e-06	0.000628730751910751
GSE74341	A_24_P6305	RPL10	0.738966666666667	-0.16592	6.29823400330596	5.48281348856576	1.23348944629948e-06	0.000628730751910751
GSE35574	ILMN_1656145	GOT1	-0.337997080382406	8.72057440843617	-5.180773271785	5.15763097484625	1.24462002187049e-06	0.0041049248480249
GSE35574	ILMN_1727984	F8A1	-0.156013961934256	5.77317832421277	-5.1759493242871	5.13930533898896	1.26993096399731e-06	0.0041049248480249
GSE74341	A_23_P89755	RNF138	-0.534133333333333	0.04632	-6.27808518890969	5.4351596326337	1.29788272900857e-06	0.000654937582712305
GSE74341	A_33_P3217123	BCL2L12	0.468566666666667	-0.15636	6.266632294441	5.40805142822917	1.33599714658508e-06	0.000666758039573318
GSE74341	A_23_P8328	HCRTR2	-0.427	-0.003	-6.26317248989356	5.39985932786971	1.34773334462523e-06	0.000666758039573318
GSE74341	A_23_P28815	CYP24A1	-0.8043	0.17532	-6.25292027990415	5.37557611534641	1.38312925909506e-06	0.000671110275696681
GSE25906	ILMN_1677843	RAB24	0.465063793643946	8.34956466371667	5.35553636947823	5.13719378920586	1.38425127005179e-06	0.000778882778579142
GSE74341	A_33_P3383796	GOLGA7B	-0.900466666666667	0.07192	-6.24641037334325	5.36015058639076	1.40609365612023e-06	0.000675755219763231
GSE25906	ILMN_1685470	LEP	2.26299869499413	10.537856816	5.34768843957265	5.11014300466627	1.42561644803707e-06	0.000783927044551292
GSE25906	ILMN_1792002	PAPPA2	0.872417691555817	7.71510769203333	5.34446877886454	5.09904888465625	1.44293685143166e-06	0.000784536115064919
GSE14722	205829_at	HSD17B1	-0.88015430863636	11.05594192	-6.24389266512474	4.92608441966221	1.44623850886091e-06	0.00530046413497522
GSE25906	ILMN_1660663	DYRK1A	-0.494066748133961	7.0070849389	-5.33981276433593	5.08300920694416	1.46835139579912e-06	0.000789483600474661
GSE74341	A_33_P3329769	BEND6	-0.5902	0.17808	-6.22790016935589	5.31626328630261	1.47352975272623e-06	0.000696638646451634
GSE74341	A_33_P3465440	PRO1596	0.498533333333333	-0.01148	6.22692887309991	5.31395928438042	1.47715776565187e-06	0.000696638646451634
GSE4707	A_23_P122924	INHBA	0.702525	0.288078571428571	7.84274814595635	4.86687779664656	1.49650015787525e-06	0.0159514382619261
GSE74341	A_21_P0013760	CHTF8	0.445833333333333	-0.0522	6.2186240562778	5.29425513613376	1.50855098541803e-06	0.000704856479871896
GSE74341	A_23_P366230	LATS1	-0.654366666666667	0.26508	-6.20021404269676	5.25054738770767	1.58058150457178e-06	0.00072200467648967
GSE74341	A_23_P156156	ZCCHC9	-0.797666666666667	0.2222	-6.19854248185527	5.24657699374349	1.58729218284815e-06	0.00072200467648967
GSE74341	A_23_P251562	TUSC2	0.3807	0.09212	6.19807076595495	5.24545648832123	1.58919117171212e-06	0.00072200467648967
GSE25906	ILMN_1800796	RPL37	0.232849638670977	6.27646279261667	5.31738399289964	5.00580600506013	1.59708820977557e-06	0.000849264818363077
GSE74341	A_23_P318396	CELF1	1.17763333333333	-0.26872	6.19163495845422	5.23016649088687	1.61533150950467e-06	0.00072200467648967
GSE25906	ILMN_1775743	BTG1	-0.322836876721507	11.3016790071667	-5.3121062263015	4.98765429757814	1.62896122280761e-06	0.000856798190996305
GSE74341	A_23_P217704	GYG2	-0.566066666666667	0.03656	-6.18661379694495	5.21823414136586	1.63602890352947e-06	0.000723777075943507
GSE74341	A_23_P368154	PODN	-0.505966666666667	-0.14488	-6.18339307716988	5.21057889833776	1.64944639002622e-06	0.000723777075943507
GSE25906	ILMN_1674337	FKBP2	0.525940711029378	10.0332978353	5.30832498650218	4.97465313846022	1.652180827432e-06	0.000859666991821876
GSE25906	ILMN_1810810	EEF1A1	-0.272383456815506	13.7100906475	-5.3005118073856	4.94779832645917	1.70119669028567e-06	0.000875754338754504
GSE74341	A_24_P97145	KIDINS220	-0.7095	0.3052	-6.16964542742965	5.17788946426447	1.70798715561934e-06	0.000735960228587346
GSE4707	A_23_P319520	TSNARE1	0.5127	0.372014285714286	7.75393993080842	4.76469521146668	1.71069217886908e-06	0.0159514382619261
GSE74341	A_33_P3266923	LMTK2	0.656033333333333	-0.26268	6.16654358412244	5.17051093286383	1.72148467777182e-06	0.000735960228587346
GSE44711	ILMN_1737650	DIO2	4.24555709807351	4.15104046686287	7.15620767506116	5.05134817671456	1.74286050198101e-06	0.00847496192797045
GSE74341	ens|ENST00000394243|tc|THC2678964	SYNPO	1.06083333333333	-0.0542	6.16005054273672	5.15506211191665	1.75009054296709e-06	0.000735960228587346
GSE74341	A_32_P109572	HNRNPL	0.7283	-0.15472	6.16004091471624	5.15503920060918	1.75013331676274e-06	0.000735960228587346
GSE74341	A_23_P341325	RPL10L	-0.395166666666667	0.1434	-6.14051696476122	5.10855802508064	1.83909201482478e-06	0.000743801310260493
GSE74341	A_33_P3319943	ATRX	-0.537866666666667	0.09208	-6.13677331493094	5.09964063340614	1.85666717230021e-06	0.000743801310260493
GSE74341	A_33_P3211213	TSEN34	0.525933333333333	-0.05584	6.13128815735979	5.08657219183009	1.88272653357566e-06	0.000743801310260493
